;title;wage;companyname;location;date;companynote;joblink;jobskills
0;Blockchain Data Scientist;;Ledger;Télétravail in Paris (75);Postedil y a 17 jours;;https://fr.indeed.com/rc/clk?jk=b1fe5fb253c02288&fccid=f4ec96da440899f2&vjs=3;['tableau', 'python', 'sql', 'machine learning', ' sql']
1;PMO Data Center F/H;;welinkit;Clamart (92);Postedil y a 1 jour;5,0;https://fr.indeed.com/rc/clk?jk=c62d50dcb692d4a7&fccid=07661a4e5e3582cf&vjs=3;['nifi']
2;Data Officer- Chargé de conformité H/F;35 000 € - 38 000 € par an;FAB TALENTS;Télétravail in 92130 Issy-les-Moulineaux;Postedil y a 30+ jours;;https://fr.indeed.com/company/Tomorhow-for-Fab-Talent/jobs/Data-Officer-bd61f14f425d64fc?fccid=cdd5682e3d748991&vjs=3;['anglais']
3;Data Operation Engineer (F/M/NB);;Ubisoft;94160 Saint-Mandé;Postedil y a 30+ jours;3,8;https://fr.indeed.com/rc/clk?jk=6a9f1b250cb8df6e&fccid=237908de095b6446&vjs=3;['tableau', 'power bi', 'python', 'spark', 'sql', 'ssas', ' sql']
4;Data Scientists Secteur Télécom;;MINT Conseil;Issy-les-Moulineaux (92);Postedil y a 30+ jours;;https://fr.indeed.com/rc/clk?jk=c79c2e8850054e62&fccid=3325fc9b13c4a146&vjs=3;['python', 'hadoop', 'agile', 'anglais', 'scrum']
5;Data Relationship Manager;;Morningstar;Paris (75);Postedil y a 30+ jours;3,9;https://fr.indeed.com/rc/clk?jk=bf1dc397b95616dc&fccid=acfb0b086b8f975d&vjs=3;['problem solving']
6;Data Officer (Static Data) H/F;;CACEIS;Paris (75);Postedil y a 30+ jours;3,7;https://fr.indeed.com/rc/clk?jk=1e5dd372a5ec7149&fccid=e5a646ba1dffdb67&vjs=3;['anglais']
7;Data Scientist;;Itesoft;Montpellier (34);Postedil y a 30 jours;4,4;https://fr.indeed.com/rc/clk?jk=8c14b5f95f81112b&fccid=b9fcc652641ee75f&vjs=3;['python', 'sql', 'machine learning', 'c++', ' sql']
8;CDI - Data Analyst H/F;50 000 € - 60 000 € par an;La Relève;75001 Paris 1er;Postedil y a 22 jours;4,0;https://fr.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DiXCSTiV6j-y-XpXyYoiwMscjOkvrFxvNZrfe3i3m8sfUdVNZR4v8NBMd7tEp5PJNcvG_04MPcGTWUICv8bvb9dycdrMX736AoT4ZUeaW5Bt14rprdlR0NSaY7cVF584vCI2OHWJ7Y8Bnqz6QR1SZPpPj-3RrG-D-366XXLMI2wteq7_mORem6lUsrrkTS6hpLHwaMu-wZDmInLmD5ivWQy2ZdxR9E4evsBNsRwWMPl6kp23Ws05EUFnCNb8PtcJVrMFaog03yXZaYMnJIoqipsPm20n3zgmmJRkkgf51rHLhRxX-z1covmuw568PoqBkTXt3exRfmqMcK4XgL5qf-LHrcY1uaUGVUUFb7M7f886kPEu55RQkoqvCVy8TZyuTwGakvnJilNOYjQJggGRv8lFb9nI2cFmtgdjgyBgtIssVn7SeMVCO1aDqOO72-8hiVZHRRm0jg6eAxb_DzbRNhwLWFv6uWW3E5rQCXNK9vcDbX-Ule1j3Bql0WyM6itmpvvamdC7h7E2hN1uww8gwaMUo-8wycK_9iSrV2m2NvY3JVROnY_peeZg06sQE2I6hkH3mEna3UeqIRsnZKoC0RzIiw_FgZFmyGoVrt96nueq-LsflD2Jwa4Fqsz7HDw9uohrD1EDd0toD2GiEy-UMW3NGiP7R9G8ddkcRJlqpBk248vv5W4ampLbtwW2hsqkU4AtXdiHGn4gLKOLLe3uHy7CmszR_hvkDoSDDk3WYNKw==&p=8&fvj=1&vjs=3;['python', 'sql', 'intégration continue', ' sql']
9;Data Community Manager F/H;;SOCOTEC;Puteaux (92);Postedil y a 2 jours;2,8;https://fr.indeed.com/rc/clk?jk=544fb9301bd9697e&fccid=056140916fa8477e&vjs=3;[]
10;Data analyst Junior F/H;;Leverterch-consulting;Athis-Mons (91);Postedil y a 5 jours;;https://fr.indeed.com/rc/clk?jk=80f66681038d9fc8&fccid=7bfeaf9516d8f40b&vjs=3;['tableau', 'powerbi', 'power bi', 'sql', 'tableaux de bord', ' sql']
11;Data analyst F/H;;DIANE CONSULTING;Courbevoie (92);PostedPubliée à l'instant;;https://fr.indeed.com/rc/clk?jk=391cdb957fecbb5b&fccid=97aefb9f83e87a00&vjs=3;['tableau', 'power bi', ' r ', 'python', 'sql', 'modélisation', 'business object']
12;Directeur Data & Intelligence Artificielle F/H;;ESSEC;Hybrid remote in Cergy (95);Postedil y a 30+ jours;3,4;https://fr.indeed.com/rc/clk?jk=b58d48af4343ff41&fccid=0f399d02613058fe&vjs=3;['anglais']
13;Data Protection Counsel;;Facebook App;Paris (75);Postedil y a 11 jours;4,1;https://fr.indeed.com/rc/clk?jk=30aae6bbe14d42d3&fccid=ba07516c418dda52&vjs=3;['aws']
14;Applied Data Scientist;;dunnhumby;Paris (75);Postedil y a 12 jours;;https://fr.indeed.com/rc/clk?jk=881260b2a84a70cc&fccid=36801496409e6dc9&vjs=3;['aws', 'python', 'spark', 'sql', 'hadoop', ' sql']
