;title;companyname;location;duration;salary;date;joblink;jobskills
0;chef-de-projet-etudes-conformite-lcb-ft-1666742;"
                    Freelance.com ";Paris;9 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-etudes-conformite-lcb-ft-1666742;['agile', ' sas']
1;expert-migration-mainframe-vers-le-cloud-1666531;"
                    Freelance.com ";Paris;9 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/expert-migration-mainframe-vers-le-cloud-1666531;['sql', 'db2', 'oracle', ' sas']
2;developpeur-vue-js-1664460;"
                    Freelance.com ";Nanterre;3 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/developpeur-vue-js-1664460;['java', ' sas']
3;developpeur-vb-net-asp-1664362;"
                    Freelance.com ";Nanterre;3 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/developpeur-vb-net-asp-1664362;['java', 'sql', 'oracle', 'agile', 'modélisation']
4;consultant-securite-infrastructure-senior-1664350;"
                    Freelance.com ";Paris;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/consultant-securite-infrastructure-senior-1664350;['linux']
5;ingenieur-production-middleware-progiciels-1664263;"
                    Freelance.com ";Paris;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/ingenieur-production-middleware-progiciels-1664263;['java', 'sql', 'oracle', 'agile', 'anglais', 'apache', 'tomcat', 'jboss', 'powershell', 'linux']
6;project-owner-gmao-temps-partiel-freelance-1664268;"
                    Freelance.com ";Saint-Denis;24 mois; 550-580 €;10/02/2022;https://www.freelance-info.fr/mission/project-owner-gmao-temps-partiel-freelance-1664268;['agile', ' sas']
7;developpeur-python-ans-d-experience-minimum-1664110;"
                    Freelance.com ";Saint-Denis;24 mois; 550-580 €;10/02/2022;https://www.freelance-info.fr/mission/developpeur-python-ans-d-experience-minimum-1664110;['python', 'sql', 'agile', 'scrum', ' sas']
8;chef-de-projet-service-owner-projets-transverses-d-infrastructures-reseau-et-securite-1666472;"
                    Freelance.com ";Paris;24 mois; 680-700 €;10/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-service-owner-projets-transverses-d-infrastructures-reseau-et-securite-1666472;['tableau', 'tableaux de bord', 'itil']
9;maintien-en-conditions-de-securite-mcs-et-risques-mission-a-mi-temps-1666468;"
                    Freelance.com ";Paris;24 mois; 680-700 €;10/02/2022;https://www.freelance-info.fr/mission/maintien-en-conditions-de-securite-mcs-et-risques-mission-a-mi-temps-1666468;['tableau']
10;pilote-migration-cloud-temps-partiel-1666464;"
                    Freelance.com ";Saint-Denis;6 mois; 480-530 €;10/02/2022;https://www.freelance-info.fr/mission/pilote-migration-cloud-temps-partiel-1666464;['azure', 'agile', 'anglais', ' sas']
11;architecte-technique-reseaux-et-securite-1666459;"
                    Freelance.com ";Saint-Denis;6 mois; 480-530 €;10/02/2022;https://www.freelance-info.fr/mission/architecte-technique-reseaux-et-securite-1666459;['aws', 'azure', 'ansible', 'itil', 'scala', 'linux']
