;title;companyname;location;duration;salary;date;joblink;jobskills
0;chef-de-projets-cybersecurite-1666795;"
                    Innov and Co http://www.innovandco.net ";Paris;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/chef-de-projets-cybersecurite-1666795;['anglais', 'firewalls']
1;chef-de-projet-securite-1664343;"
                    Innov and Co http://www.innovandco.net ";Paris;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-securite-1664343;['cartographie']
2;amoa-assurance-vie-1666476;"
                    Innov and Co http://www.innovandco.net ";Paris;24 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/amoa-assurance-vie-1666476;['jira', 'agile', 'scrum', ' sas']
3;ingenieur-systeme-linux-windows-1666474;"
                    Innov and Co http://www.innovandco.net ";Paris;24 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/ingenieur-systeme-linux-windows-1666474;[]
4;consultant-cloud-gcp-azure-1666471;"
                    Innov and Co http://www.innovandco.net ";Levallois-Perret;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/consultant-cloud-gcp-azure-1666471;['gitlab', 'azure', 'gcp', 'ci/cd', 'terraform']
5;developpeur-bo-junior-1666452;"
                    Innov and Co http://www.innovandco.net ";Levallois-Perret;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/developpeur-bo-junior-1666452;['aws', ' bo ', 'anglais']
6;analyste-controle-financier-tm-1666344;"
                    Innov and Co http://www.innovandco.net ";Paris;12 mois; 330-460 €;10/02/2022;https://www.freelance-info.fr/mission/analyste-controle-financier-tm-1666344;[' excel ', 'sql', 'anglais', 'vba']
7;architect-front-end-web-1666321;"
                    Innov and Co http://www.innovandco.net ";Paris;12 mois; 330-460 €;10/02/2022;https://www.freelance-info.fr/mission/architect-front-end-web-1666321;['java', 'anglais']
8;architect-back-end-api-1666311;"
                    Innov and Co http://www.innovandco.net ";Paris;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/architect-back-end-api-1666311;['github', 'gitlab', 'aws', 'azure', 'docker', 'gcp', 'ci/cd', 'anglais', 'microservice']
9;data-architect-1666282;"
                    Innov and Co http://www.innovandco.net ";Paris;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/data-architect-1666282;['sql', 'anglais']
10;developpeur-sap-bw-1663772;"
                    Innov and Co http://www.innovandco.net ";Boulogne-Billancourt;12 mois; 200-410 €;09/02/2022;https://www.freelance-info.fr/mission/developpeur-sap-bw-1663772;[]
11;developpeur-net-1663773;"
                    Innov and Co http://www.innovandco.net ";Boulogne-Billancourt;12 mois; 200-410 €;09/02/2022;https://www.freelance-info.fr/mission/developpeur-net-1663773;[' git ', 'sql', 'postgresql', 'scrum']
12;it-quant-c-backstop-prudentiel-et-bucket-ifrs-1665940;"
                    Innov and Co http://www.innovandco.net ";Paris;12 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/it-quant-c-backstop-prudentiel-et-bucket-ifrs-1665940;['jenkins', 'sql']
13;developpeur-php-symfony-de-ans-d-experiences-max-1665937;"
                    Innov and Co http://www.innovandco.net ";Paris;12 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/developpeur-php-symfony-de-ans-d-experiences-max-1665937;['java', 'jenkins', 'aws', 'docker', 'agile', 'anglais', 'linux']
