;title;companyname;location;duration;salary;date;joblink;jobskills
0;expert-o-h-f-1666719;"
                    Club Freelance ";PACA;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/expert-o-h-f-1666719;[]
1;product-owner-h-f-remote-1666707;"
                    Club Freelance ";PACA;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/product-owner-h-f-remote-1666707;['agile', ' sas']
2;consultant-technico-fonctionnel-crm-dynamics-h-f-1666701;"
                    Club Freelance ";Bordeaux;24 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/consultant-technico-fonctionnel-crm-dynamics-h-f-1666701;['sql', ' ssis']
3;infrastructure-cloud-architect-1666624;"
                    Club Freelance ";Bordeaux;24 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/infrastructure-cloud-architect-1666624;['azure', 'itil', 'firewalls', 'scala', 'powershell']
4;ingenieur-cloud-senior-aws-1666620;"
                    Club Freelance ";Télétravail;18 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/ingenieur-cloud-senior-aws-1666620;['gitlab', 'aws', 'docker', 'python', 'ci/cd', 'agile', 'terraform', 'grafana', 'linux']
5;developpeur-fullstack-ruby-on-rails-vue-js-h-f-roubaix-1664427;"
                    Club Freelance ";Télétravail;18 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/developpeur-fullstack-ruby-on-rails-vue-js-h-f-roubaix-1664427;['ci/cd', 'jira', 'confluence']
6;technical-it-project-manager-business-ana-1664406;"
                    Club Freelance ";Télétravail;12 mois; 500-700 €;10/02/2022;https://www.freelance-info.fr/mission/technical-it-project-manager-business-ana-1664406;['powerbi', 'power bi', 'aws', 'redshift', 'datawarehouse', 'glue', 'modélisation', 'anglais', 'cartographie', ' sas']
7;architecte-securite-azure-f-h-1664204;"
                    Club Freelance ";Télétravail;12 mois; 500-700 €;10/02/2022;https://www.freelance-info.fr/mission/architecte-securite-azure-f-h-1664204;['azure', 'ci/cd', 'anglais', 'linux']
8;product-owner-chef-de-projet-digitale-h-f-1664213;"
                    Club Freelance ";Courbevoie;3 années; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/product-owner-chef-de-projet-digitale-h-f-1664213;['jira', 'confluence', 'kanban', 'scrum', ' sas']
9;product-owner-mobile-web-mobile-h-f-paris-1664191;"
                    Club Freelance ";Courbevoie;3 années; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/product-owner-mobile-web-mobile-h-f-paris-1664191;['agile', 'anglais', ' sas']
10;consultant-mes-h-f-1666475;"
                    Club Freelance ";Roubaix;235 jours; 350-450 €;10/02/2022;https://www.freelance-info.fr/mission/consultant-mes-h-f-1666475;[' sas']
11;proxy-product-owner-h-f-1666378;"
                    Club Freelance ";Roubaix;235 jours; 350-450 €;10/02/2022;https://www.freelance-info.fr/mission/proxy-product-owner-h-f-1666378;['sql', 'modélisation', ' sas']
12;edm-delivery-manager-h-f-1666363;"
                    Club Freelance ";Paris;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/edm-delivery-manager-h-f-1666363;['sql', 'modélisation', 'anglais', 'itil', 'scala']
13;business-analyst-reprise-de-donnees-data-remote-1666350;"
                    Club Freelance ";Paris;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/business-analyst-reprise-de-donnees-data-remote-1666350;['sql']
14;developpeur-scrum-master-h-f-1666178;"
                    Club Freelance ";Paris;24 mois; 600-800 €;10/02/2022;https://www.freelance-info.fr/mission/developpeur-scrum-master-h-f-1666178;['java', 'sql', 'agile', 'anglais', 'scrum', ' sas']
15;ingenieur-support-applicatif-h-f-1666177;"
                    Club Freelance ";Paris;24 mois; 600-800 €;10/02/2022;https://www.freelance-info.fr/mission/ingenieur-support-applicatif-h-f-1666177;['talend', 'kafka', 'oracle', 'anglais', 'grafana', 'scala', ' sas', 'linux']
16;administrateur-systeme-windows-f-h-1666150;"
                    Club Freelance ";Hauts-de-France;3 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/administrateur-systeme-windows-f-h-1666150;['puppet', 'ansible', 'agile', 'terraform', 'kanban', 'powershell']
17;process-manager-itsm-h-f-1664018;"
                    Club Freelance ";Hauts-de-France;3 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/process-manager-itsm-h-f-1664018;['powerpoint', ' sas']
18;servicenow-junior-developer-h-f-1663986;"
                    Club Freelance ";Paris;3 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/servicenow-junior-developer-h-f-1663986;['anglais', 'itil', 'scrum', ' sas']
19;architecte-opensource-h-f-1663937;"
                    Club Freelance ";Paris;3 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/architecte-opensource-h-f-1663937;[' sas']
20;servicenow-functional-analyst-proxy-product-owner-h-f-1663836;"
                    Club Freelance ";Courbevoie;3 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/servicenow-functional-analyst-proxy-product-owner-h-f-1663836;['agile', 'anglais', 'itil', 'scrum']
21;chef-de-projet-infor-m-h-f-1663783;"
                    Club Freelance ";Courbevoie;3 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-infor-m-h-f-1663783;['anglais', ' sas']
22;master-data-tm-h-f-1663768;"
                    Club Freelance ";Roubaix;3 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/master-data-tm-h-f-1663768;[]
23;developpeur-talend-h-f-remote-1666024;"
                    Club Freelance ";Roubaix;3 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/developpeur-talend-h-f-remote-1666024;['qlik', 'talend', 'power bi', 'anglais', ' sas']
24;chef-de-projet-it-digital-senior-h-f-1665977;"
                    Club Freelance ";Gonesse;6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-it-digital-senior-h-f-1665977;['agile', 'anglais', 'salesforce']
25;project-manager-infrastructure-h-f-1665914;"
                    Club Freelance ";Gonesse;6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/project-manager-infrastructure-h-f-1665914;['power bi', 'agile', 'anglais', 'powerpoint', 'scala', ' sas']
26;developpeur-azure-senior-h-f-full-remote-1665876;"
                    Club Freelance ";Paris;3 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/developpeur-azure-senior-h-f-full-remote-1665876;['azure', ' sas']
27;technical-squad-lead-hf-remote-1665843;"
                    Club Freelance ";Paris;3 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/technical-squad-lead-hf-remote-1665843;['agile']
28;developpeur-front-end-senior-react-js-h-f-1665757;"
                    Club Freelance ";Paris;6 mois; 400-480 €;09/02/2022;https://www.freelance-info.fr/mission/developpeur-front-end-senior-react-js-h-f-1665757;['java', ' git ', 'azure', 'scrum', ' sas']
29;developpeur-back-end-node-js-rust-h-f-1663587;"
                    Club Freelance ";Paris;6 mois; 400-480 €;09/02/2022;https://www.freelance-info.fr/mission/developpeur-back-end-node-js-rust-h-f-1663587;['java', 'sql', 'postgresql', ' sas']
30;chef-de-projet-sap-sd-mm-h-f-paris-1663454;"
                    Club Freelance ";Roubaix;3 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-sap-sd-mm-h-f-paris-1663454;[' sas']
31;senior-fullstack-developer-h-f-remote-1665547;"
                    Club Freelance ";Roubaix;3 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/senior-fullstack-developer-h-f-remote-1665547;[' git ', 'azure', 'agile', ' sas']
32;developpeur-abap-1665511;"
                    Club Freelance ";Roubaix;3 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/developpeur-abap-1665511;['anglais', ' sas']
33;product-owner-mobile-web-mobile-h-f-paris-1665417;"
                    Club Freelance ";Roubaix;3 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/product-owner-mobile-web-mobile-h-f-paris-1665417;['agile', 'anglais', ' sas']
34;ingenieur-production-reseaux-f-h-1665329;"
                    Club Freelance ";Roubaix;3 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/ingenieur-production-reseaux-f-h-1665329;['azure', 'anglais', 'itil', 'zscaler', 'vpn']
35;consultant-office-h-f-1665318;"
                    Club Freelance ";Roubaix;3 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/consultant-office-h-f-1665318;['azure', ' sas']
