;title;companyname;location;duration;salary;date;joblink;jobskills
0;developpeur-andoird-h-f-1666625;"
                    Espace Freelance ";Villeneuve-d'Ascq;3 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/developpeur-andoird-h-f-1666625;['agile']
1;chef-de-projet-operationnel-technos-web-architecture-h-f-1666615;"
                    Espace Freelance ";Villeneuve-d'Ascq;3 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-operationnel-technos-web-architecture-h-f-1666615;['sql', 'jira', 'oracle']
2;lead-dev-h-f-1666614;"
                    Espace Freelance ";Tours;3 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/lead-dev-h-f-1666614;['java', 'agile', 'powershell']
3;responsable-d-application-confirme-mainframe-db-h-f-1666370;"
                    Espace Freelance ";Tours;3 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/responsable-d-application-confirme-mainframe-db-h-f-1666370;['db2']
4;responsable-d-application-responsable-technique-1664006;"
                    Espace Freelance ";Niort;3 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/responsable-d-application-responsable-technique-1664006;[]
5;coach-agile-scrum-master-bascule-vers-l-agilite-puis-safe-h-f-1663967;"
                    Espace Freelance ";Niort;3 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/coach-agile-scrum-master-bascule-vers-l-agilite-puis-safe-h-f-1663967;['tableau', 'jira', 'agile', 'confluence', 'anglais', 'scrum', ' sas']
6;chef-de-projet-moe-h-f-1666030;"
                    Espace Freelance ";Clichy;3 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-moe-h-f-1666030;[]
7;ingenieur-d-etude-sap-h-f-1666016;"
                    Espace Freelance ";Clichy;3 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/ingenieur-d-etude-sap-h-f-1666016;['kafka', 'anglais']
8;chef-de-projet-moe-data-h-f-1666014;"
                    Espace Freelance ";Niort;3 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-moe-data-h-f-1666014;['power bi', 'sql']
9;chef-de-projet-si-supply-chain-h-f-1666012;"
                    Espace Freelance ";Niort;3 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-si-supply-chain-h-f-1666012;[]
10;responsable-d-application-offre-sql-h-f-1666009;"
                    Espace Freelance ";Niort;3 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/responsable-d-application-offre-sql-h-f-1666009;['sql']
11;devops-h-f-1666007;"
                    Espace Freelance ";Niort;3 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/devops-h-f-1666007;['java', 'azure', 'docker', 'ansible', 'python', 'api rest', 'terraform', 'anglais', 'microservice']
12;consultant-moa-frps-epargne-retraite-h-f-1666006;"
                    Espace Freelance ";Villeneuve-d'Ascq;3 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/consultant-moa-frps-epargne-retraite-h-f-1666006;[]
13;scrum-master-h-f-1666005;"
                    Espace Freelance ";Villeneuve-d'Ascq;3 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/scrum-master-h-f-1666005;['jira', 'agile', 'scrum']
14;consultant-sas-h-f-1666004;"
                    Espace Freelance ";Villeneuve-d'Ascq;3 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/consultant-sas-h-f-1666004;['hadoop', ' sas']
15;developpeur-net-h-f-1666002;"
                    Espace Freelance ";Villeneuve-d'Ascq;3 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/developpeur-net-h-f-1666002;['sql', 'oracle']
16;tech-lead-java-h-f-1665982;"
                    Espace Freelance ";Villeneuve-d'Ascq;3 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/tech-lead-java-h-f-1665982;[]
17;assistant-technique-projet-et-vsr-h-f-1665960;"
                    Espace Freelance ";Villeneuve-d'Ascq;3 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/assistant-technique-projet-et-vsr-h-f-1665960;['itil', 'scala']
18;developpeur-talend-h-f-1665836;"
                    Espace Freelance ";Villeneuve-d'Ascq;3 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/developpeur-talend-h-f-1665836;['talend', 'sql']
19;developpeur-front-experimente-vuejs-h-f-1665831;"
                    Espace Freelance ";Villeneuve-d'Ascq;3 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/developpeur-front-experimente-vuejs-h-f-1665831;['github', 'jenkins', 'docker', 'gcp', 'ci/cd', 'agile']
20;developpeur-back-end-java-h-f-1665820;"
                    Espace Freelance ";Villeneuve-d'Ascq;3 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/developpeur-back-end-java-h-f-1665820;['java']
21;business-analyst-senior-assurance-h-f-1665812;"
                    Espace Freelance ";Villeneuve-d'Ascq;3 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/business-analyst-senior-assurance-h-f-1665812;['sql']
22;developpeur-ios-android-confirme-h-f-1665802;"
                    Espace Freelance ";Villeneuve-d'Ascq;3 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/developpeur-ios-android-confirme-h-f-1665802;[]
23;data-engineer-h-f-1665796;"
                    Espace Freelance ";Villeneuve-d'Ascq;3 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/data-engineer-h-f-1665796;['python', 'cartographie']
24;data-engineer-python-spark-h-f-1665790;"
                    Espace Freelance ";Villeneuve-d'Ascq;3 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/data-engineer-python-spark-h-f-1665790;['azure', 'python', 'spark', 'sql', 'databricks', 'hadoop', 'snowflake']
25;developpeur-back-end-c-shell-h-f-1665785;"
                    Espace Freelance ";Villeneuve-d'Ascq;3 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/developpeur-back-end-c-shell-h-f-1665785;['github']
26;responsable-d-application-sql-h-f-1665779;"
                    Espace Freelance ";Villeneuve-d'Ascq;3 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/responsable-d-application-sql-h-f-1665779;['sql']
27;chef-de-projet-technique-h-f-1663595;"
                    Espace Freelance ";Villeneuve-d'Ascq;3 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-technique-h-f-1663595;['agile']
28;business-analyst-decisionnel-confirme-h-f-1665513;"
                    Espace Freelance ";Villeneuve-d'Ascq;3 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/business-analyst-decisionnel-confirme-h-f-1665513;['qlik', 'talend', 'sql', 'agile', 'modélisation', 'scrum']
29;testeur-h-f-1663220;"
                    Espace Freelance ";Villeneuve-d'Ascq;3 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/testeur-h-f-1663220;['java', 'python', 'mongodb']
30;data-analyst-h-f-1663222;"
                    Espace Freelance ";Villeneuve-d'Ascq;3 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/data-analyst-h-f-1663222;[]
