;title;companyname;location;duration;salary;date;joblink;jobskills
0;senior-vmware-engineer-1666720;"
                    Phaidon International (UK) Ltd ";England;86 400 années; 400-600 €;10/02/2022;https://www.freelance-info.fr/mission/senior-vmware-engineer-1666720;['gitlab', 'terraform', 'anglais', ' sas', 'powershell']
1;senior-vmware-engineer-1666783;"
                    Phaidon International (UK) Ltd ";England;86 400 années; 400-600 €;10/02/2022;https://www.freelance-info.fr/mission/senior-vmware-engineer-1666783;['gitlab', 'terraform', 'anglais', 'powershell']
2;analyste-soc-n-1666681;"
                    Phaidon International (UK) Ltd ";England;12 mois; 500-620 €;10/02/2022;https://www.freelance-info.fr/mission/analyste-soc-n-1666681;[]
3;security-manager-1666430;"
                    Phaidon International (UK) Ltd ";England;12 mois; 500-620 €;10/02/2022;https://www.freelance-info.fr/mission/security-manager-1666430;['tableau', 'tableaux de bord']
4;expert-cybersecurite-1666429;"
                    Phaidon International (UK) Ltd ";England;3 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/expert-cybersecurite-1666429;['java', 'docker', 'python', 'modélisation', 'splunk']
5;charge-de-securite-1666422;"
                    Phaidon International (UK) Ltd ";England;3 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/charge-de-securite-1666422;['jira', 'confluence', 'firewalls']
6;java-developer-cloud-data-remote-1666240;"
                    Phaidon International (UK) Ltd ";FRANCE (Pays);2 années; 500-650 €;09/02/2022;https://www.freelance-info.fr/mission/java-developer-cloud-data-remote-1666240;['java', 'jenkins', 'azure', 'ansible', 'python', 'gcp', 'grafana', 'telegraf', ' sas']
7;developpeur-java-avec-bigdata-1666405;"
                    Phaidon International (UK) Ltd ";FRANCE (Pays);2 années; 500-650 €;09/02/2022;https://www.freelance-info.fr/mission/developpeur-java-avec-bigdata-1666405;['java', 'jenkins', 'azure', 'ansible', 'python', 'gcp', 'grafana', 'telegraf']
8;java-developer-big-data-experience-1666238;"
                    Phaidon International (UK) Ltd ";FRANCE (Pays);2 années; 500-650 €;09/02/2022;https://www.freelance-info.fr/mission/java-developer-big-data-experience-1666238;['java', 'jenkins', 'azure', 'ansible', 'python', 'gcp', 'grafana', 'telegraf']
9;architecte-iam-1664082;"
                    Phaidon International (UK) Ltd ";FRANCE (Pays);2 années; 500-650 €;09/02/2022;https://www.freelance-info.fr/mission/architecte-iam-1664082;['python', 'sql', 'oracle', 'postgresql', 'vpn', 'ldap', 'mysql']
10;architecte-gcp-1664084;"
                    Phaidon International (UK) Ltd ";FRANCE (Pays);2 années; 500-600 €;09/02/2022;https://www.freelance-info.fr/mission/architecte-gcp-1664084;['gcp', 'terraform']
11;talend-expert-freelance-1666070;"
                    Phaidon International (UK) Ltd ";FRANCE (Pays);2 années; 500-600 €;09/02/2022;https://www.freelance-info.fr/mission/talend-expert-freelance-1666070;['talend', 'tableau']
12;aws-sysops-engineer-1666063;"
                    Phaidon International (UK) Ltd ";Paris;12 mois; 550-800 €;09/02/2022;https://www.freelance-info.fr/mission/aws-sysops-engineer-1666063;['gitlab', 'aws', 'azure', 'ansible', 'gcp', 'ci/cd', 'terraform', 'linux']
13;network-and-security-engineer-1666061;"
                    Phaidon International (UK) Ltd ";Paris;12 mois; 550-800 €;09/02/2022;https://www.freelance-info.fr/mission/network-and-security-engineer-1666061;[]
14;ingenieur-avant-vente-1665866;"
                    Phaidon International (UK) Ltd ";Télétravail;12 mois; 600-800 €;09/02/2022;https://www.freelance-info.fr/mission/ingenieur-avant-vente-1665866;[' sas']
15;ingenieur-avant-vente-1666048;"
                    Phaidon International (UK) Ltd ";Télétravail;12 mois; 600-800 €;09/02/2022;https://www.freelance-info.fr/mission/ingenieur-avant-vente-1666048;[]
