;title;companyname;location;duration;salary;date;joblink;jobskills
0;administrateur-systeme-as-h-f-1664349;"
                    HAYS MEDIAS ";Gironde;3 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/administrateur-systeme-as-h-f-1664349;['sql', 'db2', 'mysql', ' sas']
1;chef-de-projet-infrastructure-h-f-1664222;"
                    HAYS MEDIAS ";Gironde;3 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-infrastructure-h-f-1664222;['azure', 'jira', 'confluence', 'linux']
2;developpeur-power-bi-senior-h-f-1664190;"
                    HAYS MEDIAS ";Bordeaux;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/developpeur-power-bi-senior-h-f-1664190;['power bi', 'azure', ' sas', 'powershell', 'ssrs']
3;chef-de-projet-amoa-conformite-reglementaire-h-f-1666402;"
                    HAYS MEDIAS ";Bordeaux;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-amoa-conformite-reglementaire-h-f-1666402;['prince2', 'pmp', ' sas']
4;architecte-cloud-h-f-1666145;"
                    HAYS MEDIAS ";Bordeaux;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/architecte-cloud-h-f-1666145;['anglais', 'scala', ' sas']
5;administrateur-systeme-devops-h-f-1663826;"
                    HAYS MEDIAS ";Bordeaux;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/administrateur-systeme-devops-h-f-1663826;['docker', 'terraform', ' sas', 'linux']
6;developpeur-php-h-f-1666097;"
                    HAYS MEDIAS ";Télétravail;12 mois; 500-700 €;09/02/2022;https://www.freelance-info.fr/mission/developpeur-php-h-f-1666097;['github', 'docker', ' sas']
7;scrum-master-h-f-1663577;"
                    HAYS MEDIAS ";Télétravail;12 mois; 500-700 €;09/02/2022;https://www.freelance-info.fr/mission/scrum-master-h-f-1663577;['agile', 'scrum', ' sas']
8;developpeur-full-stack-net-core-angular-h-f-1665411;"
                    HAYS MEDIAS ";Alpes-Maritimes;6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/developpeur-full-stack-net-core-angular-h-f-1665411;['sql']
9;developpeur-c-qt-h-f-1665392;"
                    HAYS MEDIAS ";Alpes-Maritimes;6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/developpeur-c-qt-h-f-1665392;['anglais', ' sas']
