;title;companyname;location;duration;salary;date;joblink;jobskills
0;chef-de-projet-infra-signature-electronique-1666671;"
                    FREELANCE VISION ";Bordeaux;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-infra-signature-electronique-1666671;[]
1;expert-fonctionnel-servicenow-1664117;"
                    FREELANCE VISION ";Bordeaux;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/expert-fonctionnel-servicenow-1664117;[]
2;architecte-urbaniste-1664119;"
                    FREELANCE VISION ";Bordeaux;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/architecte-urbaniste-1664119;['itil']
3;chef-de-projet-technique-bancaire-1664115;"
                    FREELANCE VISION ";Bordeaux;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-technique-bancaire-1664115;[]
4;integrateur-d-application-qualification-logiciel-1666298;"
                    FREELANCE VISION ";Bordeaux;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/integrateur-d-application-qualification-logiciel-1666298;['java', 'jira', 'anglais', 'splunk']
5;chef-de-projet-moe-bancaire-1664013;"
                    FREELANCE VISION ";Bordeaux;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-moe-bancaire-1664013;['scrum']
6;expert-e-securite-si-1666091;"
                    FREELANCE VISION ";Bordeaux;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/expert-e-securite-si-1666091;[]
7;expert-e-securite-si-1666090;"
                    FREELANCE VISION ";Bordeaux;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/expert-e-securite-si-1666090;[]
8;dba-oracle-confirm-1666089;"
                    FREELANCE VISION ";Bordeaux;12 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/dba-oracle-confirm-1666089;['oracle']
9;chef-de-projet-monetique-1665931;"
                    FREELANCE VISION ";Bordeaux;12 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-monetique-1665931;['sql', 'db2', 'oracle', 'agile']
10;integrateur-d-applications-1665894;"
                    FREELANCE VISION ";Nantes;6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/integrateur-d-applications-1665894;['java', 'jira', 'anglais', 'splunk']
11;directeur-de-projet-senior-bancaire-1665888;"
                    FREELANCE VISION ";Nantes;6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/directeur-de-projet-senior-bancaire-1665888;[]
12;consultant-support-avaya-n-1665881;"
                    FREELANCE VISION ";Nantes;6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/consultant-support-avaya-n-1665881;['tableau']
13;chef-de-projet-moe-php-mysql-1665879;"
                    FREELANCE VISION ";Nantes;6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-moe-php-mysql-1665879;['sql', 'datawarehouse', 'mysql']
14;consultant-cloud-1665878;"
                    FREELANCE VISION ";Cesson-Sévigné;12 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/consultant-cloud-1665878;[]
15;consultant-sap-fiaa-1665877;"
                    FREELANCE VISION ";Cesson-Sévigné;12 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/consultant-sap-fiaa-1665877;['jira', 'cartographie']
16;concepteur-sas-1663518;"
                    FREELANCE VISION ";Rochelle (La);12 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/concepteur-sas-1663518;['qlik', 'sql', 'jira', 'agile', ' sas', 'linux']
17;business-analyste-bancaire-1663499;"
                    FREELANCE VISION ";Rochelle (La);12 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/business-analyste-bancaire-1663499;['jira', 'agile']
18;chef-de-projet-technique-1663509;"
                    FREELANCE VISION ";Bordeaux;6 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-technique-1663509;['java', 'agile']
19;dba-etude-mysql-db-luw-1663497;"
                    FREELANCE VISION ";Bordeaux;6 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/dba-etude-mysql-db-luw-1663497;['sql', 'db2', 'mysql', 'linux']
20;expert-power-bi-1663487;"
                    FREELANCE VISION ";Bordeaux;6 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/expert-power-bi-1663487;['tableau', 'powerbi', 'power bi', 'tableaux de bord']
21;administrateur-bases-de-donnees-oracle-sql-server-1663453;"
                    FREELANCE VISION ";Bordeaux;6 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/administrateur-bases-de-donnees-oracle-sql-server-1663453;['sql', 'oracle', 'postgresql', 'mysql', 'mongodb', 'linux']
22;chef-de-projet-coordinateur-technique-infra-1663441;"
                    FREELANCE VISION ";Roubaix;6 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-coordinateur-technique-infra-1663441;[]
23;chef-de-projet-infra-1663442;"
                    FREELANCE VISION ";Roubaix;6 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-infra-1663442;['agile']
24;chef-de-projet-amoe-java-1663395;"
                    FREELANCE VISION ";Saint-Denis;6 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-amoe-java-1663395;['java', 'sql', 'apache', 'tomcat', 'postgresql', 'linux']
25;developpeur-bo-bi-1663398;"
                    FREELANCE VISION ";Saint-Denis;6 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/developpeur-bo-bi-1663398;['sql', ' bo ', 'db2']
26;consultant-data-senior-specialise-ssis-1663400;"
                    FREELANCE VISION ";Paris;6 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/consultant-data-senior-specialise-ssis-1663400;['sql', 'datawarehouse', 'jira', ' ssis']
27;pmo-1663403;"
                    FREELANCE VISION ";Paris;6 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/pmo-1663403;['tableau', 'tableaux de bord']
28;consultant-risques-1663388;"
                    FREELANCE VISION ";Strasbourg;6 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/consultant-risques-1663388;[]
29;chef-de-projet-directeur-de-projet-de-production-1663390;"
                    FREELANCE VISION ";Strasbourg;6 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-directeur-de-projet-de-production-1663390;['elk', 'docker', 'oracle', 'itil', 'jboss', 'linux']
