;title;companyname;location;duration;salary;date;joblink;jobskills
0;developpeur-back-end-java-lille-1666760;"
                    Nigel Frank International LTD ";Lille;3 mois; 340-360 €;10/02/2022;https://www.freelance-info.fr/mission/developpeur-back-end-java-lille-1666760;['java', 'jenkins', 'docker']
1;developpeur-java-senior-1666758;"
                    Nigel Frank International LTD ";Lille;3 mois; 340-360 €;10/02/2022;https://www.freelance-info.fr/mission/developpeur-java-senior-1666758;['java', 'springboot']
2;product-owner-1666757;"
                    Nigel Frank International LTD ";Paris;6 mois; 440-560 €;10/02/2022;https://www.freelance-info.fr/mission/product-owner-1666757;[]
3;ingenieur-cloud-devops-1666658;"
                    Nigel Frank International LTD ";Paris;6 mois; 440-560 €;10/02/2022;https://www.freelance-info.fr/mission/ingenieur-cloud-devops-1666658;['jenkins', 'aws', 'azure', 'docker', 'ansible', 'terraform']
4;architecte-vmware-1666645;"
                    Nigel Frank International LTD ";Paris;6 mois; 470-550 €;10/02/2022;https://www.freelance-info.fr/mission/architecte-vmware-1666645;['gitlab', 'terraform', 'anglais', 'powershell']
5;scrum-master-1666542;"
                    Nigel Frank International LTD ";Paris;6 mois; 470-550 €;10/02/2022;https://www.freelance-info.fr/mission/scrum-master-1666542;[' sas']
6;ingenieur-solutions-1664346;"
                    Nigel Frank International LTD ";Nantes;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/ingenieur-solutions-1664346;['java', ' git ', 'gitlab', 'jenkins', 'docker', 'ansible', 'python', 'sql', 'ci/cd', 'jira', 'agile', 'confluence', 'terraform', 'apache', 'tomcat', 'grafana', 'postgresql', 'ldap', 'scrum']
7;ingenieur-software-senior-java-scala-1664260;"
                    Nigel Frank International LTD ";Nantes;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/ingenieur-software-senior-java-scala-1664260;['java', 'kafka', 'docker', 'sql', 'scala', 'linux', 'microservice']
8;architect-si-sensible-1666469;"
                    Nigel Frank International LTD ";Paris;24 mois; 600 €;10/02/2022;https://www.freelance-info.fr/mission/architect-si-sensible-1666469;['tableau']
9;architecte-si-sensible-1666466;"
                    Nigel Frank International LTD ";Paris;24 mois; 600 €;10/02/2022;https://www.freelance-info.fr/mission/architecte-si-sensible-1666466;['tableau']
10;developpeur-java-angular-1666326;"
                    Nigel Frank International LTD ";Lille;1 année; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/developpeur-java-angular-1666326;['java']
11;developpeur-scala-nantes-1666301;"
                    Nigel Frank International LTD ";Lille;1 année; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/developpeur-scala-nantes-1666301;['gitlab', 'kafka', 'sql', 'ci/cd', 'api rest', 'scala']
12;developpeur-back-end-java-nantes-1666294;"
                    Nigel Frank International LTD ";Sophia-Antipolis;1 année; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/developpeur-back-end-java-nantes-1666294;['java']
13;salesforce-technical-lead-1666216;"
                    Nigel Frank International LTD ";Sophia-Antipolis;1 année; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/salesforce-technical-lead-1666216;['java', 'sql', 'salesforce']
14;developpeur-fullstack-devops-1663846;"
                    Nigel Frank International LTD ";Nantes;6 mois; 450 €;10/02/2022;https://www.freelance-info.fr/mission/developpeur-fullstack-devops-1663846;['java', 'gitlab', 'docker', 'ansible', 'maven', 'sql', 'api rest', 'terraform', 'cartographie', 'linux']
15;opportunite-chef-de-projet-ax-1663808;"
                    Nigel Frank International LTD ";Nantes;6 mois; 450 €;10/02/2022;https://www.freelance-info.fr/mission/opportunite-chef-de-projet-ax-1663808;[]
16;testeur-qa-manuel-bordeaux-1663820;"
                    Nigel Frank International LTD ";Paris;6 mois; 100-1220 €;10/02/2022;https://www.freelance-info.fr/mission/testeur-qa-manuel-bordeaux-1663820;['jira', 'confluence']
17;consultant-data-msbi-1663791;"
                    Nigel Frank International LTD ";Paris;6 mois; 100-1220 €;10/02/2022;https://www.freelance-info.fr/mission/consultant-data-msbi-1663791;['terdata', 'powerbi', 'azure', 'sql', 'datawarehouse', 'cartographie', 'ssrs']
18;architecte-solutions-1666092;"
                    Nigel Frank International LTD ";Paris;1 année; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/architecte-solutions-1666092;['aws', 'azure', 'gcp', 'oracle', 'anglais', 'itil']
