;title;companyname;location;duration;salary;date;joblink;jobskills
0;testeur-salesforce-vlocity-h-f-1666748;"
                    Hays Medias ";Ile de France;3 années; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/testeur-salesforce-vlocity-h-f-1666748;['tableau', ' excel ', 'jira', 'confluence', 'xray', 'scrum', 'salesforce']
1;chef-de-projet-legal-risks-facilities-management-h-f-1666667;"
                    Hays Medias ";Ile de France;3 années; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-legal-risks-facilities-management-h-f-1666667;['anglais']
2;developpeur-salesforce-vlocity-h-f-1666666;"
                    Hays Medias ";Ile de France;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/developpeur-salesforce-vlocity-h-f-1666666;['gitlab', 'agile', 'scrum', 'scala', 'salesforce']
3;proxy-product-owner-1666501;"
                    Hays Medias ";Ile de France;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/proxy-product-owner-1666501;['sql', 'agile']
4;administrateur-systeme-et-reseaux-1666493;"
                    Hays Medias ";Ile de France;1 année; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/administrateur-systeme-et-reseaux-1666493;[' sas']
5;product-owner-solution-signature-electronique-h-f-1666490;"
                    Hays Medias ";Ile de France;1 année; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/product-owner-solution-signature-electronique-h-f-1666490;[' sas']
6;architecte-d-entreprise-1664286;"
                    Hays Medias ";Massy;1 année; 250-440 €;10/02/2022;https://www.freelance-info.fr/mission/architecte-d-entreprise-1664286;['anglais', 'cartographie', ' sas']
7;technical-manager-magento-h-f-1664280;"
                    Hays Medias ";Massy;1 année; 250-440 €;10/02/2022;https://www.freelance-info.fr/mission/technical-manager-magento-h-f-1664280;['anglais']
8;responsable-d-application-workday-f-h-1666388;"
                    Hays Medias ";Antony;12 mois; 300-450 €;10/02/2022;https://www.freelance-info.fr/mission/responsable-d-application-workday-f-h-1666388;[' sas']
9;roadmap-manager-h-f-1666304;"
                    Hays Medias ";Antony;12 mois; 300-450 €;10/02/2022;https://www.freelance-info.fr/mission/roadmap-manager-h-f-1666304;['jira', 'agile', 'confluence', 'anglais', 'kanban', ' sas']
10;portfolio-manager-h-f-1666299;"
                    Hays Medias ";Paris;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/portfolio-manager-h-f-1666299;['jira', 'agile', 'confluence', 'anglais', 'kanban']
11;controleur-de-gestion-h-f-1666252;"
                    Hays Medias ";Paris;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/controleur-de-gestion-h-f-1666252;[]
12;developpeur-fullstack-h-f-1666248;"
                    Hays Medias ";Paris;8 mois; 600-800 €;10/02/2022;https://www.freelance-info.fr/mission/developpeur-fullstack-h-f-1666248;[' sas']
13;gestionnaire-d-application-h-f-1666192;"
                    Hays Medias ";Paris;8 mois; 600-800 €;10/02/2022;https://www.freelance-info.fr/mission/gestionnaire-d-application-h-f-1666192;[' sas']
14;architecte-technique-h-f-1666190;"
                    Hays Medias ";Paris;1 année; 600-700 €;10/02/2022;https://www.freelance-info.fr/mission/architecte-technique-h-f-1666190;['azure', 'sql', 'gcp', 'oracle', 'anglais', 'postgresql', ' sas', 'powershell', 'linux']
15;prestataire-conformite-technique-h-f-1666187;"
                    Hays Medias ";Paris;1 année; 600-700 €;10/02/2022;https://www.freelance-info.fr/mission/prestataire-conformite-technique-h-f-1666187;['azure', 'hive', 'gcp', 'anglais', 'ldap', ' sas', 'linux']
