;title;companyname;location;duration;salary;date;joblink;jobskills
0;expert-gouvernance-des-identites-h-f-1666811;"
                    LeHibou ";Lille;6 mois; 550-650 €;11/02/2022;https://www.freelance-info.fr/mission/expert-gouvernance-des-identites-h-f-1666811;['agile', 'anglais', 'ldap']
1;architecte-technique-h-f-1666810;"
                    LeHibou ";Lille;6 mois; 550-650 €;11/02/2022;https://www.freelance-info.fr/mission/architecte-technique-h-f-1666810;['java', 'elk', 'sql', 'oracle', 'apache', 'springboot', 'postgresql', 'mysql']
2;ingenieur-system-windows-h-f-1666809;"
                    LeHibou ";Saint-Quentin;6 mois; 550-650 €;11/02/2022;https://www.freelance-info.fr/mission/ingenieur-system-windows-h-f-1666809;[]
3;consultant-en-data-management-alimentation-collibra-f-h-1666682;"
                    LeHibou ";Saint-Quentin;6 mois; 550-650 €;11/02/2022;https://www.freelance-info.fr/mission/consultant-en-data-management-alimentation-collibra-f-h-1666682;['sql', 'modélisation']
4;concepteur-developpeur-mainframe-f-h-1666680;"
                    LeHibou ";Malakoff;4 mois; Tarif non renseigné;11/02/2022;https://www.freelance-info.fr/mission/concepteur-developpeur-mainframe-f-h-1666680;['db2']
5;ingenieur-test-automation-tetra-h-f-1666648;"
                    LeHibou ";Malakoff;4 mois; Tarif non renseigné;11/02/2022;https://www.freelance-info.fr/mission/ingenieur-test-automation-tetra-h-f-1666648;['java', 'jenkins', 'docker', 'python', 'jira']
6;developpeur-bi-azure-h-f-1666641;"
                    LeHibou ";Massy;12 mois; 600 €;10/02/2022;https://www.freelance-info.fr/mission/developpeur-bi-azure-h-f-1666641;['power bi', 'azure', 'sql', 'datawarehouse', 'oracle', ' ssis']
7;business-analyst-bi-h-f-1666637;"
                    LeHibou ";Massy;12 mois; 600 €;10/02/2022;https://www.freelance-info.fr/mission/business-analyst-bi-h-f-1666637;['power bi', 'azure', 'datawarehouse', 'anglais']
8;chef-de-projet-support-a-la-mise-en-place-du-pca-h-f-1666609;"
                    LeHibou ";Massy;12 mois; 550 €;10/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-support-a-la-mise-en-place-du-pca-h-f-1666609;[]
9;ingenieur-cybersecurite-toulouse-h-f-1666525;"
                    LeHibou ";Massy;12 mois; 550 €;10/02/2022;https://www.freelance-info.fr/mission/ingenieur-cybersecurite-toulouse-h-f-1666525;['python', 'splunk', 'linux']
