;title;companyname;location;duration;salary;date;joblink;jobskills
0;des-architectes-chefs-de-projets-as-rpg-sur-lyon-1666733;"
                    Almatek ";Lyon;3 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/des-architectes-chefs-de-projets-as-rpg-sur-lyon-1666733;[]
1;des-developpeurs-as-rpg-sur-lille-1666730;"
                    Almatek ";Lyon;3 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/des-developpeurs-as-rpg-sur-lille-1666730;[]
2;un-expert-administration-o-sur-saint-quentin-en-yvelines-1666665;"
                    Almatek ";Lyon;3 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/un-expert-administration-o-sur-saint-quentin-en-yvelines-1666665;['powerbi', 'azure', 'anglais', 'powershell']
3;un-lead-dev-python-ayant-des-connaissances-sur-java-jee-en-teletravail-1666662;"
                    Almatek ";Lyon;3 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/un-lead-dev-python-ayant-des-connaissances-sur-java-jee-en-teletravail-1666662;['java', 'gitlab', 'python', 'ci/cd', 'sonar']
4;un-developpeur-senior-mainframe-sur-massy-1666659;"
                    Almatek ";Saint-Quentin;1 année; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/un-developpeur-senior-mainframe-sur-massy-1666659;['talend', 'java']
5;un-developpeur-as-adelia-iseries-sur-strasbourg-1666656;"
                    Almatek ";Saint-Quentin;1 année; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/un-developpeur-as-adelia-iseries-sur-strasbourg-1666656;[]
6;des-developpeur-embarque-c-c-sur-moselle-1666652;"
                    Almatek ";Plessis-Robinson (Le);3 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/des-developpeur-embarque-c-c-sur-moselle-1666652;[]
7;un-developpeur-experimente-apriso-sur-paris-1666634;"
                    Almatek ";Plessis-Robinson (Le);3 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/un-developpeur-experimente-apriso-sur-paris-1666634;[]
8;un-developpeur-confirme-sinequa-sur-nanterre-1666623;"
                    Almatek ";Massy;1 année; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/un-developpeur-confirme-sinequa-sur-nanterre-1666623;['java', 'github', 'jenkins', 'api rest', 'jira', 'agile', 'confluence']
9;un-scrum-master-sur-saint-quentin-en-yvelines-1666622;"
                    Almatek ";Massy;1 année; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/un-scrum-master-sur-saint-quentin-en-yvelines-1666622;['java', 'agile', 'scrum']
10;un-developpeur-python-sur-toulouse-1666619;"
                    Almatek ";Strasbourg;3 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/un-developpeur-python-sur-toulouse-1666619;['aws', 'python', 'sql', 'api rest', 'agile', 'anglais', 'mysql']
11;architecte-vmware-senior-sur-paris-1666610;"
                    Almatek ";Strasbourg;3 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/architecte-vmware-senior-sur-paris-1666610;['gitlab', 'terraform', 'powershell']
12;un-ingenieur-reseau-securite-f-apm-palo-alto-sur-paris-1666529;"
                    Almatek ";Moselle;18 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/un-ingenieur-reseau-securite-f-apm-palo-alto-sur-paris-1666529;[]
13;un-administrateur-bases-de-donnees-sybase-sur-paris-1666518;"
                    Almatek ";Moselle;18 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/un-administrateur-bases-de-donnees-sybase-sur-paris-1666518;['sql', 'oracle', 'postgresql', 'cartographie', 'scala', ' sas']
14;un-ingenieur-active-directory-sur-saint-ouen-1666517;"
                    Almatek ";Paris;3 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/un-ingenieur-active-directory-sur-saint-ouen-1666517;['anglais']
15;un-power-bi-data-sur-issy-les-moulineaux-1666497;"
                    Almatek ";Paris;3 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/un-power-bi-data-sur-issy-les-moulineaux-1666497;['tableau', 'agile', 'confluence']
16;un-business-analyst-projet-green-it-sur-paris-1664162;"
                    Almatek ";Nanterre;3 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/un-business-analyst-projet-green-it-sur-paris-1664162;[]
17;un-admin-base-de-donnees-sur-ivry-1664165;"
                    Almatek ";Nanterre;3 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/un-admin-base-de-donnees-sur-ivry-1664165;['modélisation']
18;un-dba-etude-confirme-sur-paris-1664172;"
                    Almatek ";Saint-Quentin;1 année; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/un-dba-etude-confirme-sur-paris-1664172;['sql', 'db2', 'mysql', 'linux']
19;un-directeur-de-projet-po-sur-guyancourt-1664144;"
                    Almatek ";Saint-Quentin;1 année; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/un-directeur-de-projet-po-sur-guyancourt-1664144;['agile']
20;un-chef-de-projet-sirh-sur-paris-1664116;"
                    Almatek ";Toulouse;3 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/un-chef-de-projet-sirh-sur-paris-1664116;[]
21;un-consultant-ux-ui-designer-1664111;"
                    Almatek ";Toulouse;3 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/un-consultant-ux-ui-designer-1664111;[]
22;un-po-ba-confirme-sur-rennes-1666312;"
                    Almatek ";Paris;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/un-po-ba-confirme-sur-rennes-1666312;['java', 'sql', 'jira', 'oracle', 'agile', 'xray', 'anglais', 'postgresql', 'mysql', 'scrum']
23;un-product-owner-sur-issy-les-moulineaux-1666273;"
                    Almatek ";Paris;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/un-product-owner-sur-issy-les-moulineaux-1666273;['anglais']
24;un-chef-de-projet-technico-fonctionnel-sur-guyancourt-1666271;"
                    Almatek ";Paris;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/un-chef-de-projet-technico-fonctionnel-sur-guyancourt-1666271;['anglais']
25;un-architecte-solution-microsoft-m-azure-sur-la-defense-1666268;"
                    Almatek ";Paris;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/un-architecte-solution-microsoft-m-azure-sur-la-defense-1666268;['anglais']
26;un-ingenieur-de-production-vmware-sur-paris-1666258;"
                    Almatek ";Paris;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/un-ingenieur-de-production-vmware-sur-paris-1666258;[]
27;un-chapter-lead-developpement-sur-issy-les-moulineaux-1666256;"
                    Almatek ";Paris;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/un-chapter-lead-developpement-sur-issy-les-moulineaux-1666256;['java', 'kafka', 'docker', 'sql', 'agile', 'mysql', 'mongodb']
28;un-architect-logiciel-applicatif-sur-paris-e-1666247;"
                    Almatek ";Saint-Ouen;3 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/un-architect-logiciel-applicatif-sur-paris-e-1666247;['tableau', 'kafka', 'sql', 'mongodb', 'salesforce']
29;un-lead-devops-build-sur-issy-les-moulineaux-1666246;"
                    Almatek ";Saint-Ouen;3 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/un-lead-devops-build-sur-issy-les-moulineaux-1666246;['java', 'gitlab', 'jenkins', 'kafka', 'docker', 'ansible', 'sql', 'jira', 'confluence', 'sonar', 'apache', 'logstash', 'ldap', 'mysql', 'mongodb', 'linux']
30;un-ingenieur-support-exploitation-sur-issy-les-moulineaux-1666244;"
                    Almatek ";Issy-les-Moulineaux;1 année; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/un-ingenieur-support-exploitation-sur-issy-les-moulineaux-1666244;['python', 'sql', 'ldap']
31;un-consultant-qlikview-sur-paris-1666239;"
                    Almatek ";Issy-les-Moulineaux;1 année; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/un-consultant-qlikview-sur-paris-1666239;['qlik', 'talend', 'modélisation']
32;un-developpeur-c-c-sur-sophia-antipolis-1664026;"
                    Almatek ";Paris;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/un-developpeur-c-c-sur-sophia-antipolis-1664026;[]
33;un-developpeur-sharepoint-en-remote-1663983;"
                    Almatek ";Paris;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/un-developpeur-sharepoint-en-remote-1663983;[]
34;des-developpeur-java-backend-sur-paris-1663995;"
                    Almatek ";Ivry-sur-Seine;1 année; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/des-developpeur-java-backend-sur-paris-1663995;['java']
35;un-chef-de-projet-business-analyst-sur-saint-quentin-en-yveline-1663979;"
                    Almatek ";Ivry-sur-Seine;1 année; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/un-chef-de-projet-business-analyst-sur-saint-quentin-en-yveline-1663979;['agile']
36;un-integrateur-java-sur-toulouse-1663908;"
                    Almatek ";Paris;1 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/un-integrateur-java-sur-toulouse-1663908;['java', 'tomcat', 'jboss', 'linux']
37;un-product-owner-ayant-un-anglais-courant-sur-issy-les-moulineaux-1663781;"
                    Almatek ";Paris;1 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/un-product-owner-ayant-un-anglais-courant-sur-issy-les-moulineaux-1663781;[' sas']
38;un-business-analyste-technique-api-sur-la-defense-1665983;"
                    Almatek ";Guyancourt;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/un-business-analyste-technique-api-sur-la-defense-1665983;[]
39;un-chef-de-projet-migration-ged-sur-la-defense-1665964;"
                    Almatek ";Guyancourt;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/un-chef-de-projet-migration-ged-sur-la-defense-1665964;['agile', 'anglais']
40;un-developpeur-c-sur-paris-1665911;"
                    Almatek ";Paris;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/un-developpeur-c-sur-paris-1665911;[]
41;un-coordinateur-chef-de-projet-sirh-sur-noisiel-1665854;"
                    Almatek ";Paris;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/un-coordinateur-chef-de-projet-sirh-sur-noisiel-1665854;[]
42;un-program-manager-bilingue-sur-rueil-malmaison-1665850;"
                    Almatek ";Télétravail;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/un-program-manager-bilingue-sur-rueil-malmaison-1665850;['azure', 'jira', 'terraform', 'powershell']
43;un-pmo-sur-ivry-1665827;"
                    Almatek ";Télétravail;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/un-pmo-sur-ivry-1665827;['tableau', 'agile']
44;un-ingenieur-de-production-control-m-sur-paris-1663601;"
                    Almatek ";Rennes;3 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/un-ingenieur-de-production-control-m-sur-paris-1663601;[]
45;un-developpeur-cobol-sur-lille-1663514;"
                    Almatek ";Rennes;3 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/un-developpeur-cobol-sur-lille-1663514;['agile']
46;un-developpeur-mainframe-cobol-confirme-sur-paris-1663486;"
                    Almatek ";Issy-les-Moulineaux;3 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/un-developpeur-mainframe-cobol-confirme-sur-paris-1663486;['java']
47;un-expert-sccm-sur-guyancourt-1663461;"
                    Almatek ";Issy-les-Moulineaux;3 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/un-expert-sccm-sur-guyancourt-1663461;['anglais', 'scala', 'powershell']
48;un-developpeur-salesforce-sur-paris-1665721;"
                    Almatek ";Guyancourt;3 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/un-developpeur-salesforce-sur-paris-1665721;[]
49;un-developpeur-drupal-sur-lille-1665714;"
                    Almatek ";Guyancourt;3 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/un-developpeur-drupal-sur-lille-1665714;[]
50;un-testeur-technique-sur-la-region-parisienne-1665710;"
                    Almatek ";La Défense (92);6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/un-testeur-technique-sur-la-region-parisienne-1665710;['sql', 'linux']
51;un-analyste-technique-sur-la-region-parisienne-1665708;"
                    Almatek ";La Défense (92);6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/un-analyste-technique-sur-la-region-parisienne-1665708;['sql', 'linux']
52;un-architecte-reseau-sur-la-region-parisienne-1665706;"
                    Almatek ";Paris;6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/un-architecte-reseau-sur-la-region-parisienne-1665706;['gitlab', 'tableau', 'python', 'linux']
53;un-chef-de-projet-bi-sur-montpellier-1665503;"
                    Almatek ";Paris;6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/un-chef-de-projet-bi-sur-montpellier-1665503;['sql', 'scrum']
54;un-ingenieur-reseaux-securite-sur-paris-1665413;"
                    Almatek ";Issy-les-Moulineaux;1 année; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/un-ingenieur-reseaux-securite-sur-paris-1665413;['itil', 'linux']
55;des-developpeurs-j-e-react-sur-la-region-parisienne-1665412;"
                    Almatek ";Issy-les-Moulineaux;1 année; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/des-developpeurs-j-e-react-sur-la-region-parisienne-1665412;['java']
56;un-integrateur-java-linux-sur-lyon-1665390;"
                    Almatek ";Paris;3 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/un-integrateur-java-linux-sur-lyon-1665390;['java', 'jenkins', 'oracle', 'tomcat']
57;des-developpeurs-python-sur-la-region-parisienne-1665387;"
                    Almatek ";Paris;3 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/des-developpeurs-python-sur-la-region-parisienne-1665387;['python', 'linux']
58;un-chef-de-projet-virtualisation-sur-paris-1665385;"
                    Almatek ";Issy-les-Moulineaux;1 année; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/un-chef-de-projet-virtualisation-sur-paris-1665385;['agile', 'terraform', ' sas']
59;un-ingenieur-reseaux-securite-sur-paris-1643562;"
                    Almatek ";Issy-les-Moulineaux;1 année; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/un-ingenieur-reseaux-securite-sur-paris-1643562;['itil', 'linux']
60;un-developpeur-j-e-front-sur-toulouse-1665384;"
                    Almatek ";Issy-les-Moulineaux;1 année; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/un-developpeur-j-e-front-sur-toulouse-1665384;['java', ' git ']
61;un-developpeur-pl-sql-sur-noisy-le-grand-1665379;"
                    Almatek ";Issy-les-Moulineaux;1 année; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/un-developpeur-pl-sql-sur-noisy-le-grand-1665379;['sql']
62;un-administrateur-systeme-devops-sur-gennevilliers-1665376;"
                    Almatek ";Paris;1 année; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/un-administrateur-systeme-devops-sur-gennevilliers-1665376;['jenkins', 'ansible', 'jira', 'agile', 'terraform', 'sonar', 'itil', 'sonarqube', 'linux']
63;un-ingenieur-middleware-sur-annecy-1665375;"
                    Almatek ";Paris;1 année; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/un-ingenieur-middleware-sur-annecy-1665375;['ansible', 'sql', 'apache', 'tomcat', 'mysql']
