;title;companyname;location;duration;salary;date;joblink;jobskills
0;dba-urgent-1666805;"
                    ALLEGIS GROUP ";Paris;1 année; 380-420 €;10/02/2022;https://www.freelance-info.fr/mission/dba-urgent-1666805;['sql', 'oracle', 'postgresql', 'cartographie', 'scala', ' sas']
1;developpeur-as-et-architecte-chef-de-projet-as-1666770;"
                    ALLEGIS GROUP ";Paris;1 année; 380-420 €;10/02/2022;https://www.freelance-info.fr/mission/developpeur-as-et-architecte-chef-de-projet-as-1666770;[' sas']
2;developpeur-mobile-ios-h-f-1666756;"
                    ALLEGIS GROUP ";Lyon;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/developpeur-mobile-ios-h-f-1666756;['gitlab', 'jenkins', 'jira', 'agile', 'confluence', 'sonar', 'scrum']
3;formateur-accompagnant-itbm-service-now-1666644;"
                    ALLEGIS GROUP ";Lyon;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/formateur-accompagnant-itbm-service-now-1666644;[]
4;developpeur-full-stack-1666562;"
                    ALLEGIS GROUP ";Hauts-de-Seine;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/developpeur-full-stack-1666562;['java', 'tableau', 'sql', 'tableaux de bord', 'springboot']
5;technical-lead-azure-1666516;"
                    ALLEGIS GROUP ";Hauts-de-Seine;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/technical-lead-azure-1666516;['azure', 'terraform', 'anglais', ' sas']
6;consultant-risk-et-controle-permanent-1666513;"
                    ALLEGIS GROUP ";Levallois-Perret;36 mois; 400 €;10/02/2022;https://www.freelance-info.fr/mission/consultant-risk-et-controle-permanent-1666513;[]
7;consultant-sap-bw-1666502;"
                    ALLEGIS GROUP ";Levallois-Perret;36 mois; 400 €;10/02/2022;https://www.freelance-info.fr/mission/consultant-sap-bw-1666502;[]
8;tres-urgent-consultant-sap-co-ps-mois-reconductibles-paris-1666496;"
                    ALLEGIS GROUP ";Bordeaux;3 mois; 250-400 €;10/02/2022;https://www.freelance-info.fr/mission/tres-urgent-consultant-sap-co-ps-mois-reconductibles-paris-1666496;[]
9;urgent-developpeur-salesforce-senior-1666484;"
                    ALLEGIS GROUP ";Bordeaux;3 mois; 250-400 €;10/02/2022;https://www.freelance-info.fr/mission/urgent-developpeur-salesforce-senior-1666484;[' sas']
10;ingenieur-citrix-1664389;"
                    ALLEGIS GROUP ";Paris;3 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/ingenieur-citrix-1664389;['powershell']
