;title;companyname;location;duration;salary;date;joblink;jobskills
0;tech-lead-vue-js-1666755;"
                    CS Group Solutions ";Bordeaux;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/tech-lead-vue-js-1666755;[' sas']
1;chef-de-projet-moe-moa-1666725;"
                    CS Group Solutions ";Bordeaux;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-moe-moa-1666725;['gitlab', 'docker', 'sql', 'modélisation', 'apache', 'postgresql', 'ldap', 'linux']
2;expert-grafana-1666676;"
                    CS Group Solutions ";Paris;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/expert-grafana-1666676;['grafana']
3;consultant-ssis-et-bo-1666654;"
                    CS Group Solutions ";Paris;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/consultant-ssis-et-bo-1666654;['qlik', 'sql', ' ssis']
4;dba-mysql-mongodb-mariadb-1666650;"
                    CS Group Solutions ";Bordeaux;8 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/dba-mysql-mongodb-mariadb-1666650;['sql', 'mysql', 'mariadb', 'mongodb', 'linux']
5;cpi-api-manager-et-chantier-forge-de-developpement-1666643;"
                    CS Group Solutions ";Bordeaux;8 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/cpi-api-manager-et-chantier-forge-de-developpement-1666643;[]
6;cpi-migration-infrastructure-et-migration-technique-java-vers-java-1666638;"
                    CS Group Solutions ";Paris;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/cpi-migration-infrastructure-et-migration-technique-java-vers-java-1666638;['java']
7;business-analyste-technico-fonctionnel-1666632;"
                    CS Group Solutions ";Paris;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/business-analyste-technico-fonctionnel-1666632;['sql']
8;developpeur-drupal-1666544;"
                    CS Group Solutions ";Angers;24 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/developpeur-drupal-1666544;[' sas']
9;concepteur-asic-1664282;"
                    CS Group Solutions ";Angers;24 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/concepteur-asic-1664282;['anglais', ' sas']
10;consultant-sap-pi-po-abap-1664202;"
                    CS Group Solutions ";Toulouse;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/consultant-sap-pi-po-abap-1664202;[]
11;ingenieur-systeme-linux-1664205;"
                    CS Group Solutions ";Toulouse;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/ingenieur-systeme-linux-1664205;['ansible', 'linux']
12;ingenieur-systeme-linux-1664206;"
                    CS Group Solutions ";Toulouse;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/ingenieur-systeme-linux-1664206;['ansible', 'linux']
13;analyste-oracle-pl-sql-1666385;"
                    CS Group Solutions ";Toulouse;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/analyste-oracle-pl-sql-1666385;['java', 'sql', 'api rest', 'oracle', 'agile', 'mysql', 'scrum']
14;architecte-reseau-cloud-1666183;"
                    CS Group Solutions ";Toulouse;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/architecte-reseau-cloud-1666183;['tableau']
15;chef-d-exploitation-it-tv-1664033;"
                    CS Group Solutions ";Toulouse;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/chef-d-exploitation-it-tv-1664033;['scala']
16;architecte-technique-infra-1664035;"
                    CS Group Solutions ";Nantes;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/architecte-technique-infra-1664035;['anglais', ' sas']
17;integrateur-technique-1664020;"
                    CS Group Solutions ";Nantes;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/integrateur-technique-1664020;['java', 'jenkins', 'aws', 'docker', 'ansible', 'python', 'sql', 'gcp', 'ci/cd', 'apache', 'tomcat', 'postgresql', 'mysql', 'linux']
18;technicien-exploitation-1663985;"
                    CS Group Solutions ";Clayes-sous-Bois (Les);12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/technicien-exploitation-1663985;['scala']
19;ingenieur-systeme-windows-1663973;"
                    CS Group Solutions ";Clayes-sous-Bois (Les);12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/ingenieur-systeme-windows-1663973;[]
20;architecte-active-directory-1663946;"
                    CS Group Solutions ";Paris;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/architecte-active-directory-1663946;[]
21;expert-eldas-1663857;"
                    CS Group Solutions ";Paris;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/expert-eldas-1663857;['java', 'python']
22;consultant-poste-de-travail-1663837;"
                    CS Group Solutions ";Rennes;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/consultant-poste-de-travail-1663837;[]
23;expert-active-directory-piam-1666013;"
                    CS Group Solutions ";Rennes;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/expert-active-directory-piam-1666013;['anglais', 'powershell']
24;consultant-informatica-experimente-1666003;"
                    CS Group Solutions ";Trélazé;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/consultant-informatica-experimente-1666003;['sql', 'anglais']
25;architecte-solutions-1665946;"
                    CS Group Solutions ";Trélazé;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/architecte-solutions-1665946;[]
26;qa-automaticien-1665885;"
                    CS Group Solutions ";Nantes;12 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/qa-automaticien-1665885;['azure', 'ci/cd', 'jira', 'agile', 'anglais']
27;chef-de-projet-sirh-1663704;"
                    CS Group Solutions ";Nantes;12 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-sirh-1663704;['anglais']
