;title;companyname;location;duration;salary;date;joblink;jobskills
0;business-process-manager-supply-h-f-1666651;"
                    insitoo-it ";Lille et périphérie (59000);1 année; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/business-process-manager-supply-h-f-1666651;['anglais']
1;leader-technique-jee-h-f-1666342;"
                    insitoo-it ";Lille et périphérie (59000);1 année; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/leader-technique-jee-h-f-1666342;['java', 'aws', 'azure', 'ci/cd']
2;ingenieur-support-n-h-f-1666270;"
                    insitoo-it ";Lille;1 année; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/ingenieur-support-n-h-f-1666270;['gcp', 'oracle', ' sas', 'linux']
3;scrum-master-experimente-h-f-1666224;"
                    insitoo-it ";Lille;1 année; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/scrum-master-experimente-h-f-1666224;['jira', 'agile', 'kanban', 'scrum']
4;ingenieur-de-production-h-f-1666214;"
                    insitoo-it ";Lille et périphérie (59000);1 année; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/ingenieur-de-production-h-f-1666214;['tableau', 'python', 'sql', 'gcp', 'hadoop', 'datawarehouse', 'linux']
5;responsable-des-systemes-applicatif-h-f-1666211;"
                    insitoo-it ";Lille et périphérie (59000);1 année; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/responsable-des-systemes-applicatif-h-f-1666211;[]
6;lead-test-1666203;"
                    insitoo-it ";Lille et périphérie (59000);1 année; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/lead-test-1666203;[]
7;expert-active-directory-1666198;"
                    insitoo-it ";Lille et périphérie (59000);1 année; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/expert-active-directory-1666198;['azure', 'anglais', 'scala']
8;sysops-h-f-1666191;"
                    insitoo-it ";Lille et périphérie (59000);1 année; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/sysops-h-f-1666191;['azure', 'gcp']
9;developpeur-c-h-f-1666171;"
                    insitoo-it ";Lille et périphérie (59000);1 année; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/developpeur-c-h-f-1666171;['python', 'modélisation', 'linux']
10;superviseur-fonctionnel-h-f-1666099;"
                    insitoo-it ";Lille et périphérie (59000);1 année; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/superviseur-fonctionnel-h-f-1666099;['jira', 'agile', 'itil', 'kanban', 'scrum']
11;chef-de-projet-paiement-h-f-1666022;"
                    insitoo-it ";Lille et périphérie (59000);1 année; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-paiement-h-f-1666022;[]
12;business-analyst-confirme-h-f-1665997;"
                    insitoo-it ";Lille et périphérie (59000);1 année; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/business-analyst-confirme-h-f-1665997;['sql', 'oracle', 'agile']
13;administrateur-reseaux-h-f-1665795;"
                    insitoo-it ";Lille et périphérie (59000);1 année; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/administrateur-reseaux-h-f-1665795;['zscaler', ' sas']
14;data-engineer-h-f-1665559;"
                    insitoo-it ";Lille et périphérie (59000);1 année; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/data-engineer-h-f-1665559;['azure', 'python', 'spark', 'databricks', 'hadoop', 'snowflake']
15;analyst-data-sql-python-h-f-1665539;"
                    insitoo-it ";Lille et périphérie (59000);1 année; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/analyst-data-sql-python-h-f-1665539;['github', 'power bi', 'aws', 'python', 'spark', 'data lake', 'sql', 'databricks', 'jira', 'scrum', 'ssrs']
16;ingenieur-data-h-f-1665533;"
                    insitoo-it ";Lille et périphérie (59000);1 année; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/ingenieur-data-h-f-1665533;['java', 'github', 'power bi', 'aws', 'python', 'spark', 'data lake', 'sql', 'databricks', 'ci/cd', 'jira', 'terraform', 'scala', 'ssrs']
17;developpeur-c-vue-js-h-f-1665529;"
                    insitoo-it ";Lille et périphérie (59000);1 année; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/developpeur-c-vue-js-h-f-1665529;['azure', 'sql', 'scrum']
18;technicien-habilitations-h-f-1665515;"
                    insitoo-it ";Lyon;1 année; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/technicien-habilitations-h-f-1665515;['vpn']
19;developpeur-full-stack-h-f-1665446;"
                    insitoo-it ";Lyon;1 année; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/developpeur-full-stack-h-f-1665446;['java', 'sql', 'gcp', 'agile', 'scrum', 'mongodb']
20;developpeur-c-dotnet-h-f-1665394;"
                    insitoo-it ";Lyon;1 année; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/developpeur-c-dotnet-h-f-1665394;['sql']
21;directeur-de-projet-h-f-1665333;"
                    insitoo-it ";Lyon;1 année; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/directeur-de-projet-h-f-1665333;[]
