;title;companyname;location;duration;salary;date;joblink;jobskills
0;developpeur-react-native-1666731;"
                    HIGHTEAM ";Paris;3 années; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/developpeur-react-native-1666731;['java', ' sas']
1;business-analsyt-titrisation-risque-1666684;"
                    HIGHTEAM ";Paris;3 années; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/business-analsyt-titrisation-risque-1666684;['power bi', ' bo ', 'agile']
2;ingenieur-d-exploitation-1666528;"
                    HIGHTEAM ";Paris;3 années; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/ingenieur-d-exploitation-1666528;['azure', 'docker', 'linux']
3;chef-de-projet-experience-en-developpement-d-applications-web-anglais-courant-1664430;"
                    HIGHTEAM ";Paris;3 années; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-experience-en-developpement-d-applications-web-anglais-courant-1664430;['agile', 'anglais']
4;business-analyst-api-1664345;"
                    HIGHTEAM ";Ile de France;3 années; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/business-analyst-api-1664345;['jira', 'agile', 'confluence', 'xray', 'anglais', 'scrum', 'microservice']
5;expert-architecte-securite-infrastructures-1664290;"
                    HIGHTEAM ";Ile de France;3 années; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/expert-architecte-securite-infrastructures-1664290;['azure', 'ci/cd', 'scala']
6;coordinateur-it-1664176;"
                    HIGHTEAM ";Paris;24 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/coordinateur-it-1664176;[]
7;chef-de-projet-qualite-recette-1664127;"
                    HIGHTEAM ";Paris;24 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-qualite-recette-1664127;[' excel ', 'jira', 'xray']
8;consultant-qualification-tests-d-integration-recette-fonctionnelle-1664128;"
                    HIGHTEAM ";Paris;3 années; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/consultant-qualification-tests-d-integration-recette-fonctionnelle-1664128;[' excel ', 'jira', 'xray']
9;charge-de-projets-programme-de-paiement-1664112;"
                    HIGHTEAM ";Paris;3 années; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/charge-de-projets-programme-de-paiement-1664112;[]
10;consultant-data-microsoft-1666389;"
                    HIGHTEAM ";Ile de France;3 années; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/consultant-data-microsoft-1666389;['power bi', 'azure', 'sql', 'agile', 'modélisation', 'scrum', ' ssis']
11;business-analyst-specialiste-derives-listes-1666338;"
                    HIGHTEAM ";Ile de France;3 années; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/business-analyst-specialiste-derives-listes-1666338;[' sas']
12;administrateur-ingenieur-ou-integrateur-base-de-donnees-ms-sql-1666272;"
                    HIGHTEAM ";Paris;3 années; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/administrateur-ingenieur-ou-integrateur-base-de-donnees-ms-sql-1666272;['sql', 'anglais', 'powershell', 'tsql', 'ssrs', ' ssis', 'ssas', 'linux']
13;qa-testing-1666263;"
                    HIGHTEAM ";Paris;3 années; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/qa-testing-1666263;['azure']
14;core-hr-1666261;"
                    HIGHTEAM ";Paris;3 années; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/core-hr-1666261;['aws', 'anglais']
15;expertise-kubernetes-docker-1666226;"
                    HIGHTEAM ";Paris;3 années; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/expertise-kubernetes-docker-1666226;['github', 'docker', 'python', 'agile', 'apache', 'tomcat', 'jboss', ' sas', 'powershell']
16;chef-de-projet-java-1666151;"
                    HIGHTEAM ";Paris;3 années; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-java-1666151;['java', 'sql', 'oracle', ' sas']
17;chef-de-projet-pms-1666139;"
                    HIGHTEAM ";Paris;3 années; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-pms-1666139;['anglais']
18;developpeur-transact-sql-1666138;"
                    HIGHTEAM ";Paris;3 années; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/developpeur-transact-sql-1666138;['sql', 'datawarehouse', 'powershell', ' ssis']
19;ingenieur-infrastructure-messagerie-exchange-skype-teams-1643920;"
                    HIGHTEAM ";Paris;3 années; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/ingenieur-infrastructure-messagerie-exchange-skype-teams-1643920;['anglais', 'powershell']
20;developpeur-android-confirme-1652235;"
                    HIGHTEAM ";Paris;3 années; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/developpeur-android-confirme-1652235;['java', 'jenkins', 'api rest', 'jira', 'agile', 'xray', 'anglais']
21;ingenieur-de-production-1666134;"
                    HIGHTEAM ";Paris;3 années; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/ingenieur-de-production-1666134;['ansible', 'sql', 'oracle', 'apache', 'mysql']
22;expert-en-cybersecurite-1663931;"
                    HIGHTEAM ";Paris;3 années; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/expert-en-cybersecurite-1663931;['tableau', 'tableaux de bord', ' sas']
