;title;companyname;location;duration;salary;date;joblink;jobskills
0;administrateur-ansible-1666804;"
                    WorldWide People ";Chapelle-Saint-Mesmin (La);9 mois; 300-330 €;10/02/2022;https://www.freelance-info.fr/mission/administrateur-ansible-1666804;['tableau', 'sql', 'db2', 'oracle', 'tableaux de bord', 'apache', 'ldap', 'mysql', 'mongodb', 'scala', 'linux']
1;ingenierie-reseau-1666803;"
                    WorldWide People ";Chapelle-Saint-Mesmin (La);9 mois; 300-330 €;10/02/2022;https://www.freelance-info.fr/mission/ingenierie-reseau-1666803;['sql', 'jira']
2;testeur-api-web-services-testing-functional-testing-test-automation-test-consulting-1666802;"
                    WorldWide People ";Paris;12 mois; 400 €;10/02/2022;https://www.freelance-info.fr/mission/testeur-api-web-services-testing-functional-testing-test-automation-test-consulting-1666802;[]
3;concepteur-developpeur-senior-mainframe-1666801;"
                    WorldWide People ";Paris;12 mois; 400 €;10/02/2022;https://www.freelance-info.fr/mission/concepteur-developpeur-senior-mainframe-1666801;['talend', 'java']
4;concepteur-developpeur-api-j-ee-1666800;"
                    WorldWide People ";Paris;10 mois; 400 €;10/02/2022;https://www.freelance-info.fr/mission/concepteur-developpeur-api-j-ee-1666800;[]
5;scrum-master-nantes-1666799;"
                    WorldWide People ";Paris;10 mois; 400 €;10/02/2022;https://www.freelance-info.fr/mission/scrum-master-nantes-1666799;['java', 'agile', 'scrum']
6;expert-administration-o-1666798;"
                    WorldWide People ";Massy;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/expert-administration-o-1666798;['powerbi', 'azure', 'anglais', 'powershell']
7;developpeur-c-sql-mariadb-kafka-shell-linux-nodejs-et-ou-c-apprecie-1666797;"
                    WorldWide People ";Massy;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/developpeur-c-sql-mariadb-kafka-shell-linux-nodejs-et-ou-c-apprecie-1666797;['java', ' git ', 'gitlab', 'kafka', 'docker', 'ansible', 'python', 'sql', 'agile', 'anglais', 'apache', 'cartographie', 'jboss', 'mariadb', 'mongodb', 'vba', 'linux']
8;ingenieur-systemes-reseaux-et-securite-1666796;"
                    WorldWide People ";Massy;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/ingenieur-systemes-reseaux-et-securite-1666796;['anglais']
9;directeur-de-projet-experimente-avec-un-minimum-de-ans-d-experience-en-conduite-de-projet-1666781;"
                    WorldWide People ";Massy;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/directeur-de-projet-experimente-avec-un-minimum-de-ans-d-experience-en-conduite-de-projet-1666781;[]
10;operation-applicationsmanagement-1666563;"
                    WorldWide People ";Saint-Quentin;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/operation-applicationsmanagement-1666563;['puppet', 'ansible', 'oracle', 'apache', 'tomcat', 'jboss', 'linux']
11;consultant-crm-dynamics-1666561;"
                    WorldWide People ";Saint-Quentin;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/consultant-crm-dynamics-1666561;[]
12;operations-applicationsmanagement-1666560;"
                    WorldWide People ";Saint-Quentin;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/operations-applicationsmanagement-1666560;['puppet', 'ansible', 'oracle', 'apache', 'tomcat', 'jboss', 'linux']
