;title;companyname;location;duration;salary;date;joblink;jobskills
0;consultant-drupal-1666788;"
                    CELAD ";Paris;12 mois; 400-550 €;10/02/2022;https://www.freelance-info.fr/mission/consultant-drupal-1666788;['java', 'docker', 'linux']
1;administrateur-technique-f-h-1666775;"
                    CELAD ";Paris;12 mois; 400-550 €;10/02/2022;https://www.freelance-info.fr/mission/administrateur-technique-f-h-1666775;['elk', 'sql', 'oracle', 'apache', 'tomcat', 'postgresql', 'mongodb', 'linux']
2;analyste-concepteur-data-f-h-1666771;"
                    CELAD ";Lille;1 année; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/analyste-concepteur-data-f-h-1666771;[' odi ', 'sql', 'anglais', 'linux']
3;data-analyst-f-h-1666769;"
                    CELAD ";Lille;1 année; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/data-analyst-f-h-1666769;['azure', 'python', 'spark', 'hive', 'gcp', 'hadoop', 'oracle', 'agile', 'cloudera', 'anglais']
4;ingenieur-etude-et-developpement-front-end-f-h-1666768;"
                    CELAD ";Lille;1 année; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/ingenieur-etude-et-developpement-front-end-f-h-1666768;['java', 'agile']
5;developpeur-power-platform-1666753;"
                    CELAD ";Lille;1 année; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/developpeur-power-platform-1666753;['java', 'power bi', ' sas', 'powershell']
6;business-analyst-technico-fonctionnel-expertise-salesforce-1666557;"
                    CELAD ";Lille;1 année; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/business-analyst-technico-fonctionnel-expertise-salesforce-1666557;['anglais', ' sas', 'salesforce']
7;data-analyst-loan-iq-datanet-finlake-1666549;"
                    CELAD ";Lille;1 année; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/data-analyst-loan-iq-datanet-finlake-1666549;['powerbi', ' sas']
8;developpeur-it-quant-finance-c-spark-fire-1666541;"
                    CELAD ";Lille;1 année; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/developpeur-it-quant-finance-c-spark-fire-1666541;['spark', 'agile', 'scrum', ' sas']
9;support-technique-developpeur-dataflow-t-sql-ctrlm-1666533;"
                    CELAD ";Lille;1 année; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/support-technique-developpeur-dataflow-t-sql-ctrlm-1666533;['sql', 'hadoop', ' bo ', 'agile', 'anglais', 'kanban', ' sas', 'ssas']
10;expertise-coach-agile-spotify-safe-1664382;"
                    CELAD ";Charenton-le-Pont;12 mois; 440 €;10/02/2022;https://www.freelance-info.fr/mission/expertise-coach-agile-spotify-safe-1664382;['agile', ' sas']
11;ingenieur-qa-h-f-1664348;"
                    CELAD ";Charenton-le-Pont;12 mois; 440 €;10/02/2022;https://www.freelance-info.fr/mission/ingenieur-qa-h-f-1664348;['jira', 'agile', 'grafana']
12;ingenieur-developpeur-cloud-full-stack-python-angular-1664164;"
                    CELAD ";Paris;12 mois; 550 €;10/02/2022;https://www.freelance-info.fr/mission/ingenieur-developpeur-cloud-full-stack-python-angular-1664164;['azure', 'docker', 'python', 'data lake', 'sql', 'gcp', 'agile', 'anglais', 'scrum', 'microservice']
13;ingenieur-developpeur-software-c-linux-embarque-1664154;"
                    CELAD ";Paris;12 mois; 550 €;10/02/2022;https://www.freelance-info.fr/mission/ingenieur-developpeur-software-c-linux-embarque-1664154;['linux']
