;title;companyname;location;duration;salary;date;joblink;jobskills
0;devsecops-confirme-h-f-1664252;"
                    BI NEWVISION ";Paris;12 mois; 400-450 €;10/02/2022;https://www.freelance-info.fr/mission/devsecops-confirme-h-f-1664252;['ci/cd', 'microservice']
1;chef-de-projet-h-f-1666036;"
                    BI NEWVISION ";Paris;12 mois; 400-450 €;10/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-h-f-1666036;['agile']
2;chef-de-projet-infra-1666034;"
                    BI NEWVISION ";Paris;12 mois; 400-550 €;08/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-infra-1666034;['tableau', 'tableaux de bord']
3;product-owner-expert-saleforce-et-agilite-h-f-1665849;"
                    BI NEWVISION ";Paris;12 mois; 400-550 €;08/02/2022;https://www.freelance-info.fr/mission/product-owner-expert-saleforce-et-agilite-h-f-1665849;['agile', 'scrum', 'salesforce']
4;project-manager-confirme-h-f-1665847;"
                    BI NEWVISION ";Paris;12 mois; 400-550 €;08/02/2022;https://www.freelance-info.fr/mission/project-manager-confirme-h-f-1665847;['java', 'tableau', 'azure', ' r ', 'sql']
5;architecte-technique-expert-infrastructure-h-f-1665837;"
                    BI NEWVISION ";Paris;12 mois; 400-550 €;08/02/2022;https://www.freelance-info.fr/mission/architecte-technique-expert-infrastructure-h-f-1665837;[]
6;integrateur-application-expert-h-f-1665829;"
                    BI NEWVISION ";Paris;12 mois; 500-550 €;08/02/2022;https://www.freelance-info.fr/mission/integrateur-application-expert-h-f-1665829;['tableau', 'azure', 'anglais', 'tableaux de bord', 'apache', 'cartographie', 'powershell', 'linux']
7;admin-outils-systemes-reseaux-h-f-1665809;"
                    BI NEWVISION ";Paris;12 mois; 500-550 €;08/02/2022;https://www.freelance-info.fr/mission/admin-outils-systemes-reseaux-h-f-1665809;['anglais', 'vpn']
8;devops-java-expert-h-f-1663655;"
                    BI NEWVISION ";Paris;12 mois; 350-450 €;08/02/2022;https://www.freelance-info.fr/mission/devops-java-expert-h-f-1663655;['java', 'jenkins', 'kafka', 'ansible', 'python', 'maven', 'sql', 'agile', 'terraform', 'apache', 'grafana', 'logstash', 'telegraf', 'postgresql', 'scala', ' sas', 'linux']
9;business-analyste-fonctionnel-logistique-confirme-h-f-1663610;"
                    BI NEWVISION ";Paris;12 mois; 350-450 €;08/02/2022;https://www.freelance-info.fr/mission/business-analyste-fonctionnel-logistique-confirme-h-f-1663610;['anglais', 'cartographie', ' sas']
10;administrateur-systeme-outillage-h-f-grenoble-1663583;"
                    BI NEWVISION ";Paris;12 mois; 450-500 €;08/02/2022;https://www.freelance-info.fr/mission/administrateur-systeme-outillage-h-f-grenoble-1663583;['apache', 'tomcat', ' sas']
11;industrialisateur-outillage-h-f-1663586;"
                    BI NEWVISION ";Paris;12 mois; 450-500 €;08/02/2022;https://www.freelance-info.fr/mission/industrialisateur-outillage-h-f-1663586;['java', 'sql', 'oracle', 'apache', 'tomcat', ' sas']
12;expert-cybersecurite-h-f-1665405;"
                    BI NEWVISION ";Paris;12 mois; 380-440 €;08/02/2022;https://www.freelance-info.fr/mission/expert-cybersecurite-h-f-1665405;['aws', 'azure', 'python', 'anglais', 'zscaler', 'splunk']
13;po-h-f-1664925;"
                    BI NEWVISION ";Paris;12 mois; 380-440 €;08/02/2022;https://www.freelance-info.fr/mission/po-h-f-1664925;['sql', 'jira', 'agile', 'kanban', 'scrum']
14;developpeur-big-data-h-f-1664911;"
                    BI NEWVISION ";Paris;12 mois; 350-380 €;08/02/2022;https://www.freelance-info.fr/mission/developpeur-big-data-h-f-1664911;['java', 'powerbi', 'kafka', 'python', 'spark', 'hive', 'hadoop', 'api rest', 'agile', 'scala']
