;title;companyname;location;duration;salary;date;joblink;jobskills
0;marseille-pmo-ans-tjm-selon-seniorite-1666726;"
                    BlueSoftGroup ";Marseille;1 année; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/marseille-pmo-ans-tjm-selon-seniorite-1666726;[' sas']
1;chef-de-projet-si-habilitation-maxi-nantes-1664332;"
                    BlueSoftGroup ";Marseille;1 année; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-si-habilitation-maxi-nantes-1664332;[' sas']
2;responsable-informatique-1664336;"
                    BlueSoftGroup ";Nantes;6 mois; 100-450 €;10/02/2022;https://www.freelance-info.fr/mission/responsable-informatique-1664336;['java', 'azure', 'hive', 'sql', 'mysql']
3;maxi-cp-moa-confirme-epargne-epargne-salariale-agile-digital-1664267;"
                    BlueSoftGroup ";Nantes;6 mois; 100-450 €;10/02/2022;https://www.freelance-info.fr/mission/maxi-cp-moa-confirme-epargne-epargne-salariale-agile-digital-1664267;['agile', ' sas']
4;maxi-moa-moe-prevoyance-mainframe-confirme-1666397;"
                    BlueSoftGroup ";Paris;3 années; 100-600 €;10/02/2022;https://www.freelance-info.fr/mission/maxi-moa-moe-prevoyance-mainframe-confirme-1666397;[' sas']
5;developpeur-python-1666396;"
                    BlueSoftGroup ";Paris;3 années; 100-600 €;10/02/2022;https://www.freelance-info.fr/mission/developpeur-python-1666396;['gitlab', 'docker', 'python', 'ci/cd', 'jira', 'scrum']
6;pmo-suivi-de-portefeuilles-projet-1666118;"
                    BlueSoftGroup ";Paris;101 jours; 500-580 €;10/02/2022;https://www.freelance-info.fr/mission/pmo-suivi-de-portefeuilles-projet-1666118;['tableau', 'confluence', 'tableaux de bord', ' sas']
7;po-confirme-bancaire-maxi-environnement-cybersecurite-et-ou-infra-1663996;"
                    BlueSoftGroup ";Paris;101 jours; 500-580 €;10/02/2022;https://www.freelance-info.fr/mission/po-confirme-bancaire-maxi-environnement-cybersecurite-et-ou-infra-1663996;[' sas']
8;recette-prevoyance-confirme-1665968;"
                    BlueSoftGroup ";Paris;1 année; 400-500 €;09/02/2022;https://www.freelance-info.fr/mission/recette-prevoyance-confirme-1665968;[' sas']
9;maxi-gestionnaire-garanties-internationales-ans-d-experiences-mini-1665842;"
                    BlueSoftGroup ";Paris;1 année; 400-500 €;09/02/2022;https://www.freelance-info.fr/mission/maxi-gestionnaire-garanties-internationales-ans-d-experiences-mini-1665842;[' sas']
10;pilote-de-chantier-d-activite-phases-de-fabrications-editique-1663635;"
                    BlueSoftGroup ";Paris;3 années; 100-500 €;09/02/2022;https://www.freelance-info.fr/mission/pilote-de-chantier-d-activite-phases-de-fabrications-editique-1663635;[' sas']
11;recette-prevoyance-activ-infinite-confirme-1663295;"
                    BlueSoftGroup ";Paris;3 années; 100-500 €;09/02/2022;https://www.freelance-info.fr/mission/recette-prevoyance-activ-infinite-confirme-1663295;[' sas']
12;technicien-support-n-environnement-de-travail-utilisateur-1663016;"
                    BlueSoftGroup ";Paris;12 mois; 550-600 €;09/02/2022;https://www.freelance-info.fr/mission/technicien-support-n-environnement-de-travail-utilisateur-1663016;[' sas']
13;architecte-ingenieur-reseau-et-securite-1664972;"
                    BlueSoftGroup ";Paris;12 mois; 550-600 €;09/02/2022;https://www.freelance-info.fr/mission/architecte-ingenieur-reseau-et-securite-1664972;['tableau', 'anglais', 'tableaux de bord', 'vpn', ' sas', 'linux']
14;pilote-sirh-digital-learning-1664853;"
                    BlueSoftGroup ";Paris;3 mois; 400-500 €;09/02/2022;https://www.freelance-info.fr/mission/pilote-sirh-digital-learning-1664853;['powerpoint', ' sas']
15;dp-pilote-de-recette-de-bout-en-bout-1664742;"
                    BlueSoftGroup ";Paris;3 mois; 400-500 €;09/02/2022;https://www.freelance-info.fr/mission/dp-pilote-de-recette-de-bout-en-bout-1664742;[' sas']
16;directeur-de-projet-pilote-recettes-1664736;"
                    BlueSoftGroup ";Paris;3 mois; 400-450 €;08/02/2022;https://www.freelance-info.fr/mission/directeur-de-projet-pilote-recettes-1664736;[' sas']
17;chef-de-projet-production-maxi-nantes-1664623;"
                    BlueSoftGroup ";Paris;3 mois; 400-450 €;08/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-production-maxi-nantes-1664623;['itil', ' sas', 'linux']
18;chef-de-projet-production-1662533;"
                    BlueSoftGroup ";Paris;254 jours; 290-350 €;08/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-production-1662533;[' sas']
19;data-analyst-marketing-senior-banque-internet-mobile-crm-transact-sql-1662386;"
                    BlueSoftGroup ";Paris;254 jours; 290-350 €;08/02/2022;https://www.freelance-info.fr/mission/data-analyst-marketing-senior-banque-internet-mobile-crm-transact-sql-1662386;['sql', ' sas']
20;consultant-decisionnel-senior-modelisation-1661931;"
                    BlueSoftGroup ";Niort;12 mois; 490-500 €;08/02/2022;https://www.freelance-info.fr/mission/consultant-decisionnel-senior-modelisation-1661931;['modélisation', ' sas']
21;cp-moa-senior-sante-ro-rc-maxi-1661299;"
                    BlueSoftGroup ";Niort;12 mois; 490-500 €;08/02/2022;https://www.freelance-info.fr/mission/cp-moa-senior-sante-ro-rc-maxi-1661299;['sql', 'agile', ' sas']
22;cp-integrateur-technique-e-d-1661302;"
                    BlueSoftGroup ";Paris;3 mois; 400-500 €;05/02/2022;https://www.freelance-info.fr/mission/cp-integrateur-technique-e-d-1661302;[' sas']
23;chef-de-projet-si-data-1660916;"
                    BlueSoftGroup ";Paris;3 mois; 400-500 €;05/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-si-data-1660916;['talend', 'oracle', 'agile', 'cloudera', ' sas']
24;pmo-cp-confirme-maxi-1660831;"
                    BlueSoftGroup ";Rennes;8 mois; 100-300 €;05/02/2022;https://www.freelance-info.fr/mission/pmo-cp-confirme-maxi-1660831;['sql', ' sas']
25;pmo-cp-confirme-prince-maxi-1660818;"
                    BlueSoftGroup ";Rennes;8 mois; 100-300 €;05/02/2022;https://www.freelance-info.fr/mission/pmo-cp-confirme-prince-maxi-1660818;[' sas']
