;title;companyname;location;duration;salary;date;joblink;jobskills
0;sap-grc-module-access-control-et-process-control-1664147;"
                    CRYSTAL PLACEMENT ";Paris;12 mois; 350-480 €;10/02/2022;https://www.freelance-info.fr/mission/sap-grc-module-access-control-et-process-control-1664147;[]
1;amoa-projet-sap-hcm-success-factors-casablanca-maroc-1666412;"
                    CRYSTAL PLACEMENT ";Paris;12 mois; 350-480 €;10/02/2022;https://www.freelance-info.fr/mission/amoa-projet-sap-hcm-success-factors-casablanca-maroc-1666412;['anglais', ' sas']
2;sap-carve-out-transition-1666383;"
                    CRYSTAL PLACEMENT ";Casablanca;3 années; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/sap-carve-out-transition-1666383;['anglais', ' sas']
3;responsable-de-programme-sirh-1666369;"
                    CRYSTAL PLACEMENT ";Casablanca;3 années; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/responsable-de-programme-sirh-1666369;['anglais', ' sas']
4;consultant-sap-pp-expert-1666358;"
                    CRYSTAL PLACEMENT ";Paris;8 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/consultant-sap-pp-expert-1666358;['anglais', ' sas']
5;sap-sd-mm-is-oil-senior-1666188;"
                    CRYSTAL PLACEMENT ";Paris;8 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/sap-sd-mm-is-oil-senior-1666188;['java', 'powerbi', ' excel ', 'anglais', 'vba']
6;sap-pm-1665600;"
                    CRYSTAL PLACEMENT ";Paris;12 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/sap-pm-1665600;[]
7;mission-sap-vim-remote-1665325;"
                    CRYSTAL PLACEMENT ";Paris;12 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/mission-sap-vim-remote-1665325;[' sas']
8;consultant-sap-mm-wm-1663207;"
                    CRYSTAL PLACEMENT ";Paris;12 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/consultant-sap-mm-wm-1663207;['anglais', ' sas']
9;besoin-tres-urgent-mission-sap-mii-1663218;"
                    CRYSTAL PLACEMENT ";Paris;12 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/besoin-tres-urgent-mission-sap-mii-1663218;[' sas']
10;chef-de-projet-retail-deploiement-d-erp-1663084;"
                    CRYSTAL PLACEMENT ";Paris;6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-retail-deploiement-d-erp-1663084;['anglais', ' sas']
11;architect-technique-sap-s-hana-1663075;"
                    CRYSTAL PLACEMENT ";Paris;6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/architect-technique-sap-s-hana-1663075;['azure', 'sql', 'gcp', 'anglais', ' sas']
12;consultant-designer-sap-fico-1663033;"
                    CRYSTAL PLACEMENT ";Avignon;2 mois; 400-550 €;07/02/2022;https://www.freelance-info.fr/mission/consultant-designer-sap-fico-1663033;['anglais', ' sas']
13;sap-bpc-embedded-1665010;"
                    CRYSTAL PLACEMENT ";Avignon;2 mois; 400-550 €;07/02/2022;https://www.freelance-info.fr/mission/sap-bpc-embedded-1665010;[]
14;program-manager-sap-1664962;"
                    CRYSTAL PLACEMENT ";Paris;6 mois; Tarif non renseigné;07/02/2022;https://www.freelance-info.fr/mission/program-manager-sap-1664962;[' sas']
15;sap-apo-ibp-pp-ds-1664787;"
                    CRYSTAL PLACEMENT ";Paris;6 mois; Tarif non renseigné;07/02/2022;https://www.freelance-info.fr/mission/sap-apo-ibp-pp-ds-1664787;[]
16;consultant-amoa-sap-fi-s-hana-1662617;"
                    CRYSTAL PLACEMENT ";Paris;12 mois; Tarif non renseigné;05/02/2022;https://www.freelance-info.fr/mission/consultant-amoa-sap-fi-s-hana-1662617;[' sas']
17;mission-sap-fi-sap-bcm-trm-cash-treasury-management-1662619;"
                    CRYSTAL PLACEMENT ";Paris;12 mois; Tarif non renseigné;05/02/2022;https://www.freelance-info.fr/mission/mission-sap-fi-sap-bcm-trm-cash-treasury-management-1662619;[' sas']
18;analyste-fonctionnel-logistique-sap-mm-1662545;"
                    CRYSTAL PLACEMENT ";Paris;3 mois; Tarif non renseigné;05/02/2022;https://www.freelance-info.fr/mission/analyste-fonctionnel-logistique-sap-mm-1662545;['anglais']
19;sap-abap-tunisie-1662465;"
                    CRYSTAL PLACEMENT ";Paris;3 mois; Tarif non renseigné;05/02/2022;https://www.freelance-info.fr/mission/sap-abap-tunisie-1662465;[]
20;consultant-sap-fi-co-tunisie-1661751;"
                    CRYSTAL PLACEMENT ";Paris;24 mois; 550-600 €;05/02/2022;https://www.freelance-info.fr/mission/consultant-sap-fi-co-tunisie-1661751;['anglais', ' sas']
21;mission-pour-consultant-sap-s-hana-1661314;"
                    CRYSTAL PLACEMENT ";Paris;24 mois; 550-600 €;05/02/2022;https://www.freelance-info.fr/mission/mission-pour-consultant-sap-s-hana-1661314;[' sas']
22;amoa-sap-sd-1661009;"
                    CRYSTAL PLACEMENT ";Paris;6 mois; Tarif non renseigné;05/02/2022;https://www.freelance-info.fr/mission/amoa-sap-sd-1661009;[' sas']
23;consultant-sap-bw-trm-1660971;"
                    CRYSTAL PLACEMENT ";Paris;6 mois; Tarif non renseigné;05/02/2022;https://www.freelance-info.fr/mission/consultant-sap-bw-trm-1660971;[' sas']
24;directeur-de-programme-strategique-sap-1660808;"
                    CRYSTAL PLACEMENT ";Paris;6 mois; Tarif non renseigné;05/02/2022;https://www.freelance-info.fr/mission/directeur-de-programme-strategique-sap-1660808;['anglais', ' sas']
25;administrateur-sap-asap-1660625;"
                    CRYSTAL PLACEMENT ";Paris;6 mois; Tarif non renseigné;05/02/2022;https://www.freelance-info.fr/mission/administrateur-sap-asap-1660625;[' bo ', 'db2', 'oracle', 'anglais', 'linux']
26;consultant-deploiement-sap-fi-s-hana-1660507;"
                    CRYSTAL PLACEMENT ";Paris;6 mois; Tarif non renseigné;04/02/2022;https://www.freelance-info.fr/mission/consultant-deploiement-sap-fi-s-hana-1660507;['anglais']
27;sap-qm-senior-1660490;"
                    CRYSTAL PLACEMENT ";Paris;6 mois; Tarif non renseigné;04/02/2022;https://www.freelance-info.fr/mission/sap-qm-senior-1660490;[]
28;mission-sap-ewm-maroc-1660170;"
                    CRYSTAL PLACEMENT ";Orly;12 mois; 800 €;04/02/2022;https://www.freelance-info.fr/mission/mission-sap-ewm-maroc-1660170;[' sas']
29;excellente-mission-sap-mm-parametrage-tres-beau-client-1659957;"
                    CRYSTAL PLACEMENT ";Orly;12 mois; 800 €;04/02/2022;https://www.freelance-info.fr/mission/excellente-mission-sap-mm-parametrage-tres-beau-client-1659957;[' sas']
30;data-senior-analyste-metier-1659622;"
                    CRYSTAL PLACEMENT ";Paris;6 mois; Tarif non renseigné;03/02/2022;https://www.freelance-info.fr/mission/data-senior-analyste-metier-1659622;[]
31;architecte-solutions-sap-s-hana-1659551;"
                    CRYSTAL PLACEMENT ";Paris;6 mois; Tarif non renseigné;03/02/2022;https://www.freelance-info.fr/mission/architecte-solutions-sap-s-hana-1659551;[]
32;chef-de-projet-sap-mm-wms-1659331;"
                    CRYSTAL PLACEMENT ";Paris;24 mois; 500-620 €;03/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-sap-mm-wms-1659331;['agile', ' sas']
33;sap-sd-mm-cs-1659121;"
                    CRYSTAL PLACEMENT ";Paris;24 mois; 500-620 €;03/02/2022;https://www.freelance-info.fr/mission/sap-sd-mm-cs-1659121;[' sas']
34;sap-bw-s-hana-1659122;"
                    CRYSTAL PLACEMENT ";Paris;6 mois; Tarif non renseigné;03/02/2022;https://www.freelance-info.fr/mission/sap-bw-s-hana-1659122;[' sas']
35;moa-isu-asap-1659125;"
                    CRYSTAL PLACEMENT ";Paris;6 mois; Tarif non renseigné;03/02/2022;https://www.freelance-info.fr/mission/moa-isu-asap-1659125;[' sas']
36;sap-sd-mm-besoin-urgent-1659093;"
                    CRYSTAL PLACEMENT ";BELGIQUE (Pays);6 mois; Tarif non renseigné;03/02/2022;https://www.freelance-info.fr/mission/sap-sd-mm-besoin-urgent-1659093;[' sas']
37;mission-pour-consultants-seniors-fico-1659053;"
                    CRYSTAL PLACEMENT ";BELGIQUE (Pays);6 mois; Tarif non renseigné;03/02/2022;https://www.freelance-info.fr/mission/mission-pour-consultants-seniors-fico-1659053;['anglais', ' sas']
38;chef-de-projet-sap-fi-co-s-hana-1658916;"
                    CRYSTAL PLACEMENT ";Autre pays;12 mois; Tarif non renseigné;03/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-sap-fi-co-s-hana-1658916;['anglais', ' sas']
39;amoa-sap-sd-mm-s-hana-1658015;"
                    CRYSTAL PLACEMENT ";Autre pays;12 mois; Tarif non renseigné;03/02/2022;https://www.freelance-info.fr/mission/amoa-sap-sd-mm-s-hana-1658015;[' sas']
40;administrateur-sap-bc-h-f-ans-d-experience-1657323;"
                    CRYSTAL PLACEMENT ";Autre pays;12 mois; 260-400 €;01/02/2022;https://www.freelance-info.fr/mission/administrateur-sap-bc-h-f-ans-d-experience-1657323;['java']
41;architecte-solutions-sap-ans-d-experience-1657303;"
                    CRYSTAL PLACEMENT ";Autre pays;12 mois; 260-400 €;01/02/2022;https://www.freelance-info.fr/mission/architecte-solutions-sap-ans-d-experience-1657303;[' sas']
42;consultant-deploiement-oracle-netsuite-1657214;"
                    CRYSTAL PLACEMENT ";FRANCE (Pays);1 mois; Tarif non renseigné;29/01/2022;https://www.freelance-info.fr/mission/consultant-deploiement-oracle-netsuite-1657214;['oracle', ' sas']
43;mission-sap-bw-technico-fonctionnel-1657092;"
                    CRYSTAL PLACEMENT ";FRANCE (Pays);1 mois; Tarif non renseigné;29/01/2022;https://www.freelance-info.fr/mission/mission-sap-bw-technico-fonctionnel-1657092;[' sas']
44;sap-sd-mm-1656865;"
                    CRYSTAL PLACEMENT ";Toulouse;6 mois; Tarif non renseigné;28/01/2022;https://www.freelance-info.fr/mission/sap-sd-mm-1656865;['anglais']
45;sap-fi-co-asap-1656867;"
                    CRYSTAL PLACEMENT ";Toulouse;6 mois; Tarif non renseigné;28/01/2022;https://www.freelance-info.fr/mission/sap-fi-co-asap-1656867;['anglais']
46;un-cdp-infrastructure-reseaux-et-securite-1656384;"
                    CRYSTAL PLACEMENT ";Télétravail;10 jours; Tarif non renseigné;28/01/2022;https://www.freelance-info.fr/mission/un-cdp-infrastructure-reseaux-et-securite-1656384;[]
47;mission-pour-consultant-freelance-sap-fi-co-projet-d-envergure-internationale-1655974;"
                    CRYSTAL PLACEMENT ";Télétravail;10 jours; Tarif non renseigné;28/01/2022;https://www.freelance-info.fr/mission/mission-pour-consultant-freelance-sap-fi-co-projet-d-envergure-internationale-1655974;['agile', 'anglais', ' sas']
48;mission-sap-sd-ateliers-de-cadrage-1655775;"
                    CRYSTAL PLACEMENT ";Genève (CH);3 années; Tarif non renseigné;28/01/2022;https://www.freelance-info.fr/mission/mission-sap-sd-ateliers-de-cadrage-1655775;['anglais', ' sas']
49;consultant-sap-mm-1655755;"
                    CRYSTAL PLACEMENT ";Genève (CH);3 années; Tarif non renseigné;28/01/2022;https://www.freelance-info.fr/mission/consultant-sap-mm-1655755;[' sas']
