;title;companyname;location;duration;salary;date;joblink;jobskills
0;consultant-sap-sd-1664356;"
                    DUONEXT ";Paris;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/consultant-sap-sd-1664356;['anglais']
1;consultant-sap-fi-mm-1664361;"
                    DUONEXT ";Paris;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/consultant-sap-fi-mm-1664361;['anglais']
2;coordinateur-sap-fi-fiori-1664201;"
                    DUONEXT ";Paris;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/coordinateur-sap-fi-fiori-1664201;[' sas']
3;coordinateur-sap-mm-fiori-1664199;"
                    DUONEXT ";Paris;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/coordinateur-sap-mm-fiori-1664199;[' sas']
4;consultant-sap-abap-mm-1666375;"
                    DUONEXT ";Paris;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/consultant-sap-abap-mm-1666375;[]
5;consultant-sap-co-pa-s-1663949;"
                    DUONEXT ";Paris;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/consultant-sap-co-pa-s-1663949;['anglais', ' sas']
6;mission-sap-mm-1665584;"
                    DUONEXT ";Paris;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/mission-sap-mm-1665584;['anglais']
7;consultant-sap-retail-1665484;"
                    DUONEXT ";Paris;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/consultant-sap-retail-1665484;['anglais']
8;consultant-bw-hana-1665072;"
                    DUONEXT ";Paris;6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/consultant-bw-hana-1665072;[]
9;consultant-sap-car-1665029;"
                    DUONEXT ";Paris;6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/consultant-sap-car-1665029;['anglais', ' sas']
10;consultant-sap-mm-1662892;"
                    DUONEXT ";Paris;3 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/consultant-sap-mm-1662892;['anglais', ' sas']
11;consultant-sap-fi-co-senior-1662453;"
                    DUONEXT ";Paris;3 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/consultant-sap-fi-co-senior-1662453;['anglais']
12;serviceowner-workday-1662463;"
                    DUONEXT ";Paris;1 année; Tarif non renseigné;07/02/2022;https://www.freelance-info.fr/mission/serviceowner-workday-1662463;['anglais', ' sas']
13;product-owner-finance-sap-1662317;"
                    DUONEXT ";Paris;1 année; Tarif non renseigné;07/02/2022;https://www.freelance-info.fr/mission/product-owner-finance-sap-1662317;['anglais', ' sas']
14;chef-de-projet-amoa-retail-1664487;"
                    DUONEXT ";Paris;6 mois; Tarif non renseigné;07/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-amoa-retail-1664487;['anglais', ' sas']
15;consultant-sap-plm-pp-pm-qm-s-1662082;"
                    DUONEXT ";Paris;6 mois; Tarif non renseigné;07/02/2022;https://www.freelance-info.fr/mission/consultant-sap-plm-pp-pm-qm-s-1662082;[' sas']
16;mission-sap-hybris-1660330;"
                    DUONEXT ";Paris;3 mois; Tarif non renseigné;04/02/2022;https://www.freelance-info.fr/mission/mission-sap-hybris-1660330;['anglais']
17;coordinateur-test-uat-sap-1660335;"
                    DUONEXT ";Paris;3 mois; Tarif non renseigné;04/02/2022;https://www.freelance-info.fr/mission/coordinateur-test-uat-sap-1660335;['anglais', ' sas']
18;consultant-amoa-sap-fi-co-temps-partiel-1660336;"
                    DUONEXT ";Paris;6 mois; Tarif non renseigné;04/02/2022;https://www.freelance-info.fr/mission/consultant-amoa-sap-fi-co-temps-partiel-1660336;[' sas']
19;chef-de-projet-sap-bw-1660307;"
                    DUONEXT ";Paris;6 mois; Tarif non renseigné;04/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-sap-bw-1660307;['anglais']
20;chef-de-projet-s-fico-sd-mm-1660036;"
                    DUONEXT ";Paris;6 mois; 500-630 €;04/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-s-fico-sd-mm-1660036;['anglais', ' sas']
21;expertise-logistique-sap-retail-s-1659525;"
                    DUONEXT ";Paris;6 mois; 500-630 €;04/02/2022;https://www.freelance-info.fr/mission/expertise-logistique-sap-retail-s-1659525;['anglais']
22;mission-delivery-manager-run-sap-s-hana-1659288;"
                    DUONEXT ";Paris;12 mois; Tarif non renseigné;03/02/2022;https://www.freelance-info.fr/mission/mission-delivery-manager-run-sap-s-hana-1659288;[]
23;mission-delivery-manager-run-sap-s-hana-1659289;"
                    DUONEXT ";Paris;12 mois; Tarif non renseigné;03/02/2022;https://www.freelance-info.fr/mission/mission-delivery-manager-run-sap-s-hana-1659289;[]
24;mission-delivery-manager-run-sap-s-hana-1659290;"
                    DUONEXT ";Paris;12 mois; Tarif non renseigné;03/02/2022;https://www.freelance-info.fr/mission/mission-delivery-manager-run-sap-s-hana-1659290;[]
