;title;companyname;location;duration;salary;date;joblink;jobskills
0;developpeur-android-senior-1664307;"
                    FREELANCEREPUBLIK ";Montreuil;6 mois; 400-600 €;10/02/2022;https://www.freelance-info.fr/mission/developpeur-android-senior-1664307;['agile', 'anglais', ' sas']
1;developpeur-android-confirme-a-senior-1664308;"
                    FREELANCEREPUBLIK ";Montreuil;6 mois; 400-600 €;10/02/2022;https://www.freelance-info.fr/mission/developpeur-android-confirme-a-senior-1664308;['jenkins', ' sas']
2;developpeur-ios-confirmee-senior-1664309;"
                    FREELANCEREPUBLIK ";Montreuil;6 mois; 400-550 €;10/02/2022;https://www.freelance-info.fr/mission/developpeur-ios-confirmee-senior-1664309;['jenkins', ' sas']
3;developpeur-ios-senior-1664310;"
                    FREELANCEREPUBLIK ";Montreuil;6 mois; 400-550 €;10/02/2022;https://www.freelance-info.fr/mission/developpeur-ios-senior-1664310;['agile', 'anglais', ' sas']
4;developpeur-fullstack-java-angular-jsf-1664283;"
                    FREELANCEREPUBLIK ";Montreuil;6 mois; 400-600 €;10/02/2022;https://www.freelance-info.fr/mission/developpeur-fullstack-java-angular-jsf-1664283;['java', 'maven', 'sql', 'tomcat', 'postgresql']
5;developpeur-confirme-java-scala-1666250;"
                    FREELANCEREPUBLIK ";Montreuil;6 mois; 400-600 €;10/02/2022;https://www.freelance-info.fr/mission/developpeur-confirme-java-scala-1666250;[]
6;lead-dev-java-python-1666175;"
                    FREELANCEREPUBLIK ";Montreuil;6 mois; 400-600 €;10/02/2022;https://www.freelance-info.fr/mission/lead-dev-java-python-1666175;['java', 'gitlab', 'python', 'sql', 'ci/cd', 'api rest', 'agile', 'sonar', 'anglais', 'springboot', 'postgresql']
7;developpeur-flutter-1663875;"
                    FREELANCEREPUBLIK ";Montreuil;6 mois; 400-600 €;10/02/2022;https://www.freelance-info.fr/mission/developpeur-flutter-1663875;['anglais', ' sas']
8;developpeur-fullstack-mobile-back-end-ios-java-android-kotlin-1665969;"
                    FREELANCEREPUBLIK ";Levallois-Perret;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/developpeur-fullstack-mobile-back-end-ios-java-android-kotlin-1665969;['java']
9;developpeur-fullstack-symfony-react-1663645;"
                    FREELANCEREPUBLIK ";Levallois-Perret;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/developpeur-fullstack-symfony-react-1663645;['java', 'aws', 'docker', 'sql', 'agile', 'postgresql', 'scrum', 'linux']
