;title;companyname;location;duration;salary;date;joblink;jobskills
0;administrateur-sap-sap-bc-oracle-a-ans-d-experience-en-tant-qu-administrateur-sap-bc-1666411;"
                    KEYNAN ";Lyon;9 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/administrateur-sap-sap-bc-oracle-a-ans-d-experience-en-tant-qu-administrateur-sap-bc-1666411;['sql', 'oracle', 'itil', ' sas']
1;ingenieur-de-production-confirme-ibm-zos-n-1666409;"
                    KEYNAN ";Lyon;9 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/ingenieur-de-production-confirme-ibm-zos-n-1666409;['sql', 'db2', ' sas']
2;assistant-chef-de-projet-1666347;"
                    KEYNAN ";Paris;36 mois; 400-420 €;09/02/2022;https://www.freelance-info.fr/mission/assistant-chef-de-projet-1666347;['tableau', ' excel ', 'powerpoint']
3;architecte-expert-technique-hadoop-hortonworks-cloudera-nouvelle-distribution-horton-works-1664073;"
                    KEYNAN ";Paris;36 mois; 400-420 €;09/02/2022;https://www.freelance-info.fr/mission/architecte-expert-technique-hadoop-hortonworks-cloudera-nouvelle-distribution-horton-works-1664073;['docker', 'ansible', 'spark', 'hive', 'hortonworks', 'hadoop', 'terraform', 'cloudera', 'apache', ' sas']
4;developpeur-java-core-j-query-bordeaux-1664070;"
                    KEYNAN ";Paris;12 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/developpeur-java-core-j-query-bordeaux-1664070;['java', ' sas']
5;recetteur-technique-testeur-junior-1664054;"
                    KEYNAN ";Paris;12 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/recetteur-technique-testeur-junior-1664054;['java', 'sql', ' sas', 'linux']
6;developpeur-experimente-fullstack-c-angular-1663755;"
                    KEYNAN ";Bry-sur-Marne;12 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/developpeur-experimente-fullstack-c-angular-1663755;['azure', 'sql', 'anglais', ' sas']
7;developpeur-experimente-fullstack-net-c-angular-1665996;"
                    KEYNAN ";Bry-sur-Marne;12 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/developpeur-experimente-fullstack-net-c-angular-1665996;['azure', 'sql', 'anglais', ' sas']
8;integrateur-devops-linux-terraform-ansible-notions-de-cloud-1663728;"
                    KEYNAN ";Bordeaux;12 mois; 400-420 €;09/02/2022;https://www.freelance-info.fr/mission/integrateur-devops-linux-terraform-ansible-notions-de-cloud-1663728;['gitlab', 'jenkins', 'docker', 'ansible', 'python', 'ci/cd', 'terraform', ' sas', 'linux']
9;architecte-reseaux-deploiment-reseaux-projet-cloud-1663732;"
                    KEYNAN ";Bordeaux;12 mois; 400-420 €;09/02/2022;https://www.freelance-info.fr/mission/architecte-reseaux-deploiment-reseaux-projet-cloud-1663732;[' sas']
10;developpeur-python-ans-experience-1663711;"
                    KEYNAN ";Bry-sur-Marne;18 mois; 330-380 €;09/02/2022;https://www.freelance-info.fr/mission/developpeur-python-ans-experience-1663711;['python', ' sas', 'linux']
11;developpeur-drupal-1663705;"
                    KEYNAN ";Bry-sur-Marne;18 mois; 330-380 €;09/02/2022;https://www.freelance-info.fr/mission/developpeur-drupal-1663705;[' sas']
12;architecte-expert-technique-wso-1663470;"
                    KEYNAN ";Paris;12 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/architecte-expert-technique-wso-1663470;['java', 'jenkins', 'kafka', 'ci/cd', 'api rest', ' sas', 'linux']
13;chef-de-projet-siem-1663360;"
                    KEYNAN ";Paris;12 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-siem-1663360;[' sas']
14;chef-de-projet-production-responsable-exploitation-applicative-1663361;"
                    KEYNAN ";Paris;12 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-production-responsable-exploitation-applicative-1663361;[' sas']
15;developpeur-full-stack-java-1665620;"
                    KEYNAN ";Paris;12 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/developpeur-full-stack-java-1665620;['java', 'jenkins', 'python', 'maven', 'sql', 'jira', 'sonar', 'postgresql', 'sonarqube', ' sas', 'microservice']
16;integrateur-unix-perl-vtom-postgre-1665538;"
                    KEYNAN ";Vincennes;12 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/integrateur-unix-perl-vtom-postgre-1665538;['java']
17;profil-devops-sur-azure-1665353;"
                    KEYNAN ";Vincennes;12 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/profil-devops-sur-azure-1665353;['java', ' git ', 'azure', 'kafka', 'elk', 'docker', 'maven', 'sql', 'terraform', 'apache', 'postgresql', 'mongodb', ' sas']
18;expert-senior-bases-de-donnees-postgresql-oracle-et-mysql-anglais-1663345;"
                    KEYNAN ";Bry-sur-Marne;12 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/expert-senior-bases-de-donnees-postgresql-oracle-et-mysql-anglais-1663345;['aws', 'sql', 'oracle', 'anglais', 'postgresql', 'mysql', ' sas']
