;title;companyname;location;duration;salary;date;joblink;jobskills
0;clinical-research-consultants-medical-device-remote-months-1666633;"
                    OCTOPUS COMPUTER ASSOCIATES ";Télétravail;6 mois; 400-550 €;10/02/2022;https://www.freelance-info.fr/mission/clinical-research-consultants-medical-device-remote-months-1666633;[]
1;sap-treasury-consultant-remote-english-speaking-1666608;"
                    OCTOPUS COMPUTER ASSOCIATES ";Télétravail;6 mois; 400-550 €;10/02/2022;https://www.freelance-info.fr/mission/sap-treasury-consultant-remote-english-speaking-1666608;[]
2;sap-treasury-consultant-luxembourg-english-speaking-1666607;"
                    OCTOPUS COMPUTER ASSOCIATES ";Télétravail;2 mois; 400-550 €;10/02/2022;https://www.freelance-info.fr/mission/sap-treasury-consultant-luxembourg-english-speaking-1666607;[]
3;architecte-azure-brussels-mois-1664288;"
                    OCTOPUS COMPUTER ASSOCIATES ";Télétravail;2 mois; 400-550 €;10/02/2022;https://www.freelance-info.fr/mission/architecte-azure-brussels-mois-1664288;[' git ', 'azure', 'terraform', 'scala']
4;consultant-fico-brussels-mois-1664186;"
                    OCTOPUS COMPUTER ASSOCIATES ";Luxembourg (LU);2 mois; 400-1080 €;10/02/2022;https://www.freelance-info.fr/mission/consultant-fico-brussels-mois-1664186;[]
5;pmo-brussels-mois-1663938;"
                    OCTOPUS COMPUTER ASSOCIATES ";Luxembourg (LU);2 mois; 400-1080 €;10/02/2022;https://www.freelance-info.fr/mission/pmo-brussels-mois-1663938;[' excel ', 'scala']
6;sap-is-u-billing-consultant-remote-or-brussels-belgium-english-speaking-1665749;"
                    OCTOPUS COMPUTER ASSOCIATES ";Brussels (BE);12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/sap-is-u-billing-consultant-remote-or-brussels-belgium-english-speaking-1665749;[]
7;developpeur-net-integration-brussels-mois-1663536;"
                    OCTOPUS COMPUTER ASSOCIATES ";Brussels (BE);12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/developpeur-net-integration-brussels-mois-1663536;['agile']
8;ingenieur-securite-liege-belgique-mois-1663515;"
                    OCTOPUS COMPUTER ASSOCIATES ";Brussels (BE);12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/ingenieur-securite-liege-belgique-mois-1663515;['azure', 'modélisation', ' sas']
9;referent-data-senior-analyste-metier-mois-liege-belgique-1665521;"
                    OCTOPUS COMPUTER ASSOCIATES ";Brussels (BE);12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/referent-data-senior-analyste-metier-mois-liege-belgique-1665521;[' sas']
10;developer-fullstack-fullstack-liege-belgique-1665573;"
                    OCTOPUS COMPUTER ASSOCIATES ";Brussels (BE);6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/developer-fullstack-fullstack-liege-belgique-1665573;['azure', ' sas']
11;analyste-fonctionnel-fme-data-quality-mois-liege-belgique-1665567;"
                    OCTOPUS COMPUTER ASSOCIATES ";Brussels (BE);6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/analyste-fonctionnel-fme-data-quality-mois-liege-belgique-1665567;[' sas']
12;chef-de-projet-data-mois-paris-1663066;"
                    OCTOPUS COMPUTER ASSOCIATES ";Brussels (BE);19 mois; 400-550 €;08/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-data-mois-paris-1663066;['sql', 'agile', 'anglais', 'scrum']
13;developpeur-fullstack-sap-hana-crm-mois-liege-belgique-1663061;"
                    OCTOPUS COMPUTER ASSOCIATES ";Brussels (BE);19 mois; 400-550 €;08/02/2022;https://www.freelance-info.fr/mission/developpeur-fullstack-sap-hana-crm-mois-liege-belgique-1663061;['sql']
14;consultant-sap-hr-mois-namur-belgique-1665102;"
                    OCTOPUS COMPUTER ASSOCIATES ";Brussels (BE);12 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/consultant-sap-hr-mois-namur-belgique-1665102;[]
15;net-developer-net-c-asp-net-mvc-remote-from-belgium-only-english-speaking-months-1664500;"
                    OCTOPUS COMPUTER ASSOCIATES ";Brussels (BE);12 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/net-developer-net-c-asp-net-mvc-remote-from-belgium-only-english-speaking-months-1664500;['azure', 'agile']
16;technicien-niveau-dange-mois-1662373;"
                    OCTOPUS COMPUTER ASSOCIATES ";Autre pays;12 mois; 500-700 €;08/02/2022;https://www.freelance-info.fr/mission/technicien-niveau-dange-mois-1662373;[' sas']
17;technicien-niveau-melles-mois-1662372;"
                    OCTOPUS COMPUTER ASSOCIATES ";Autre pays;12 mois; 500-700 €;08/02/2022;https://www.freelance-info.fr/mission/technicien-niveau-melles-mois-1662372;[' sas']
18;data-architect-paris-mois-1662340;"
                    OCTOPUS COMPUTER ASSOCIATES ";BELGIQUE (Pays);12 mois; 500-700 €;07/02/2022;https://www.freelance-info.fr/mission/data-architect-paris-mois-1662340;['java', 'azure', 'kafka', 'python', 'spark', 'data lake', 'sql', 'databricks', 'scala', 'microservice']
19;pmo-mois-renouvelable-bondoufle-1662325;"
                    OCTOPUS COMPUTER ASSOCIATES ";BELGIQUE (Pays);12 mois; 500-700 €;07/02/2022;https://www.freelance-info.fr/mission/pmo-mois-renouvelable-bondoufle-1662325;['agile']
20;data-project-manager-bondoufle-mois-renouvelables-1662332;"
                    OCTOPUS COMPUTER ASSOCIATES ";BELGIQUE (Pays);12 mois; 500-650 €;07/02/2022;https://www.freelance-info.fr/mission/data-project-manager-bondoufle-mois-renouvelables-1662332;[' sas']
21;delivery-manager-paris-mois-1662320;"
                    OCTOPUS COMPUTER ASSOCIATES ";BELGIQUE (Pays);12 mois; 500-650 €;07/02/2022;https://www.freelance-info.fr/mission/delivery-manager-paris-mois-1662320;[]
22;tester-mois-brussels-1662093;"
                    OCTOPUS COMPUTER ASSOCIATES ";Autre pays;9 mois; 600-700 €;07/02/2022;https://www.freelance-info.fr/mission/tester-mois-brussels-1662093;['sql', 'agile', ' sas']
23;java-developer-months-contract-luxembourg-1662005;"
                    OCTOPUS COMPUTER ASSOCIATES ";Autre pays;9 mois; 600-700 €;07/02/2022;https://www.freelance-info.fr/mission/java-developer-months-contract-luxembourg-1662005;['java', 'sql', 'oracle', 'postgresql']
24;java-developer-months-contract-luxembourg-1661986;"
                    OCTOPUS COMPUTER ASSOCIATES ";Paris;12 mois; 450-650 €;05/02/2022;https://www.freelance-info.fr/mission/java-developer-months-contract-luxembourg-1661986;['java', 'sql', 'oracle', 'postgresql']
25;st-nd-level-helpdesk-support-consultant-brussels-english-speaking-months-1664002;"
                    OCTOPUS COMPUTER ASSOCIATES ";Paris;12 mois; 450-650 €;05/02/2022;https://www.freelance-info.fr/mission/st-nd-level-helpdesk-support-consultant-brussels-english-speaking-months-1664002;['itil', 'powershell']
26;developpeur-php-symfony-paris-mois-1661447;"
                    OCTOPUS COMPUTER ASSOCIATES ";BELGIQUE (Pays);12 mois; 600-800 €;05/02/2022;https://www.freelance-info.fr/mission/developpeur-php-symfony-paris-mois-1661447;['gitlab', 'sql', 'api rest', 'mysql']
27;administrateur-mq-series-paris-mois-1661192;"
                    OCTOPUS COMPUTER ASSOCIATES ";BELGIQUE (Pays);12 mois; 600-800 €;05/02/2022;https://www.freelance-info.fr/mission/administrateur-mq-series-paris-mois-1661192;['tableau', 'tableaux de bord']
28;developpeur-php-symphonie-paris-mois-1661079;"
                    OCTOPUS COMPUTER ASSOCIATES ";BELGIQUE (Pays);4 mois; 900 €;04/02/2022;https://www.freelance-info.fr/mission/developpeur-php-symphonie-paris-mois-1661079;['gitlab', 'sql', 'api rest', 'mysql', ' sas']
29;release-train-engineer-rte-remote-months-1663094;"
                    OCTOPUS COMPUTER ASSOCIATES ";BELGIQUE (Pays);4 mois; 900 €;04/02/2022;https://www.freelance-info.fr/mission/release-train-engineer-rte-remote-months-1663094;['agile', 'scrum']
30;integration-engineer-telco-windows-hello-windows-atp-azure-app-proxy-mcas-microsoft-sccm-1662867;"
                    OCTOPUS COMPUTER ASSOCIATES ";Brussels (BE);6 mois; 400-550 €;03/02/2022;https://www.freelance-info.fr/mission/integration-engineer-telco-windows-hello-windows-atp-azure-app-proxy-mcas-microsoft-sccm-1662867;['azure', 'scala', 'powershell']
31;data-scientist-mois-paris-1660694;"
                    OCTOPUS COMPUTER ASSOCIATES ";Brussels (BE);6 mois; 400-550 €;03/02/2022;https://www.freelance-info.fr/mission/data-scientist-mois-paris-1660694;['aws', 'azure', 'python', 'spark', 'hive', 'sql', 'gcp', 'hadoop', 'redshift', 'mysql', 'scrum']
32;technical-functional-analyst-liege-belgique-mois-1660605;"
                    OCTOPUS COMPUTER ASSOCIATES ";Dangé-Saint-Romain;12 mois; Tarif non renseigné;03/02/2022;https://www.freelance-info.fr/mission/technical-functional-analyst-liege-belgique-mois-1660605;[' sas']
33;sap-bw-technical-lead-architect-teletravail-remote-mois-1662483;"
                    OCTOPUS COMPUTER ASSOCIATES ";Dangé-Saint-Romain;12 mois; Tarif non renseigné;03/02/2022;https://www.freelance-info.fr/mission/sap-bw-technical-lead-architect-teletravail-remote-mois-1662483;['power bi', 'sql', 'itil', ' sas']
34;sap-bw-technical-lead-architect-teletravail-remote-mois-1662482;"
                    OCTOPUS COMPUTER ASSOCIATES ";Melle;12 mois; 400-550 €;03/02/2022;https://www.freelance-info.fr/mission/sap-bw-technical-lead-architect-teletravail-remote-mois-1662482;['power bi', 'sql', 'itil', ' sas']
35;sap-bw-techno-functional-consultant-teletravail-remote-mois-1662480;"
                    OCTOPUS COMPUTER ASSOCIATES ";Melle;12 mois; 400-550 €;03/02/2022;https://www.freelance-info.fr/mission/sap-bw-techno-functional-consultant-teletravail-remote-mois-1662480;['power bi', 'agile', 'scrum', 'salesforce']
