;title;companyname;location;duration;salary;date;joblink;jobskills
0;tech-lead-java-fullstack-1663646;"
                    Digistrat consulting ";Paris;3 années; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/tech-lead-java-fullstack-1663646;['java', 'sql']
1;business-analyst-oms-ems-1663647;"
                    Digistrat consulting ";Paris;3 années; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/business-analyst-oms-ems-1663647;['anglais']
2;developpeur-python-senior-1663648;"
                    Digistrat consulting ";Paris;3 années; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/developpeur-python-senior-1663648;['python', 'agile']
3;developpeur-backend-java-1663620;"
                    Digistrat consulting ";Paris;3 années; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/developpeur-backend-java-1663620;['java', 'sql', 'springboot']
4;expert-c-1663613;"
                    Digistrat consulting ";Paris;3 années; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/expert-c-1663613;['java', 'jenkins', 'python', 'oracle', 'agile', 'linux']
5;expert-hadoop-ansible-1663614;"
                    Digistrat consulting ";Paris;3 années; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/expert-hadoop-ansible-1663614;['kafka', 'ansible', 'python', 'spark', 'hive', 'hadoop', 'agile', 'terraform', 'cloudera', 'ldap', 'scrum', 'linux']
6;consultant-microsoft-bi-1663617;"
                    Digistrat consulting ";Paris;3 années; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/consultant-microsoft-bi-1663617;['tableau', 'azure', 'sql', 'modélisation', 'ssrs', 'ssas']
7;developpeur-fullstack-java-angular-1663619;"
                    Digistrat consulting ";Paris;3 années; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/developpeur-fullstack-java-angular-1663619;['java', 'jenkins', 'sql', 'oracle', 'sonar', 'sonarqube']
8;developpeur-backend-c-1663607;"
                    Digistrat consulting ";Paris;3 années; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/developpeur-backend-c-1663607;['linux']
9;support-fonctionnel-finance-de-march-1663608;"
                    Digistrat consulting ";Paris;3 années; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/support-fonctionnel-finance-de-march-1663608;['anglais']
10;devops-1663609;"
                    Digistrat consulting ";Paris;3 années; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/devops-1663609;['java', 'jenkins', 'puppet', 'python', 'sql']
11;administrateur-applicatif-chef-de-projet-support-1663611;"
                    Digistrat consulting ";Paris;3 années; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/administrateur-applicatif-chef-de-projet-support-1663611;['sql', 'oracle']
12;microsoft-business-inteligence-1665461;"
                    Digistrat consulting ";Paris;3 années; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/microsoft-business-inteligence-1665461;['tableau', 'azure', 'sql', 'modélisation', 'ssrs', 'ssas']
13;developpeur-python-senior-1665460;"
                    Digistrat consulting ";Paris;3 années; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/developpeur-python-senior-1665460;['python', 'agile']
