;title;companyname;location;duration;salary;date;joblink;jobskills
0;consultant-audiovisuel-1666772;"
                    Intuition IT Solutions Ltd. ";Vélizy-Villacoublay;12 mois; 500 €;10/02/2022;https://www.freelance-info.fr/mission/consultant-audiovisuel-1666772;['anglais']
1;lead-dev-mdm-data-analysis-1666724;"
                    Intuition IT Solutions Ltd. ";Vélizy-Villacoublay;12 mois; 500 €;10/02/2022;https://www.freelance-info.fr/mission/lead-dev-mdm-data-analysis-1666724;['gcp']
2;consultant-mdm-1666709;"
                    Intuition IT Solutions Ltd. ";Ile de France;6 mois; 400-460 €;10/02/2022;https://www.freelance-info.fr/mission/consultant-mdm-1666709;[]
3;architecte-d-entreprise-api-micro-services-1666686;"
                    Intuition IT Solutions Ltd. ";Ile de France;6 mois; 400-460 €;10/02/2022;https://www.freelance-info.fr/mission/architecte-d-entreprise-api-micro-services-1666686;['anglais']
4;senior-bi-datastage-px-1664410;"
                    Intuition IT Solutions Ltd. ";Paris;6 mois; 450-550 €;10/02/2022;https://www.freelance-info.fr/mission/senior-bi-datastage-px-1664410;['datastage', 'tableau', 'power bi', 'sql']
5;developpeur-net-senior-anglais-obligatoire-1664402;"
                    Intuition IT Solutions Ltd. ";Paris;6 mois; 450-550 €;10/02/2022;https://www.freelance-info.fr/mission/developpeur-net-senior-anglais-obligatoire-1664402;['sql', 'anglais', ' sas']
6;business-analyst-amoa-anglais-obligatoire-1664409;"
                    Intuition IT Solutions Ltd. ";Bagneux;3 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/business-analyst-amoa-anglais-obligatoire-1664409;['anglais']
7;ingenieur-systemes-et-reseaux-anglais-obligatoire-1664395;"
                    Intuition IT Solutions Ltd. ";Bagneux;3 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/ingenieur-systemes-et-reseaux-anglais-obligatoire-1664395;['agile', 'anglais']
8;full-stack-net-1664398;"
                    Intuition IT Solutions Ltd. ";Télétravail;12 mois; 360-700 €;10/02/2022;https://www.freelance-info.fr/mission/full-stack-net-1664398;['java', 'sql', 'oracle', 'anglais']
9;analayste-programmeur-recetteur-1666137;"
                    Intuition IT Solutions Ltd. ";Télétravail;12 mois; 360-700 €;10/02/2022;https://www.freelance-info.fr/mission/analayste-programmeur-recetteur-1666137;['sql', ' sas']
10;amoa-consultant-fonctionnel-luxembourg-1666135;"
                    Intuition IT Solutions Ltd. ";Télétravail;10 mois; 400-550 €;10/02/2022;https://www.freelance-info.fr/mission/amoa-consultant-fonctionnel-luxembourg-1666135;['sql', ' sas']
11;enterprise-architect-1666124;"
                    Intuition IT Solutions Ltd. ";Télétravail;10 mois; 400-550 €;10/02/2022;https://www.freelance-info.fr/mission/enterprise-architect-1666124;['anglais', ' sas']
