;title;companyname;location;duration;salary;date;joblink;jobskills
0;responsable-des-developpements-1666786;"
                    KatchMe ";Paris;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/responsable-des-developpements-1666786;['java', 'kafka', 'docker', 'sql', 'agile', 'mysql', 'mongodb']
1;consultant-rgdp-gdpr-1664331;"
                    KatchMe ";Paris;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/consultant-rgdp-gdpr-1664331;[]
2;integrateur-solutions-industrielles-1664052;"
                    KatchMe ";Télétravail;4 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/integrateur-solutions-industrielles-1664052;[' sas']
3;developpeur-react-ruby-experimente-e-1664044;"
                    KatchMe ";Télétravail;4 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/developpeur-react-ruby-experimente-e-1664044;['aws', 'kafka', 'sql', 'jira', 'postgresql', 'mysql', ' sas']
4;technical-product-owner-salesforce-1666057;"
                    KatchMe ";Télétravail;24 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/technical-product-owner-salesforce-1666057;['agile', 'anglais', 'salesforce']
5;business-analyst-crm-salesforce-1663680;"
                    KatchMe ";Télétravail;24 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/business-analyst-crm-salesforce-1663680;['itil', 'salesforce']
6;chef-de-projet-integration-crm-1663443;"
                    KatchMe ";Paris;6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-integration-crm-1663443;['itil', 'salesforce']
7;chef-de-projet-salesforce-1663445;"
                    KatchMe ";Paris;6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-salesforce-1663445;['itil', 'salesforce']
8;test-lead-1663424;"
                    KatchMe ";Paris;12 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/test-lead-1663424;['jira', 'agile', 'confluence', 'anglais']
9;mission-test-lead-1665287;"
                    KatchMe ";Paris;12 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/mission-test-lead-1665287;['jira', 'agile', 'confluence']
