;title;companyname;location;duration;salary;date;joblink;jobskills
0;developpeur-front-end-1666787;"
                    OBJECTWARE MANAGEMENT GROUP ";Paris;36 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/developpeur-front-end-1666787;['java', 'ci/cd', 'agile']
1;chef-de-projet-infrastructures-1664333;"
                    OBJECTWARE MANAGEMENT GROUP ";Paris;36 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-infrastructures-1664333;['azure', ' sas']
2;ingenieur-expert-reseaux-securite-1664316;"
                    OBJECTWARE MANAGEMENT GROUP ";Angoulême;11 mois; 400-550 €;10/02/2022;https://www.freelance-info.fr/mission/ingenieur-expert-reseaux-securite-1664316;['anglais', ' sas']
3;expertise-flux-h-f-1666387;"
                    OBJECTWARE MANAGEMENT GROUP ";Angoulême;11 mois; 400-550 €;10/02/2022;https://www.freelance-info.fr/mission/expertise-flux-h-f-1666387;['jenkins', 'aws', 'azure', 'docker', 'ansible', 'sql', 'databricks', 'oracle', 'apache', 'tomcat', 'postgresql', 'cartographie', 'splunk', 'mongodb', 'linux']
4;dba-oracle-h-f-1666336;"
                    OBJECTWARE MANAGEMENT GROUP ";Paris;12 mois; 400-550 €;10/02/2022;https://www.freelance-info.fr/mission/dba-oracle-h-f-1666336;['sql', 'oracle', 'postgresql', 'mongodb']
5;chef-de-projet-reseaux-1664053;"
                    OBJECTWARE MANAGEMENT GROUP ";Paris;12 mois; 400-550 €;10/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-reseaux-1664053;[' sas']
6;chef-de-projet-agence-1664055;"
                    OBJECTWARE MANAGEMENT GROUP ";Paris;24 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-agence-1664055;[' sas']
7;dba-oracle-production-1664016;"
                    OBJECTWARE MANAGEMENT GROUP ";Paris;24 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/dba-oracle-production-1664016;['sql', 'oracle']
8;ingenieur-systeme-linux-senior-1664010;"
                    OBJECTWARE MANAGEMENT GROUP ";Paris;24 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/ingenieur-systeme-linux-senior-1664010;['puppet', 'linux']
9;administrateur-websphere-1666049;"
                    OBJECTWARE MANAGEMENT GROUP ";Paris;24 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/administrateur-websphere-1666049;[' sas', 'linux']
10;administrateur-splunk-1666040;"
                    OBJECTWARE MANAGEMENT GROUP ";Paris;3 années; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/administrateur-splunk-1666040;['splunk', ' sas']
11;developpeur-php-symfony-node-js-1663724;"
                    OBJECTWARE MANAGEMENT GROUP ";Paris;3 années; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/developpeur-php-symfony-node-js-1663724;[' sas']
12;expertise-provisioning-1665323;"
                    OBJECTWARE MANAGEMENT GROUP ";Paris;3 années; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/expertise-provisioning-1665323;['java', 'ldap', 'mongodb', ' sas', 'powershell']
13;chef-de-projet-infrastructure-1664939;"
                    OBJECTWARE MANAGEMENT GROUP ";Paris;3 années; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-infrastructure-1664939;['tableau', ' sas']
14;architecte-infrastructure-cloud-1664933;"
                    OBJECTWARE MANAGEMENT GROUP ";Paris;3 années; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/architecte-infrastructure-cloud-1664933;['azure', ' sas']
15;architecte-infrastructure-1664922;"
                    OBJECTWARE MANAGEMENT GROUP ";Paris;3 années; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/architecte-infrastructure-1664922;[' sas']
16;chef-de-projet-infrastructure-h-f-1664059;"
                    OBJECTWARE MANAGEMENT GROUP ";Paris;12 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-infrastructure-h-f-1664059;[]
17;chef-de-projet-infrastructure-anglais-courant-international-1662981;"
                    OBJECTWARE MANAGEMENT GROUP ";Paris;12 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-infrastructure-anglais-courant-international-1662981;['vpn', ' sas']
18;expertise-messagerie-h-f-1662967;"
                    OBJECTWARE MANAGEMENT GROUP ";Paris;3 années; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/expertise-messagerie-h-f-1662967;['powershell']
19;support-applicatif-1664696;"
                    OBJECTWARE MANAGEMENT GROUP ";Paris;3 années; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/support-applicatif-1664696;[' excel ', 'sql', 'powerpoint']
20;ingenieur-de-production-devops-1664672;"
                    OBJECTWARE MANAGEMENT GROUP ";Paris;3 années; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/ingenieur-de-production-devops-1664672;['java', 'jenkins', 'docker', 'ansible', 'sql', 'oracle', 'apache', 'tomcat', 'linux']
21;architecte-messagerie-microsoft-exchange-f-h-1664668;"
                    OBJECTWARE MANAGEMENT GROUP ";Paris;3 années; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/architecte-messagerie-microsoft-exchange-f-h-1664668;[' sas']
