;title;companyname;location;duration;salary;date;joblink;jobskills
0;architecte-axway-1666630;"
                    STHREE SAS pour COMPUTER FUTURES ";Bezons;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/architecte-axway-1666630;[]
1;recherche-urgent-administrateur-sauvegarde-stockage-toulouse-1666523;"
                    STHREE SAS pour COMPUTER FUTURES ";Bezons;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/recherche-urgent-administrateur-sauvegarde-stockage-toulouse-1666523;['ansible', 'oracle', 'ldap', ' sas', 'powershell', 'linux']
2;architecte-solutions-1664439;"
                    STHREE SAS pour COMPUTER FUTURES ";Toulouse;12 mois; 400-550 €;10/02/2022;https://www.freelance-info.fr/mission/architecte-solutions-1664439;['cartographie', ' sas']
3;consultant-crm-dynamics-1664434;"
                    STHREE SAS pour COMPUTER FUTURES ";Toulouse;12 mois; 400-550 €;10/02/2022;https://www.freelance-info.fr/mission/consultant-crm-dynamics-1664434;['sql', ' sas', ' ssis']
4;developpeur-frontend-vue-js-1664420;"
                    STHREE SAS pour COMPUTER FUTURES ";FRANCE (Pays);12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/developpeur-frontend-vue-js-1664420;['java', ' sas']
5;data-engineer-ssis-1666413;"
                    STHREE SAS pour COMPUTER FUTURES ";FRANCE (Pays);12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/data-engineer-ssis-1666413;['sql', 'datawarehouse', ' ssis']
6;data-scienist-nlp-1666407;"
                    STHREE SAS pour COMPUTER FUTURES ";FRANCE (Pays);6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/data-scienist-nlp-1666407;['python']
7;dba-1666406;"
                    STHREE SAS pour COMPUTER FUTURES ";FRANCE (Pays);6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/dba-1666406;['oracle']
8;dba-oracle-1666290;"
                    STHREE SAS pour COMPUTER FUTURES ";FRANCE (Pays);6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/dba-oracle-1666290;['oracle']
9;cloud-builder-1666129;"
                    STHREE SAS pour COMPUTER FUTURES ";FRANCE (Pays);6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/cloud-builder-1666129;['aws', 'docker', 'ci/cd', 'terraform']
10;recetteur-1664042;"
                    STHREE SAS pour COMPUTER FUTURES ";Paris;6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/recetteur-1664042;['sql', 'jira', 'agile', 'xray']
11;consultant-e-cybersecurite-gestions-des-risques-it-1663899;"
                    STHREE SAS pour COMPUTER FUTURES ";Paris;6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/consultant-e-cybersecurite-gestions-des-risques-it-1663899;['tableau', 'agile', 'tableaux de bord', 'linux']
12;consultant-aws-1663858;"
                    STHREE SAS pour COMPUTER FUTURES ";Paris;3 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/consultant-aws-1663858;['aws', 'docker', 'ci/cd', 'terraform']
13;sirh-gestionnaire-de-paie-bon-niveau-d-anglais-1665949;"
                    STHREE SAS pour COMPUTER FUTURES ";Paris;3 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/sirh-gestionnaire-de-paie-bon-niveau-d-anglais-1665949;['anglais', ' sas']
14;expert-cybersecurite-gestion-des-risques-1665941;"
                    STHREE SAS pour COMPUTER FUTURES ";Clermont-Ferrand;Durée non renseignée; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/expert-cybersecurite-gestion-des-risques-1665941;['tableau', 'agile', 'tableaux de bord', ' sas', 'linux']
15;ingenieur-systeme-windows-1663558;"
                    STHREE SAS pour COMPUTER FUTURES ";Clermont-Ferrand;Durée non renseignée; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/ingenieur-systeme-windows-1663558;[' sas']
16;qa-test-lead-fonctionnel-1663549;"
                    STHREE SAS pour COMPUTER FUTURES ";Clermont-Ferrand;6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/qa-test-lead-fonctionnel-1663549;['jira', 'agile', 'xray', ' sas']
17;dba-sql-server-1663529;"
                    STHREE SAS pour COMPUTER FUTURES ";Clermont-Ferrand;6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/dba-sql-server-1663529;['sql', 'jira', ' ssis', 'linux']
18;ingenieur-reseaux-et-securite-h-f-lognes-1663397;"
                    STHREE SAS pour COMPUTER FUTURES ";Paris;1 année; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/ingenieur-reseaux-et-securite-h-f-lognes-1663397;['gitlab', 'puppet', 'ansible', 'apache', 'linux']
19;recherche-developpeurs-h-f-j-ee-back-end-et-j-ee-fullstack-toulouse-1663389;"
                    STHREE SAS pour COMPUTER FUTURES ";Paris;1 année; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/recherche-developpeurs-h-f-j-ee-back-end-et-j-ee-fullstack-toulouse-1663389;['java', ' sas']
20;consultant-filenet-1665647;"
                    STHREE SAS pour COMPUTER FUTURES ";Paris;6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/consultant-filenet-1665647;['aws', 'docker', 'ci/cd', 'terraform']
21;administrateur-systeme-windows-1665443;"
                    STHREE SAS pour COMPUTER FUTURES ";Paris;6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/administrateur-systeme-windows-1665443;['puppet', 'ansible', 'agile', 'terraform', 'kanban']
22;analyste-cobol-concepteur-developpeur-testeur-1650308;"
                    STHREE SAS pour COMPUTER FUTURES ";Meudon;1 année; 500-600 €;09/02/2022;https://www.freelance-info.fr/mission/analyste-cobol-concepteur-developpeur-testeur-1650308;[' sas', 'linux']
23;ingenieur-infrastructure-h-f-genevilliers-1665372;"
                    STHREE SAS pour COMPUTER FUTURES ";Meudon;1 année; 500-600 €;09/02/2022;https://www.freelance-info.fr/mission/ingenieur-infrastructure-h-f-genevilliers-1665372;['azure', 'anglais', 'splunk']
24;cloud-data-engineer-urgent-1665332;"
                    STHREE SAS pour COMPUTER FUTURES ";Paris;1 année; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/cloud-data-engineer-urgent-1665332;['azure', 'python', 'sql', 'bigquery', 'redshift', 'snowflake', 'datawarehouse']
25;architecte-logiciel-java-big-data-paris-1664923;"
                    STHREE SAS pour COMPUTER FUTURES ";Paris;1 année; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/architecte-logiciel-java-big-data-paris-1664923;['sql', 'mariadb', 'mongodb', ' sas']
26;consultant-iam-1662829;"
                    STHREE SAS pour COMPUTER FUTURES ";Nanterre;1 année; 400-500 €;08/02/2022;https://www.freelance-info.fr/mission/consultant-iam-1662829;['java', 'jenkins', 'maven', 'sql', 'api rest', 'oracle', 'agile', 'apache', 'tomcat', 'ldap', 'scrum', ' sas', 'powershell']
27;expert-active-directory-azure-ad-bon-niveau-d-anglais-1662527;"
                    STHREE SAS pour COMPUTER FUTURES ";Nanterre;1 année; 400-500 €;08/02/2022;https://www.freelance-info.fr/mission/expert-active-directory-azure-ad-bon-niveau-d-anglais-1662527;['azure', 'agile', 'ldap', ' sas', 'powershell']
