;title;companyname;location;duration;salary;date;joblink;jobskills
0;charge-conformite-1666655;"
                    STHREE SAS pour HUXLEY ";Paris;1 année; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/charge-conformite-1666655;['anglais']
1;huxley-cloud-engineer-asap-1666392;"
                    STHREE SAS pour HUXLEY ";Paris;1 année; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/huxley-cloud-engineer-asap-1666392;['docker', 'python', 'ci/cd', ' sas']
2;chef-de-projet-moa-moe-1666384;"
                    STHREE SAS pour HUXLEY ";Ile de France;6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-moa-moe-1666384;['java', 'docker', 'anglais', 'mongodb', 'scala']
3;controleur-de-gestion-1666356;"
                    STHREE SAS pour HUXLEY ";Ile de France;6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/controleur-de-gestion-1666356;['anglais', 'salesforce']
4;developpeur-confirme-java-vue-js-1666292;"
                    STHREE SAS pour HUXLEY ";Lyon;12 mois; 400-550 €;09/02/2022;https://www.freelance-info.fr/mission/developpeur-confirme-java-vue-js-1666292;['java', ' git ', 'sql', 'api rest', 'anglais', ' sas']
5;developpeur-java-vue-js-1666212;"
                    STHREE SAS pour HUXLEY ";Lyon;12 mois; 400-550 €;09/02/2022;https://www.freelance-info.fr/mission/developpeur-java-vue-js-1666212;['java', 'sql', 'api rest', 'anglais']
6;huxley-mission-expert-bi-tm-oracle-vba-1664051;"
                    STHREE SAS pour HUXLEY ";Paris;5 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/huxley-mission-expert-bi-tm-oracle-vba-1664051;[' excel ', 'sql', 'oracle', 'anglais', 'vba', ' sas']
7;microsoft-senior-techlead-1665939;"
                    STHREE SAS pour HUXLEY ";Paris;5 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/microsoft-senior-techlead-1665939;['powerbi', 'scala', 'powershell']
8;expert-pra-pca-1665874;"
                    STHREE SAS pour HUXLEY ";Paris;1 année; 410-610 €;09/02/2022;https://www.freelance-info.fr/mission/expert-pra-pca-1665874;['agile']
9;expertise-pca-pra-1665870;"
                    STHREE SAS pour HUXLEY ";Paris;1 année; 410-610 €;09/02/2022;https://www.freelance-info.fr/mission/expertise-pca-pra-1665870;['agile']
10;architecte-securite-production-1665823;"
                    STHREE SAS pour HUXLEY ";Paris;1 année; 1500 €;09/02/2022;https://www.freelance-info.fr/mission/architecte-securite-production-1665823;[]
11;architecte-securite-production-1665787;"
                    STHREE SAS pour HUXLEY ";Paris;1 année; 1500 €;09/02/2022;https://www.freelance-info.fr/mission/architecte-securite-production-1665787;[]
12;developpeur-android-kotlin-embarque-h-f-1665761;"
                    STHREE SAS pour HUXLEY ";Paris;6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/developpeur-android-kotlin-embarque-h-f-1665761;['java', 'jira', 'linux']
13;business-analyst-senior-finance-1663467;"
                    STHREE SAS pour HUXLEY ";Paris;6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/business-analyst-senior-finance-1663467;['agile', 'anglais']
14;consultant-reporting-reglementaire-1665624;"
                    STHREE SAS pour HUXLEY ";France;12 mois; 700 €;08/02/2022;https://www.freelance-info.fr/mission/consultant-reporting-reglementaire-1665624;[]
