;title;companyname;location;duration;salary;date;joblink;jobskills
0;urgent-chef-de-projet-amoa-finance-de-marche-1653995;"
                    Symbioz Technology ";Paris;1 année; 500-550 €;07/02/2022;https://www.freelance-info.fr/mission/urgent-chef-de-projet-amoa-finance-de-marche-1653995;['java', 'agile', 'anglais']
1;urgent-consultant-e-data-analyst-1605632;"
                    Symbioz Technology ";Paris;1 année; 500-550 €;07/02/2022;https://www.freelance-info.fr/mission/urgent-consultant-e-data-analyst-1605632;['java', 'sql', ' sas', 'ssrs', ' ssis']
2;consultant-e-moe-java-equity-1559660;"
                    Symbioz Technology ";Paris;1 année; 400-550 €;07/02/2022;https://www.freelance-info.fr/mission/consultant-e-moe-java-equity-1559660;[' bo ', 'anglais', ' sas']
3;consultant-e-amoa-finance-comptabilit-1594472;"
                    Symbioz Technology ";Paris;1 année; 400-550 €;07/02/2022;https://www.freelance-info.fr/mission/consultant-e-amoa-finance-comptabilit-1594472;['java', 'anglais']
4;urgent-consultant-e-architecte-si-1604550;"
                    Symbioz Technology ";Paris;1 année; 400-550 €;07/02/2022;https://www.freelance-info.fr/mission/urgent-consultant-e-architecte-si-1604550;['java', 'agile', 'scrum', 'splunk']
5;consultant-e-c-1594588;"
                    Symbioz Technology ";Paris;1 année; 400-550 €;07/02/2022;https://www.freelance-info.fr/mission/consultant-e-c-1594588;['java', 'anglais']
6;consultant-e-en-python-django-senior-1584122;"
                    Symbioz Technology ";Paris;1 année; 400-550 €;07/02/2022;https://www.freelance-info.fr/mission/consultant-e-en-python-django-senior-1584122;['java', 'python', 'anglais']
7;consultant-e-infrastructure-1618591;"
                    Symbioz Technology ";Paris;1 année; 400-550 €;07/02/2022;https://www.freelance-info.fr/mission/consultant-e-infrastructure-1618591;['java', 'power bi', 'azure', 'agile', 'anglais', 'scrum']
8;urgent-consultant-e-business-analyst-finance-1598974;"
                    Symbioz Technology ";Paris;1 année; 400-550 €;07/02/2022;https://www.freelance-info.fr/mission/urgent-consultant-e-business-analyst-finance-1598974;['java', 'anglais']
9;urgent-ingenierie-de-production-1604463;"
                    Symbioz Technology ";Paris;1 année; 400-550 €;07/02/2022;https://www.freelance-info.fr/mission/urgent-ingenierie-de-production-1604463;['java', 'anglais']
10;architecte-application-togaf-1601145;"
                    Symbioz Technology ";Paris;1 année; 400-550 €;07/02/2022;https://www.freelance-info.fr/mission/architecte-application-togaf-1601145;['java', 'agile', 'modélisation', 'anglais', 'scrum']
11;urgent-consultant-e-developpement-java-1652909;"
                    Symbioz Technology ";Paris;1 année; 400-550 €;07/02/2022;https://www.freelance-info.fr/mission/urgent-consultant-e-developpement-java-1652909;['java', 'jenkins', 'maven', ' sas']
12;consultant-h-f-assistance-metiers-fonctionnel-1620819;"
                    Symbioz Technology ";Paris;1 année; 400-550 €;07/02/2022;https://www.freelance-info.fr/mission/consultant-h-f-assistance-metiers-fonctionnel-1620819;['java', 'jira', 'agile', 'confluence', 'anglais', 'scrum']
13;consultant-e-assistant-project-agile-1620744;"
                    Symbioz Technology ";Paris;1 année; 400-550 €;07/02/2022;https://www.freelance-info.fr/mission/consultant-e-assistant-project-agile-1620744;['java', 'jira', 'agile', 'anglais', 'scrum']
14;developeur-se-net-core-1620376;"
                    Symbioz Technology ";Paris;1 année; 500 €;07/02/2022;https://www.freelance-info.fr/mission/developeur-se-net-core-1620376;['java', 'jenkins', 'azure', 'jira', 'agile', 'anglais', 'scrum']
15;developpeur-se-fullstack-react-java-1615539;"
                    Symbioz Technology ";Paris;1 année; 500 €;07/02/2022;https://www.freelance-info.fr/mission/developpeur-se-fullstack-react-java-1615539;['java', 'ci/cd', 'agile', 'anglais', 'scrum']
16;urgent-consultant-e-en-developpement-c-en-finance-1665023;"
                    Symbioz Technology ";Paris;1 année; 400-550 €;07/02/2022;https://www.freelance-info.fr/mission/urgent-consultant-e-en-developpement-c-en-finance-1665023;['java', 'jira', 'oracle', 'agile', 'anglais', 'scrum', 'linux']
17;consultant-e-en-systemes-d-information-h-f-1561676;"
                    Symbioz Technology ";Paris;1 année; 400-550 €;07/02/2022;https://www.freelance-info.fr/mission/consultant-e-en-systemes-d-information-h-f-1561676;['anglais', ' sas']
18;business-analyst-datastage-1561687;"
                    Symbioz Technology ";Paris;1 année; 400-550 €;07/02/2022;https://www.freelance-info.fr/mission/business-analyst-datastage-1561687;['datastage', 'java', 'oracle', 'anglais']
19;consultant-e-agilite-scrum-master-1616904;"
                    Symbioz Technology ";Paris;1 année; 400-550 €;07/02/2022;https://www.freelance-info.fr/mission/consultant-e-agilite-scrum-master-1616904;['java', 'agile', 'anglais', 'scrum']
20;consultant-e-product-owner-confirme-1598399;"
                    Symbioz Technology ";Paris;1 année; 400-550 €;07/02/2022;https://www.freelance-info.fr/mission/consultant-e-product-owner-confirme-1598399;['java', 'spark', 'hadoop', 'agile', 'anglais', 'scrum', 'scala']
21;architecte-application-technique-data-1598640;"
                    Symbioz Technology ";Paris;1 année; 400-550 €;07/02/2022;https://www.freelance-info.fr/mission/architecte-application-technique-data-1598640;['java', 'python', 'hive', 'hadoop', 'jira', 'agile', 'confluence', 'anglais', 'kanban', 'scrum', 'scala']
22;consultant-e-chef-de-projet-1561941;"
                    Symbioz Technology ";Paris;1 année; 400-550 €;07/02/2022;https://www.freelance-info.fr/mission/consultant-e-chef-de-projet-1561941;['jira', 'confluence', 'xray', 'anglais']
23;consultant-e-test-automatisation-recette-1576344;"
                    Symbioz Technology ";Paris;1 année; 400-550 €;07/02/2022;https://www.freelance-info.fr/mission/consultant-e-test-automatisation-recette-1576344;['java', ' sas']
24;consultant-pmo-1604538;"
                    Symbioz Technology ";Paris;1 année; 200-500 €;07/02/2022;https://www.freelance-info.fr/mission/consultant-pmo-1604538;['java', 'agile', 'anglais', 'scrum']
25;charge-de-pilotage-si-1564163;"
                    Symbioz Technology ";Paris;1 année; 200-500 €;07/02/2022;https://www.freelance-info.fr/mission/charge-de-pilotage-si-1564163;['java', 'tableau', 'tableaux de bord']
26;urgent-developpeur-java-1662885;"
                    Symbioz Technology ";Paris;1 année; Tarif non renseigné;07/02/2022;https://www.freelance-info.fr/mission/urgent-developpeur-java-1662885;['java', 'jira', 'oracle', 'agile', 'anglais', 'scrum', 'linux']
27;consultant-e-amoe-linux-devops-1589035;"
                    Symbioz Technology ";Paris;1 année; Tarif non renseigné;07/02/2022;https://www.freelance-info.fr/mission/consultant-e-amoe-linux-devops-1589035;['java', 'jira', 'agile', 'linux']
28;developpeur-big-data-confirme-1598184;"
                    Symbioz Technology ";Paris;1 année; 450 €;07/02/2022;https://www.freelance-info.fr/mission/developpeur-big-data-confirme-1598184;['java', 'spark', 'hadoop', 'agile', 'anglais', 'scrum', 'scala']
29;urgent-developpeur-java-angular-net-power-bi-1580106;"
                    Symbioz Technology ";Paris;1 année; 450 €;07/02/2022;https://www.freelance-info.fr/mission/urgent-developpeur-java-angular-net-power-bi-1580106;['java', 'power bi']
30;urgent-consultant-e-chef-de-projet-senior-1598021;"
                    Symbioz Technology ";Paris;1 année; 450 €;07/02/2022;https://www.freelance-info.fr/mission/urgent-consultant-e-chef-de-projet-senior-1598021;['java']
31;developpeur-b-o-net-1590286;"
                    Symbioz Technology ";Paris;1 année; 450 €;07/02/2022;https://www.freelance-info.fr/mission/developpeur-b-o-net-1590286;['java', 'sql', 'jira', 'agile', 'anglais', 'scrum']
32;consultant-e-amoa-recette-1593223;"
                    Symbioz Technology ";Paris;1 année; 400-550 €;04/02/2022;https://www.freelance-info.fr/mission/consultant-e-amoa-recette-1593223;['java', 'anglais']
33;moa-comptabilite-bancaire-1610320;"
                    Symbioz Technology ";Paris;1 année; 400-550 €;04/02/2022;https://www.freelance-info.fr/mission/moa-comptabilite-bancaire-1610320;['java', 'sql', 'jira', 'oracle', 'anglais', 'mysql']
34;consultant-e-tech-lead-front-end-1600060;"
                    Symbioz Technology ";Paris;1 année; 400-550 €;04/02/2022;https://www.freelance-info.fr/mission/consultant-e-tech-lead-front-end-1600060;['java', ' git ', 'sql', 'jira', 'agile', 'anglais', 'scrum']
35;consultant-business-analyst-finance-1590228;"
                    Symbioz Technology ";Paris;1 année; 400-550 €;04/02/2022;https://www.freelance-info.fr/mission/consultant-business-analyst-finance-1590228;['java', 'agile', 'anglais', 'scrum', ' sas']
36;urgent-developpeur-fullstack-java-react-1606857;"
                    Symbioz Technology ";Paris;1 année; 400-550 €;04/02/2022;https://www.freelance-info.fr/mission/urgent-developpeur-fullstack-java-react-1606857;['java', 'docker', 'jira', 'agile', 'scrum', ' sas']
37;consultant-e-architecture-big-data-1600990;"
                    Symbioz Technology ";Paris;1 année; 400-550 €;04/02/2022;https://www.freelance-info.fr/mission/consultant-e-architecture-big-data-1600990;['java', 'ansible', 'python', 'spark', 'sql', 'hadoop', 'jira', 'agile', 'anglais', 'scrum', 'scala']
38;consultant-e-base-de-donnees-bdd-devops-1607840;"
                    Symbioz Technology ";Paris;1 année; 400-550 €;04/02/2022;https://www.freelance-info.fr/mission/consultant-e-base-de-donnees-bdd-devops-1607840;['java', 'sql', 'jira', 'agile', 'anglais', 'mysql', 'scrum', 'linux']
39;consultant-e-data-management-1597936;"
                    Symbioz Technology ";Paris;1 année; 400-550 €;04/02/2022;https://www.freelance-info.fr/mission/consultant-e-data-management-1597936;['java', 'jenkins', 'kafka', 'docker', 'ansible', 'spark', 'hive', 'sql', 'airflow', 'bigquery', 'oracle', 'terraform', 'apache', 'kanban', 'scrum', 'scala']
40;consultant-e-amoa-support-methodologique-1569320;"
                    Symbioz Technology ";Paris;1 année; 400-550 €;04/02/2022;https://www.freelance-info.fr/mission/consultant-e-amoa-support-methodologique-1569320;['java', 'oracle', 'ldap']
41;consultant-administration-bdd-1564530;"
                    Symbioz Technology ";Paris;1 année; 400-550 €;04/02/2022;https://www.freelance-info.fr/mission/consultant-administration-bdd-1564530;['java', 'sql', 'hadoop', 'oracle', 'agile', 'ssrs', ' ssis', 'ssas']
42;developpeur-c-finance-du-marche-1577732;"
                    Symbioz Technology ";Paris;1 année; 530 €;04/02/2022;https://www.freelance-info.fr/mission/developpeur-c-finance-du-marche-1577732;['java', 'sql', 'oracle', ' sas']
43;developpeur-vba-commando-1573636;"
                    Symbioz Technology ";Paris;1 année; 530 €;04/02/2022;https://www.freelance-info.fr/mission/developpeur-vba-commando-1573636;['java', 'agile', 'anglais', 'kanban', 'scrum', 'vba']
44;business-analyst-monetique-cartes-bancaires-1564520;"
                    Symbioz Technology ";Paris;1 année; 500 €;04/02/2022;https://www.freelance-info.fr/mission/business-analyst-monetique-cartes-bancaires-1564520;['java', 'anglais']
45;consultant-e-data-scientist-1582390;"
                    Symbioz Technology ";Paris;1 année; 500 €;04/02/2022;https://www.freelance-info.fr/mission/consultant-e-data-scientist-1582390;['java', 'python', 'spark', 'hive', 'hadoop', 'anglais', 'scala']
46;consultant-amoa-si-1586817;"
                    Symbioz Technology ";Paris;1 année; 400-550 €;04/02/2022;https://www.freelance-info.fr/mission/consultant-amoa-si-1586817;['java', 'kafka', 'python', 'spark', 'hive', 'hadoop', 'anglais', 'scala', 'microservice']
47;data-analyst-finance-1585082;"
                    Symbioz Technology ";Paris;1 année; 400-550 €;04/02/2022;https://www.freelance-info.fr/mission/data-analyst-finance-1585082;['java', 'jenkins', 'tableau', 'powerbi', 'azure', 'sql', 'jira', 'anglais', 'ssas']
48;consultant-e-data-analyst-1574242;"
                    Symbioz Technology ";Paris;1 année; 490 €;04/02/2022;https://www.freelance-info.fr/mission/consultant-e-data-analyst-1574242;['java', 'sql', 'ssrs', ' ssis']
49;consultant-e-business-analyst-1574102;"
                    Symbioz Technology ";Paris;1 année; 490 €;04/02/2022;https://www.freelance-info.fr/mission/consultant-e-business-analyst-1574102;['java']
50;developpeur-big-data-1590647;"
                    Symbioz Technology ";Paris;1 année; 450 €;04/02/2022;https://www.freelance-info.fr/mission/developpeur-big-data-1590647;['java', 'kafka', 'spark', 'agile', 'anglais', 'scrum']
51;consultant-e-test-automatisation-recette-1577526;"
                    Symbioz Technology ";Paris;1 année; 450 €;04/02/2022;https://www.freelance-info.fr/mission/consultant-e-test-automatisation-recette-1577526;['java']
52;developpeur-fullstack-1590278;"
                    Symbioz Technology ";Paris;1 année; 400-550 €;04/02/2022;https://www.freelance-info.fr/mission/developpeur-fullstack-1590278;['java', 'sql', 'agile', 'anglais', 'postgresql', 'scrum', ' sas']
53;data-analyst-talend-1565177;"
                    Symbioz Technology ";Paris;1 année; 400-550 €;04/02/2022;https://www.freelance-info.fr/mission/data-analyst-talend-1565177;['talend', 'java', 'sql', ' sas', 'ssrs', ' ssis']
54;consultant-e-amoa-banque-1606402;"
                    Symbioz Technology ";Paris;1 année; 450 €;01/02/2022;https://www.freelance-info.fr/mission/consultant-e-amoa-banque-1606402;['java', 'sql', 'jira', 'agile', 'scrum']
55;consultant-moa-comptabilite-bancaire-1652048;"
                    Symbioz Technology ";Paris;1 année; 450 €;01/02/2022;https://www.freelance-info.fr/mission/consultant-moa-comptabilite-bancaire-1652048;['java', 'sql', 'jira', 'oracle', 'mysql']
56;consultant-e-en-developpement-java-1623861;"
                    Symbioz Technology ";Paris;1 année; 400-550 €;01/02/2022;https://www.freelance-info.fr/mission/consultant-e-en-developpement-java-1623861;['java', 'jira', 'oracle', 'agile', 'anglais', 'scrum', 'linux']
57;developeur-se-net-core-senior-1622077;"
                    Symbioz Technology ";Paris;1 année; 400-550 €;01/02/2022;https://www.freelance-info.fr/mission/developeur-se-net-core-senior-1622077;['java', 'jenkins', 'azure', 'jira', 'agile', 'anglais', 'scrum']
58;consultant-e-erp-sap-rh-1568620;"
                    Symbioz Technology ";Paris;1 année; 200-500 €;01/02/2022;https://www.freelance-info.fr/mission/consultant-e-erp-sap-rh-1568620;['java', 'agile', ' sas']
59;expert-progiciel-peoplesoft-gl-1610322;"
                    Symbioz Technology ";Paris;1 année; 200-500 €;01/02/2022;https://www.freelance-info.fr/mission/expert-progiciel-peoplesoft-gl-1610322;['java', 'sql', 'jira', 'oracle', 'anglais', 'mysql']
