;title;companyname;location;duration;salary;date;joblink;jobskills
0;lyon-developpeur-android-anglais-courant-t-1664388;"
                    TEAM Consulting ";Lyon;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/lyon-developpeur-android-anglais-courant-t-1664388;['anglais', ' sas']
1;lyon-developpeur-talend-confirme-t-1664380;"
                    TEAM Consulting ";Lyon;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/lyon-developpeur-talend-confirme-t-1664380;['talend', 'anglais', ' sas']
2;lyon-chef-de-projet-pim-anglais-courant-t-1664385;"
                    TEAM Consulting ";Lyon;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/lyon-chef-de-projet-pim-anglais-courant-t-1664385;['anglais', ' sas']
3;bordeaux-leader-technique-power-bi-a-1664225;"
                    TEAM Consulting ";Lyon;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/bordeaux-leader-technique-power-bi-a-1664225;['powerbi', 'power bi', 'azure', 'agile', 'anglais', ' sas', 'powershell', 'ssrs']
4;vannes-analyste-cobol-a-1666287;"
                    TEAM Consulting ";Lyon;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/vannes-analyste-cobol-a-1666287;['anglais', ' sas']
5;bordeaux-ingenieur-devops-a-1666279;"
                    TEAM Consulting ";Lyon;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/bordeaux-ingenieur-devops-a-1666279;['elk', 'agile', 'anglais', 'grafana', ' sas']
6;rennes-developpeur-c-t-1663945;"
                    TEAM Consulting ";Bordeaux;3 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/rennes-developpeur-c-t-1663945;['sql', 'anglais', ' sas']
7;clermont-ferrand-developpeur-java-fullstack-t-1663939;"
                    TEAM Consulting ";Bordeaux;3 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/clermont-ferrand-developpeur-java-fullstack-t-1663939;['java', 'anglais', ' sas']
8;lyon-developpeur-cobol-mainframe-r-1663845;"
                    TEAM Consulting ";Vannes;3 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/lyon-developpeur-cobol-mainframe-r-1663845;['anglais', ' sas']
9;lyon-developpeur-cobol-mainframe-r-1665868;"
                    TEAM Consulting ";Vannes;3 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/lyon-developpeur-cobol-mainframe-r-1665868;['anglais', ' sas']
