;title;companyname;location;duration;salary;date;joblink;jobskills
0;ingenieur-de-production-1666737;"
                    TRSB ";Bois-Colombes;3 années; 300-490 €;10/02/2022;https://www.freelance-info.fr/mission/ingenieur-de-production-1666737;['anglais', 'powershell', 'linux']
1;dba-oracle-sql-serveur-anglais-1666555;"
                    TRSB ";Bois-Colombes;3 années; 300-490 €;10/02/2022;https://www.freelance-info.fr/mission/dba-oracle-sql-serveur-anglais-1666555;['sql', 'oracle', 'ssrs', ' ssis', 'linux']
2;it-risk-cyber-analyst-1666515;"
                    TRSB ";Nanterre;3 années; 490-620 €;10/02/2022;https://www.freelance-info.fr/mission/it-risk-cyber-analyst-1666515;[]
3;developpeur-fullstack-symfony-1664143;"
                    TRSB ";Nanterre;3 années; 490-620 €;10/02/2022;https://www.freelance-info.fr/mission/developpeur-fullstack-symfony-1664143;['agile', 'scrum', ' sas']
4;product-owner-cloud-azure-devops-anglophone-1666418;"
                    TRSB ";Paris;3 années; 550-680 €;10/02/2022;https://www.freelance-info.fr/mission/product-owner-cloud-azure-devops-anglophone-1666418;['azure', 'agile', 'anglais', 'kanban', 'scrum', ' sas']
5;developpement-sas-v-expertise-min-ans-1666280;"
                    TRSB ";Paris;3 années; 550-680 €;10/02/2022;https://www.freelance-info.fr/mission/developpement-sas-v-expertise-min-ans-1666280;['qlik', 'tableau', 'power bi', 'sql', 'oracle', 'qliksense', 'vba', ' sas']
6;developpeur-web-angular-1666266;"
                    TRSB ";Issy-les-Moulineaux;6 mois; 500 €;10/02/2022;https://www.freelance-info.fr/mission/developpeur-web-angular-1666266;['java', 'sql', 'api rest', 'agile', 'anglais', 'scrum', ' sas']
7;developpeur-back-end-aws-nodejs-graphql-1666141;"
                    TRSB ";Issy-les-Moulineaux;6 mois; 500 €;10/02/2022;https://www.freelance-info.fr/mission/developpeur-back-end-aws-nodejs-graphql-1666141;['aws', 'sql', 'ci/cd', ' sas']
8;developpeur-pl-sql-1666131;"
                    TRSB ";Paris;2 années; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/developpeur-pl-sql-1666131;['sql']
9;chef-de-projet-modern-workplace-o-azure-1663934;"
                    TRSB ";Paris;2 années; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-modern-workplace-o-azure-1663934;['tableau', 'azure']
10;integrateur-infrastructure-1665482;"
                    TRSB ";Paris;12 mois; 400-800 €;09/02/2022;https://www.freelance-info.fr/mission/integrateur-infrastructure-1665482;['jenkins', 'aws', 'docker', 'ansible', 'sql', 'agile', 'terraform', 'apache', 'itil', 'vpn', 'mysql', 'mongodb', 'powershell', 'linux']
11;tech-lead-react-rest-api-ci-cd-1665441;"
                    TRSB ";Paris;12 mois; 400-800 €;09/02/2022;https://www.freelance-info.fr/mission/tech-lead-react-rest-api-ci-cd-1665441;['jenkins', 'kafka', 'sql', 'ci/cd', 'terraform', 'sonar', 'postgresql', 'sonarqube']
12;architecte-data-conception-de-modeles-de-donnees-1663202;"
                    TRSB ";Nanterre;3 années; 500 €;09/02/2022;https://www.freelance-info.fr/mission/architecte-data-conception-de-modeles-de-donnees-1663202;[' sas']
13;developpeur-pl-sql-apex-bilingue-anglais-1664563;"
                    TRSB ";Nanterre;3 années; 500 €;09/02/2022;https://www.freelance-info.fr/mission/developpeur-pl-sql-apex-bilingue-anglais-1664563;['sql', 'oracle', 'anglais']
