;title;companyname;location;duration;salary;date;joblink;jobskills
0;qa-automatisation-paris-mission-longue-1666794;"
                    Eurostaff group SAS ";Paris;1 année; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/qa-automatisation-paris-mission-longue-1666794;['java', 'jenkins', 'docker', 'maven', 'sql', 'api rest', 'agile', 'mysql', 'linux']
1;iga-service-owner-saviynt-full-remote-asap-1666763;"
                    Eurostaff group SAS ";Paris;1 année; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/iga-service-owner-saviynt-full-remote-asap-1666763;['azure']
2;ingenieur-reseaux-cisco-paris-asap-1666762;"
                    Eurostaff group SAS ";Télétravail;2 années; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/ingenieur-reseaux-cisco-paris-asap-1666762;[]
3;freelance-ui-creative-designer-paris-teletravail-1664433;"
                    Eurostaff group SAS ";Télétravail;2 années; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/freelance-ui-creative-designer-paris-teletravail-1664433;[' sas']
4;iga-service-owner-saviynt-full-remote-asap-1666417;"
                    Eurostaff group SAS ";Paris;2 années; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/iga-service-owner-saviynt-full-remote-asap-1666417;['azure']
5;freelance-developpeur-ios-senior-swift-paris-teletravail-1663787;"
                    Eurostaff group SAS ";Paris;2 années; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/freelance-developpeur-ios-senior-swift-paris-teletravail-1663787;[' git ', 'gitlab', 'jenkins', 'jira', 'sonar', 'sonarqube', ' sas']
6;ingenieur-reseaux-cisco-paris-asap-1666053;"
                    Eurostaff group SAS ";Paris;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/ingenieur-reseaux-cisco-paris-asap-1666053;[]
7;iga-service-owner-saviynt-full-remote-asap-1666045;"
                    Eurostaff group SAS ";Paris;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/iga-service-owner-saviynt-full-remote-asap-1666045;['azure']
8;freelance-developpeur-ios-senior-paris-teletravail-temps-plein-1665784;"
                    Eurostaff group SAS ";FRANCE (Pays);1 année; 400-550 €;09/02/2022;https://www.freelance-info.fr/mission/freelance-developpeur-ios-senior-paris-teletravail-temps-plein-1665784;[' git ', 'gitlab', 'jenkins', 'jira', 'sonar', 'sonarqube', ' sas']
9;freelance-developpeur-android-kotlin-senior-paris-mi-temps-1665753;"
                    Eurostaff group SAS ";FRANCE (Pays);1 année; 400-550 €;09/02/2022;https://www.freelance-info.fr/mission/freelance-developpeur-android-kotlin-senior-paris-mi-temps-1665753;[' sas']
10;architecte-senior-aws-1663752;"
                    Eurostaff group SAS ";Paris;1 année; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/architecte-senior-aws-1663752;['aws']
11;nodejs-1663754;"
                    Eurostaff group SAS ";Paris;1 année; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/nodejs-1663754;['aws', 'sql', 'ci/cd', 'postgresql']
12;developpeur-net-angular-1663750;"
                    Eurostaff group SAS ";Paris;1 année; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/developpeur-net-angular-1663750;['java', 'azure', 'sonar', 'scrum', ' sas']
13;ingenieur-reseaux-junior-cisco-lyon-asap-1665617;"
                    Eurostaff group SAS ";Paris;1 année; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/ingenieur-reseaux-junior-cisco-lyon-asap-1665617;['anglais']
