;title;companyname;location;duration;salary;date;joblink;jobskills
0;support-helpdesk-niveau-1666807;"
                    GROUPE HN ";Marseille;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/support-helpdesk-niveau-1666807;['jira', 'agile', 'scala']
1;ux-ui-designer-1666806;"
                    GROUPE HN ";Marseille;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/ux-ui-designer-1666806;['jira', 'agile', 'scrum']
2;developpeur-fullstack-1666700;"
                    GROUPE HN ";Marseille;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/developpeur-fullstack-1666700;['java', 'agile']
3;developpeur-fullstack-1666698;"
                    GROUPE HN ";Marseille;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/developpeur-fullstack-1666698;['java', 'agile']
4;developpeur-fullstack-1666695;"
                    GROUPE HN ";Toulouse;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/developpeur-fullstack-1666695;['java', 'agile']
5;automaticien-ne-1666613;"
                    GROUPE HN ";Toulouse;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/automaticien-ne-1666613;['java', 'gitlab', 'jenkins', 'jira', 'agile']
6;expert-technique-talend-1666480;"
                    GROUPE HN ";Marseille;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/expert-technique-talend-1666480;['snowflake', ' sas']
7;expert-technique-calypso-h-f-1665776;"
                    GROUPE HN ";Marseille;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/expert-technique-calypso-h-f-1665776;['anglais', ' sas']
8;expert-browsing-proxy-h-f-1665769;"
                    GROUPE HN ";Aix-en-Provence;12 mois; 400-550 €;10/02/2022;https://www.freelance-info.fr/mission/expert-browsing-proxy-h-f-1665769;['anglais', 'firewalls']
9;data-engineer-h-f-1665767;"
                    GROUPE HN ";Aix-en-Provence;12 mois; 400-550 €;10/02/2022;https://www.freelance-info.fr/mission/data-engineer-h-f-1665767;[' git ', 'jenkins', 'kafka', 'elk', 'docker', 'ansible', 'python', 'agile', 'scrum', 'linux']
10;ingenieur-reseaux-h-f-1665764;"
                    GROUPE HN ";Marseille;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/ingenieur-reseaux-h-f-1665764;['python', 'anglais']
11;expert-fonctionnel-h-f-1665758;"
                    GROUPE HN ";Marseille;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/expert-fonctionnel-h-f-1665758;['anglais']
12;developpeur-python-h-f-1665751;"
                    GROUPE HN ";Lille;6 mois; 390-490 €;10/02/2022;https://www.freelance-info.fr/mission/developpeur-python-h-f-1665751;['jenkins', 'python', 'sonar', 'microservice']
13;lead-devops-expert-java-devops-1663709;"
                    GROUPE HN ";Lille;6 mois; 390-490 €;10/02/2022;https://www.freelance-info.fr/mission/lead-devops-expert-java-devops-1663709;['java', ' git ', 'gitlab', 'jenkins', 'docker', 'ansible', 'maven', 'ci/cd', 'sonar', 'sonarqube', 'microservice']
14;chef-de-projet-1663712;"
                    GROUPE HN ";Paris;3 années; 500-550 €;08/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-1663712;['java', 'sql', 'oracle']
15;tech-lead-java-cloud-1663716;"
                    GROUPE HN ";Paris;3 années; 500-550 €;08/02/2022;https://www.freelance-info.fr/mission/tech-lead-java-cloud-1663716;['java', 'sql', 'oracle', 'scrum']
16;chef-de-projet-prevoyance-1663531;"
                    GROUPE HN ";Paris;3 années; 520-550 €;08/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-prevoyance-1663531;[' sas']
17;data-engineer-h-f-1663426;"
                    GROUPE HN ";Paris;3 années; 520-550 €;08/02/2022;https://www.freelance-info.fr/mission/data-engineer-h-f-1663426;['sql', 'gcp', 'anglais']
18;chef-de-projet-moe-h-f-1663423;"
                    GROUPE HN ";Paris;3 années; 400-420 €;08/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-moe-h-f-1663423;['jira', 'agile', 'anglais']
