;title;companyname;location;duration;salary;date;joblink;jobskills
0;data-engineer-hadoop-spark-1664146;"
                    Nexius Finance ";Paris;15 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/data-engineer-hadoop-spark-1664146;['java', 'spark', 'sql', 'hadoop', 'scala']
1;data-developpeur-python-1664140;"
                    Nexius Finance ";Paris;15 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/data-developpeur-python-1664140;['python', 'spark', 'databricks', 'pyspark', ' sas']
2;software-engineer-1666374;"
                    Nexius Finance ";Paris;15 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/software-engineer-1666374;['sql', ' sas']
3;developpeur-sas-sql-1666204;"
                    Nexius Finance ";Paris;15 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/developpeur-sas-sql-1666204;['sql', 'agile', 'anglais', ' sas']
4;dev-algorithme-trading-c-1634147;"
                    Nexius Finance ";Paris;3 années; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/dev-algorithme-trading-c-1634147;[]
5;dev-python-1634179;"
                    Nexius Finance ";Paris;3 années; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/dev-python-1634179;['sql', 'oracle']
6;dev-python-java-1638300;"
                    Nexius Finance ";La Défense (92);11 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/dev-python-java-1638300;['java', 'python', ' sas']
7;big-data-1631254;"
                    Nexius Finance ";La Défense (92);11 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/big-data-1631254;['spark', 'hadoop', 'scala']
8;architecte-big-data-1630046;"
                    Nexius Finance ";Paris;3 années; 200-500 €;09/02/2022;https://www.freelance-info.fr/mission/architecte-big-data-1630046;[' git ', 'jenkins', 'kafka', 'ansible', 'spark', 'data lake', 'hive', 'maven', 'hortonworks', 'sql', 'logstash', 'mongodb']
9;dev-c-it-quant-1630034;"
                    Nexius Finance ";Paris;3 années; 200-500 €;09/02/2022;https://www.freelance-info.fr/mission/dev-c-it-quant-1630034;[]
10;dev-java-back-end-1630023;"
                    Nexius Finance ";94;3 mois; 200-500 €;09/02/2022;https://www.freelance-info.fr/mission/dev-java-back-end-1630023;['java', 'anglais']
11;dev-fullstack-react-et-java-1650488;"
                    Nexius Finance ";94;3 mois; 200-500 €;09/02/2022;https://www.freelance-info.fr/mission/dev-fullstack-react-et-java-1650488;['java', 'azure', 'ci/cd', ' sas']
12;dev-c-vue-1650766;"
                    Nexius Finance ";Paris;3 années; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/dev-c-vue-1650766;[' sas']
13;expert-kafka-1650765;"
                    Nexius Finance ";Paris;3 années; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/expert-kafka-1650765;['azure', 'kafka', ' sas']
14;dev-c-sophis-1650842;"
                    Nexius Finance ";Paris;Durée non renseignée; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/dev-c-sophis-1650842;['sql', 'oracle', 'anglais']
15;business-analyst-sophis-1650925;"
                    Nexius Finance ";Paris;Durée non renseignée; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/business-analyst-sophis-1650925;[' sas']
16;dev-c-angular-1653198;"
                    Nexius Finance ";Guyancourt;Durée non renseignée; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/dev-c-angular-1653198;['oracle', 'anglais', ' sas']
17;dev-net-net-core-cloud-azure-1653266;"
                    Nexius Finance ";Guyancourt;Durée non renseignée; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/dev-net-net-core-cloud-azure-1653266;[' sas']
18;architecte-big-data-1644200;"
                    Nexius Finance ";Paris;Durée non renseignée; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/architecte-big-data-1644200;['aws', 'azure', 'kafka', 'elk', 'cloudera', 'anglais', ' sas']
19;expert-big-data-1644201;"
                    Nexius Finance ";Paris;Durée non renseignée; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/expert-big-data-1644201;['jenkins', 'kafka', 'ansible', 'spark', 'data lake', 'hive', 'maven', 'hortonworks', 'sql', 'logstash', 'mongodb']
20;developpeur-java-1665999;"
                    Nexius Finance ";Paris;Durée non renseignée; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/developpeur-java-1665999;['java', 'sql', 'oracle', 'agile', 'anglais']
21;developpeur-net-1665803;"
                    Nexius Finance ";Paris;Durée non renseignée; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/developpeur-net-1665803;['aws', 'azure', 'anglais', ' sas']
22;developpeur-big-data-python-1663641;"
                    Nexius Finance ";Paris;3 années; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/developpeur-big-data-python-1663641;['java', 'spark', 'hortonworks', 'hadoop', 'modélisation']
23;assistant-moa-maitrisant-sas-risque-de-credit-1663480;"
                    Nexius Finance ";Paris;3 années; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/assistant-moa-maitrisant-sas-risque-de-credit-1663480;[' r ', 'python', 'anglais', ' sas']
24;developpeur-c-finance-de-marche-1663260;"
                    Nexius Finance ";Paris;3 années; 400-550 €;09/02/2022;https://www.freelance-info.fr/mission/developpeur-c-finance-de-marche-1663260;['jenkins']
25;developpeur-c-net-core-finance-1663267;"
                    Nexius Finance ";Paris;3 années; 400-550 €;09/02/2022;https://www.freelance-info.fr/mission/developpeur-c-net-core-finance-1663267;['jenkins', ' sas']
26;software-craftsmanship-1662708;"
                    Nexius Finance ";Paris;3 années; 400-550 €;09/02/2022;https://www.freelance-info.fr/mission/software-craftsmanship-1662708;['java', 'github', 'puppet', 'agile', 'scala']
27;developpeur-python-1662682;"
                    Nexius Finance ";Paris;3 années; 400-550 €;09/02/2022;https://www.freelance-info.fr/mission/developpeur-python-1662682;['python', 'sql', 'ci/cd', 'api rest', 'linux']
28;sofware-devops-engineer-python-1662667;"
                    Nexius Finance ";Paris;3 années; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/sofware-devops-engineer-python-1662667;['python', 'sql', 'ci/cd', 'api rest', 'linux']
29;data-manager-1662227;"
                    Nexius Finance ";Paris;3 années; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/data-manager-1662227;[' sas']
30;developpeur-sophis-1661666;"
                    Nexius Finance ";Paris;3 années; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/developpeur-sophis-1661666;['sql', 'oracle']
31;moa-murex-1661669;"
                    Nexius Finance ";Paris;3 années; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/moa-murex-1661669;[' bo ']
32;moa-sophis-1661671;"
                    Nexius Finance ";Paris;3 années; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/moa-sophis-1661671;['sql']
33;support-fonctionnel-1661336;"
                    Nexius Finance ";Paris;3 années; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/support-fonctionnel-1661336;[' excel ', 'sql', ' sas']
