;title;companyname;location;duration;salary;date;joblink;jobskills
0;senior-security-engineer-for-systems-network-1666765;"
                    SOFTEAM ";Paris;12 mois; 400-500 €;10/02/2022;https://www.freelance-info.fr/mission/senior-security-engineer-for-systems-network-1666765;[]
1;developpeur-powerbi-1666740;"
                    SOFTEAM ";Paris;12 mois; 400-500 €;10/02/2022;https://www.freelance-info.fr/mission/developpeur-powerbi-1666740;[]
2;lead-tech-saleforce-anglais-courant-1666691;"
                    SOFTEAM ";Paris;12 mois; 400-560 €;10/02/2022;https://www.freelance-info.fr/mission/lead-tech-saleforce-anglais-courant-1666691;['salesforce']
3;coach-agile-1666687;"
                    SOFTEAM ";Paris;12 mois; 400-560 €;10/02/2022;https://www.freelance-info.fr/mission/coach-agile-1666687;['agile']
4;dev-fullstack-angular-js-1666636;"
                    SOFTEAM ";Paris;12 mois; 400-520 €;10/02/2022;https://www.freelance-info.fr/mission/dev-fullstack-angular-js-1666636;['java', 'gitlab', 'kafka', 'docker', 'sql', 'jira', 'oracle', 'agile', 'confluence', 'sonar', 'postgresql', 'scrum', 'sonarqube']
5;architecte-data-1664419;"
                    SOFTEAM ";Paris;12 mois; 400-520 €;10/02/2022;https://www.freelance-info.fr/mission/architecte-data-1664419;['java', 'aws', 'azure', 'python', 'hive', 'sql', 'hadoop', 'redshift', 'oracle', 'modélisation', 'anglais', 'vba', 'salesforce', 'linux']
6;ingenieur-systeme-linux-senior-1664386;"
                    SOFTEAM ";Paris;12 mois; 400-600 €;10/02/2022;https://www.freelance-info.fr/mission/ingenieur-systeme-linux-senior-1664386;['docker', 'python', 'ldap', 'linux']
7;ingenieur-systeme-kubernetes-senior-1664390;"
                    SOFTEAM ";Paris;12 mois; 400-600 €;10/02/2022;https://www.freelance-info.fr/mission/ingenieur-systeme-kubernetes-senior-1664390;[]
8;mp-scrum-master-sur-des-sujets-d-obsolescence-1664357;"
                    SOFTEAM ";Issy-les-Moulineaux;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/mp-scrum-master-sur-des-sujets-d-obsolescence-1664357;['sql', 'db2', 'oracle', 'linux']
9;architecte-technique-infra-confirm-1664375;"
                    SOFTEAM ";Issy-les-Moulineaux;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/architecte-technique-infra-confirm-1664375;[' sas']
10;proxy-product-owner-crm-1664347;"
                    SOFTEAM ";Paris;12 mois; 400-550 €;10/02/2022;https://www.freelance-info.fr/mission/proxy-product-owner-crm-1664347;['power bi', 'jira', 'agile', 'anglais', 'kanban', 'scrum']
11;data-analyste-1664342;"
                    SOFTEAM ";Paris;12 mois; 400-550 €;10/02/2022;https://www.freelance-info.fr/mission/data-analyste-1664342;['java', 'tableau', 'powerbi', ' r ', 'python', 'sql', 'microstrategy', 'anglais', 'cartographie']
12;developpeur-android-1664298;"
                    SOFTEAM ";Paris;12 mois; 400-470 €;10/02/2022;https://www.freelance-info.fr/mission/developpeur-android-1664298;['api rest', 'jira', 'agile', 'sonar', 'kanban', 'scrum', 'sonarqube']
13;consultation-concepteur-cobol-1664300;"
                    SOFTEAM ";Paris;12 mois; 400-470 €;10/02/2022;https://www.freelance-info.fr/mission/consultation-concepteur-cobol-1664300;['gitlab', ' excel ', 'sql', 'oracle', 'powerpoint', 'linux']
14;developpeur-ios-1664303;"
                    SOFTEAM ";Paris;12 mois; 400-490 €;10/02/2022;https://www.freelance-info.fr/mission/developpeur-ios-1664303;['api rest', 'jira', 'agile', 'sonar', 'kanban', 'scrum', 'sonarqube']
15;developpeur-php-angularjs-fullstack-1664275;"
                    SOFTEAM ";Paris;12 mois; 400-490 €;10/02/2022;https://www.freelance-info.fr/mission/developpeur-php-angularjs-fullstack-1664275;['sql', 'postgresql']
16;moe-infra-cloud-securite-1664276;"
                    SOFTEAM ";Paris;12 mois; 400-500 €;10/02/2022;https://www.freelance-info.fr/mission/moe-infra-cloud-securite-1664276;['linux']
17;consultant-sharepoint-1664237;"
                    SOFTEAM ";Paris;12 mois; 400-500 €;10/02/2022;https://www.freelance-info.fr/mission/consultant-sharepoint-1664237;['java', 'api rest']
18;developpeur-business-object-1664239;"
                    SOFTEAM ";Paris;12 mois; 510-550 €;10/02/2022;https://www.freelance-info.fr/mission/developpeur-business-object-1664239;[' bo ']
19;expert-sas-1664241;"
                    SOFTEAM ";Paris;12 mois; 510-550 €;10/02/2022;https://www.freelance-info.fr/mission/expert-sas-1664241;['qlik', 'qliksense', ' sas', 'linux']
20;consultant-actuariat-epargne-retraite-1664242;"
                    SOFTEAM ";Paris;12 mois; 400-480 €;10/02/2022;https://www.freelance-info.fr/mission/consultant-actuariat-epargne-retraite-1664242;[]
21;developpeur-c-net-1664142;"
                    SOFTEAM ";Paris;12 mois; 400-480 €;10/02/2022;https://www.freelance-info.fr/mission/developpeur-c-net-1664142;['java', 'jenkins', 'docker', 'sql']
22;consultant-alimentation-bdd-teradata-1666333;"
                    SOFTEAM ";Paris;12 mois; 400-460 €;10/02/2022;https://www.freelance-info.fr/mission/consultant-alimentation-bdd-teradata-1666333;['talend', 'python', 'sql', 'datawarehouse', 'anglais', 'linux']
23;developpeur-python-devops-1666147;"
                    SOFTEAM ";Paris;12 mois; 400-460 €;10/02/2022;https://www.freelance-info.fr/mission/developpeur-python-devops-1666147;['python', 'sql', 'ci/cd', 'linux']
24;administrateur-fonctionnel-outils-jira-confluence-1666000;"
                    SOFTEAM ";Paris;12 mois; 400-440 €;10/02/2022;https://www.freelance-info.fr/mission/administrateur-fonctionnel-outils-jira-confluence-1666000;['gitlab', 'jenkins', 'jira', 'agile', 'confluence', 'sonar', 'scrum', 'sonarqube', 'linux']
