;title;companyname;location;duration;salary;date;joblink;jobskills
0;ingenieur-aws-sur-paris-1664383;"
                    TECHNODYM ";Paris;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/ingenieur-aws-sur-paris-1664383;['gitlab', 'aws', 'ansible', 'python', 'maven', 'agile', 'terraform', 'sonar', 'grafana']
1;un-administrateur-servicenow-le-mans-1666144;"
                    TECHNODYM ";Paris;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/un-administrateur-servicenow-le-mans-1666144;[' excel ', ' sas']
2;leader-technique-j-ee-1665703;"
                    TECHNODYM ";Mans (Le);6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/leader-technique-j-ee-1665703;['aws', 'azure', 'ci/cd']
3;un-consultant-devops-1665377;"
                    TECHNODYM ";Mans (Le);6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/un-consultant-devops-1665377;['gitlab', 'docker', 'python', 'ci/cd', ' sas', 'linux']
4;architecte-reseau-cloud-nubo-1665373;"
                    TECHNODYM ";Lille;8 mois; 400-550 €;08/02/2022;https://www.freelance-info.fr/mission/architecte-reseau-cloud-nubo-1665373;['gitlab', 'tableau', 'python', ' sas', 'linux']
5;web-developper-1665369;"
                    TECHNODYM ";Lille;8 mois; 400-550 €;08/02/2022;https://www.freelance-info.fr/mission/web-developper-1665369;[' sas']
6;un-integrateur-systeme-1665367;"
                    TECHNODYM ";Noisy-le-Grand;12 mois; Tarif non renseigné;07/02/2022;https://www.freelance-info.fr/mission/un-integrateur-systeme-1665367;['puppet', ' sas']
7;developpeur-python-experimente-1665360;"
                    TECHNODYM ";Noisy-le-Grand;12 mois; Tarif non renseigné;07/02/2022;https://www.freelance-info.fr/mission/developpeur-python-experimente-1665360;[' sas']
8;un-expert-java-scala-1665358;"
                    TECHNODYM ";Noisy-le-Grand;12 mois; Tarif non renseigné;07/02/2022;https://www.freelance-info.fr/mission/un-expert-java-scala-1665358;['java', 'scala', ' sas']
9;un-developpeur-java-react-1665355;"
                    TECHNODYM ";Noisy-le-Grand;12 mois; Tarif non renseigné;07/02/2022;https://www.freelance-info.fr/mission/un-developpeur-java-react-1665355;['java', 'api rest', ' sas']
10;manager-de-transition-datalake-1665354;"
                    TECHNODYM ";Noisy-le-Grand;6 mois; Tarif non renseigné;07/02/2022;https://www.freelance-info.fr/mission/manager-de-transition-datalake-1665354;[]
11;tech-lead-data-platform-1665348;"
                    TECHNODYM ";Noisy-le-Grand;6 mois; Tarif non renseigné;07/02/2022;https://www.freelance-info.fr/mission/tech-lead-data-platform-1665348;[' sas']
12;un-testeur-technique-1665345;"
                    TECHNODYM ";Noisy-le-Grand;12 mois; Tarif non renseigné;07/02/2022;https://www.freelance-info.fr/mission/un-testeur-technique-1665345;['sql', ' sas', 'linux']
13;analyste-technico-fonctionnel-1665340;"
                    TECHNODYM ";Noisy-le-Grand;12 mois; Tarif non renseigné;07/02/2022;https://www.freelance-info.fr/mission/analyste-technico-fonctionnel-1665340;['sql', ' sas', 'linux']
14;administrateur-elk-sur-idf-1665301;"
                    TECHNODYM ";Noisy-le-Grand;6 mois; Tarif non renseigné;07/02/2022;https://www.freelance-info.fr/mission/administrateur-elk-sur-idf-1665301;['logstash', ' sas']
15;responsable-d-application-sur-idf-1665294;"
                    TECHNODYM ";Noisy-le-Grand;6 mois; Tarif non renseigné;07/02/2022;https://www.freelance-info.fr/mission/responsable-d-application-sur-idf-1665294;['sql', 'salesforce']
