;title;companyname;location;duration;salary;date;joblink;jobskills
0;data-analyst-senior-1666713;"
                    TEOLIA ";Paris;6 mois; 520 €;10/02/2022;https://www.freelance-info.fr/mission/data-analyst-senior-1666713;[' sas']
1;functional-project-manager-level-1666710;"
                    TEOLIA ";Paris;6 mois; 520 €;10/02/2022;https://www.freelance-info.fr/mission/functional-project-manager-level-1666710;['azure', ' sas', 'powershell']
2;security-engineer-for-systems-network-level-1664218;"
                    TEOLIA ";Bruxelles (BE);10 mois; 450-620 €;10/02/2022;https://www.freelance-info.fr/mission/security-engineer-for-systems-network-level-1664218;['agile', ' sas']
3;business-analyst-product-portfolio-1664215;"
                    TEOLIA ";Bruxelles (BE);10 mois; 450-620 €;10/02/2022;https://www.freelance-info.fr/mission/business-analyst-product-portfolio-1664215;[' sas']
4;devops-engineer-1666267;"
                    TEOLIA ";Bruxelles (BE);206 jours; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/devops-engineer-1666267;[' git ', 'gitlab', 'jenkins', 'docker', 'python', 'ci/cd', ' sas']
5;profil-senior-bi-datastage-px-1664015;"
                    TEOLIA ";Bruxelles (BE);206 jours; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/profil-senior-bi-datastage-px-1664015;['datastage', 'anglais']
6;developpeur-java-angular-aws-confirme-1663841;"
                    TEOLIA ";Bruxelles (BE);6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/developpeur-java-angular-aws-confirme-1663841;['java', 'aws', 'sql', 'agile', 'scrum']
7;pmo-integration-1665992;"
                    TEOLIA ";Bruxelles (BE);6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/pmo-integration-1665992;['azure', 'agile']
8;administrateur-systeme-reseaux-confirme-1665922;"
                    TEOLIA ";Bruxelles (BE);110 jours; 400-500 €;09/02/2022;https://www.freelance-info.fr/mission/administrateur-systeme-reseaux-confirme-1665922;['talend', ' git ', 'github', 'gitlab', 'jenkins', 'azure', 'elk', 'puppet', 'docker', 'spark', 'databricks', 'hadoop', 'cloudera', ' sas', 'linux']
9;business-analyst-data-1665832;"
                    TEOLIA ";Bruxelles (BE);110 jours; 400-500 €;09/02/2022;https://www.freelance-info.fr/mission/business-analyst-data-1665832;['agile']
10;lead-dev-1663511;"
                    TEOLIA ";Paris;6 mois; 400-550 €;09/02/2022;https://www.freelance-info.fr/mission/lead-dev-1663511;['anglais']
11;architecte-data-azure-meta-modelisation-1663500;"
                    TEOLIA ";Paris;6 mois; 400-550 €;09/02/2022;https://www.freelance-info.fr/mission/architecte-data-azure-meta-modelisation-1663500;['azure', 'sql', 'modélisation']
12;solution-architect-architecte-applicatif-1663492;"
                    TEOLIA ";Paris;12 mois; 350-550 €;09/02/2022;https://www.freelance-info.fr/mission/solution-architect-architecte-applicatif-1663492;['java', 'kafka', 'sql', 'gcp', 'postgresql', 'mongodb', 'microservice']
13;ingenieur-sap-1663462;"
                    TEOLIA ";Paris;12 mois; 350-550 €;09/02/2022;https://www.freelance-info.fr/mission/ingenieur-sap-1663462;['sql', 'oracle', 'agile', 'anglais', 'itil', ' sas', 'linux']
14;incident-manager-1663468;"
                    TEOLIA ";Paris;24 mois; 520-590 €;08/02/2022;https://www.freelance-info.fr/mission/incident-manager-1663468;['anglais', 'itil', 'salesforce']
15;devops-expert-gcp-1663449;"
                    TEOLIA ";Paris;24 mois; 520-590 €;08/02/2022;https://www.freelance-info.fr/mission/devops-expert-gcp-1663449;['github', 'docker', 'ci/cd', 'terraform', 'sonar']
16;responsable-technique-1665616;"
                    TEOLIA ";Paris;12 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/responsable-technique-1665616;['itil', 'linux']
17;administrateur-systemes-reseaux-oriente-bigdata-1665487;"
                    TEOLIA ";Paris;12 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/administrateur-systemes-reseaux-oriente-bigdata-1665487;['talend', ' git ', 'github', 'gitlab', 'jenkins', 'aws', 'azure', 'kafka', 'elk', 'puppet', ' odi ', 'docker', 'ansible', 'spark', 'sql', 'databricks', 'hadoop', 'snowflake', 'oracle', 'cloudera', 'apache', 'tomcat', 'postgresql', ' sas', 'linux']
18;pmo-infrastructure-level-1665481;"
                    TEOLIA ";Paris;12 mois; 300-600 €;08/02/2022;https://www.freelance-info.fr/mission/pmo-infrastructure-level-1665481;['itil', ' sas']
19;responsable-equipes-mobiles-1665430;"
                    TEOLIA ";Paris;12 mois; 300-600 €;08/02/2022;https://www.freelance-info.fr/mission/responsable-equipes-mobiles-1665430;[]
20;business-analyst-product-portfolio-1665419;"
                    TEOLIA ";Lille;228 jours; 300-500 €;08/02/2022;https://www.freelance-info.fr/mission/business-analyst-product-portfolio-1665419;['anglais']
21;release-manager-1665284;"
                    TEOLIA ";Lille;228 jours; 300-500 €;08/02/2022;https://www.freelance-info.fr/mission/release-manager-1665284;['agile', 'itil']
22;devops-1665269;"
                    TEOLIA ";Paris;1 année; 400-550 €;08/02/2022;https://www.freelance-info.fr/mission/devops-1665269;['gitlab', 'docker', 'apache', ' sas', 'linux']
23;product-owner-technique-1664975;"
                    TEOLIA ";Paris;1 année; 400-550 €;08/02/2022;https://www.freelance-info.fr/mission/product-owner-technique-1664975;['anglais']
24;cloud-data-engineer-1664926;"
                    TEOLIA ";Lille;228 jours; 350-500 €;08/02/2022;https://www.freelance-info.fr/mission/cloud-data-engineer-1664926;['gitlab', 'python', 'spark', 'data lake', 'sql', 'gcp', 'airflow', 'ci/cd', 'jira', 'confluence', ' sas']
25;data-engineer-senior-1664714;"
                    TEOLIA ";Lille;228 jours; 350-500 €;08/02/2022;https://www.freelance-info.fr/mission/data-engineer-senior-1664714;['python', 'spark', 'sql', 'airflow', 'hadoop', 'bigquery', 'agile']
26;developpeur-full-stack-1664678;"
                    TEOLIA ";Paris;1 année; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/developpeur-full-stack-1664678;['java', 'github', 'kafka', 'docker', 'python', 'maven', 'gcp', 'agile', 'anglais', 'springboot', 'kanban', 'scrum', 'mongodb']
27;tech-lead-java-1664651;"
                    TEOLIA ";Paris;1 année; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/tech-lead-java-1664651;['java']
28;administrateur-systeme-stockage-1664412;"
                    TEOLIA ";Paris;2 années; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/administrateur-systeme-stockage-1664412;['anglais', 'linux']
29;scrum-master-junior-1662183;"
                    TEOLIA ";Paris;2 années; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/scrum-master-junior-1662183;['ci/cd', 'agile']
30;chef-de-projet-cloud-1662168;"
                    TEOLIA ";Lille;243 jours; 350-500 €;08/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-cloud-1662168;['tableau', 'aws', 'tableaux de bord']
31;expert-python-1662140;"
                    TEOLIA ";Lille;243 jours; 350-500 €;08/02/2022;https://www.freelance-info.fr/mission/expert-python-1662140;['python', 'hadoop', 'apache']
32;consultant-en-conformite-1662112;"
                    TEOLIA ";Lyon;12 mois; 300-450 €;07/02/2022;https://www.freelance-info.fr/mission/consultant-en-conformite-1662112;['anglais', ' sas']
33;developpeur-fullstack-net-angular-js-1662067;"
                    TEOLIA ";Lyon;12 mois; 300-450 €;07/02/2022;https://www.freelance-info.fr/mission/developpeur-fullstack-net-angular-js-1662067;['sql', ' sas']
34;developpeur-fullsatck-net-angular-confirme-min-ans-d-xp-1662065;"
                    TEOLIA ";Paris;10 mois; 400-500 €;07/02/2022;https://www.freelance-info.fr/mission/developpeur-fullsatck-net-angular-confirme-min-ans-d-xp-1662065;['sql']
35;administrateur-jira-1663933;"
                    TEOLIA ";Paris;10 mois; 400-500 €;07/02/2022;https://www.freelance-info.fr/mission/administrateur-jira-1663933;['python', 'jira']
36;administrateur-d-outils-de-systemes-de-reseaux-telecoms-m-1661662;"
                    TEOLIA ";Bruxelles (BE);6 mois; 450-600 €;07/02/2022;https://www.freelance-info.fr/mission/administrateur-d-outils-de-systemes-de-reseaux-telecoms-m-1661662;[]
37;chef-de-projet-retail-1661368;"
                    TEOLIA ";Bruxelles (BE);6 mois; 450-600 €;07/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-retail-1661368;['sql', 'anglais', ' sas']
38;junior-project-manager-domaine-ops-it-1661175;"
                    TEOLIA ";Paris;6 mois; Tarif non renseigné;07/02/2022;https://www.freelance-info.fr/mission/junior-project-manager-domaine-ops-it-1661175;['anglais', ' sas']
39;front-office-senior-business-analyst-solide-experience-aladin-1661181;"
                    TEOLIA ";Paris;6 mois; Tarif non renseigné;07/02/2022;https://www.freelance-info.fr/mission/front-office-senior-business-analyst-solide-experience-aladin-1661181;[' sas']
40;data-analyst-1661186;"
                    TEOLIA ";Bruxelles (BE);12 mois; 280-550 €;07/02/2022;https://www.freelance-info.fr/mission/data-analyst-1661186;['java', 'tableau', 'power bi', 'azure', 'python', 'sql', 'postgresql']
41;product-owner-reseau-1661174;"
                    TEOLIA ";Bruxelles (BE);12 mois; 280-550 €;07/02/2022;https://www.freelance-info.fr/mission/product-owner-reseau-1661174;['jira', 'agile', 'scrum']
42;ingenieur-securite-systems-reseau-level-1660925;"
                    TEOLIA ";Paris;3 mois; 400-550 €;07/02/2022;https://www.freelance-info.fr/mission/ingenieur-securite-systems-reseau-level-1660925;['agile', ' sas']
43;developpeur-net-angular-1660531;"
                    TEOLIA ";Paris;3 mois; 400-550 €;07/02/2022;https://www.freelance-info.fr/mission/developpeur-net-angular-1660531;[' sas']
44;project-manager-infrastructure-1660333;"
                    TEOLIA ";Paris;6 mois; 400-530 €;07/02/2022;https://www.freelance-info.fr/mission/project-manager-infrastructure-1660333;['itil', 'prince2', ' sas']
45;ingenieur-reseaux-level-cybersecurity-projects-1660325;"
                    TEOLIA ";Paris;6 mois; 400-530 €;07/02/2022;https://www.freelance-info.fr/mission/ingenieur-reseaux-level-cybersecurity-projects-1660325;['vpn', ' sas']
