;title;companyname;location;duration;salary;date;joblink;jobskills
0;devsecops-aws-h-f-1666745;"
                    HR-TEAM ";Paris;3 années; 500-560 €;10/02/2022;https://www.freelance-info.fr/mission/devsecops-aws-h-f-1666745;['aws']
1;developpeur-cobol-h-f-1666743;"
                    HR-TEAM ";Paris;3 années; 500-560 €;10/02/2022;https://www.freelance-info.fr/mission/developpeur-cobol-h-f-1666743;[]
2;analyste-developpeur-cobol-h-f-1666728;"
                    HR-TEAM ";Paris;3 années; 400-430 €;10/02/2022;https://www.freelance-info.fr/mission/analyste-developpeur-cobol-h-f-1666728;[' sas']
3;chef-de-projet-cobol-h-f-1666727;"
                    HR-TEAM ";Paris;3 années; 400-430 €;10/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-cobol-h-f-1666727;['db2']
4;product-owner-h-f-1666390;"
                    HR-TEAM ";Paris;2 années; 400-420 €;10/02/2022;https://www.freelance-info.fr/mission/product-owner-h-f-1666390;['scrum']
5;pmo-f-h-1666362;"
                    HR-TEAM ";Paris;2 années; 400-420 €;10/02/2022;https://www.freelance-info.fr/mission/pmo-f-h-1666362;['jira', 'confluence']
6;chef-de-projet-moe-net-h-f-1663817;"
                    HR-TEAM ";Paris;3 années; 400-450 €;10/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-moe-net-h-f-1663817;['agile', 'anglais', ' sas']
7;expert-kafka-java-h-f-1666112;"
                    HR-TEAM ";Paris;3 années; 400-450 €;10/02/2022;https://www.freelance-info.fr/mission/expert-kafka-java-h-f-1666112;['java', 'gitlab', 'kafka', 'elk', 'ansible', 'api rest', 'springboot', 'microservice']
8;developpeur-php-reactjs-h-f-1666110;"
                    HR-TEAM ";Courbevoie;18 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/developpeur-php-reactjs-h-f-1666110;[]
9;developpeur-php-symfony-h-f-1666108;"
                    HR-TEAM ";Courbevoie;18 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/developpeur-php-symfony-h-f-1666108;['java', ' git ', 'docker', 'sql', 'ci/cd', 'agile', 'mysql']
