;title;companyname;location;duration;salary;date;joblink;jobskills
0;migration-c-vers-java-h-f-1666551;"
                    INFOTEL CONSEIL ";Sophia-Antipolis;6 mois; 250-430 €;10/02/2022;https://www.freelance-info.fr/mission/migration-c-vers-java-h-f-1666551;['java', 'anglais', ' sas']
1;product-owner-h-f-1664233;"
                    INFOTEL CONSEIL ";Sophia-Antipolis;6 mois; 250-430 €;10/02/2022;https://www.freelance-info.fr/mission/product-owner-h-f-1664233;[]
2;senior-business-analysis-asset-management-1666478;"
                    INFOTEL CONSEIL ";Niort;2 années; 370-400 €;10/02/2022;https://www.freelance-info.fr/mission/senior-business-analysis-asset-management-1666478;[' excel ', 'sql', 'vba', ' sas']
3;developpeur-python-urgent-h-f-1664045;"
                    INFOTEL CONSEIL ";Niort;2 années; 370-400 €;10/02/2022;https://www.freelance-info.fr/mission/developpeur-python-urgent-h-f-1664045;[' sas']
4;developpeur-net-fullstack-mvc-core-1665775;"
                    INFOTEL CONSEIL ";Paris;3 années; 500-600 €;10/02/2022;https://www.freelance-info.fr/mission/developpeur-net-fullstack-mvc-core-1665775;['sql', ' sas']
5;developpeur-data-etl-seniot-h-f-1665337;"
                    INFOTEL CONSEIL ";Paris;3 années; 500-600 €;10/02/2022;https://www.freelance-info.fr/mission/developpeur-data-etl-seniot-h-f-1665337;['talend', 'java', 'ansible', 'sql', 'agile', 'postgresql', 'mysql', 'kanban', 'scrum', 'linux']
6;amoa-business-analys-secteur-aeronautique-1663063;"
                    INFOTEL CONSEIL ";Bordeaux;3 mois; 400-550 €;09/02/2022;https://www.freelance-info.fr/mission/amoa-business-analys-secteur-aeronautique-1663063;['agile', 'modélisation', 'anglais']
7;pmo-h-f-1665015;"
                    INFOTEL CONSEIL ";Bordeaux;3 mois; 400-550 €;09/02/2022;https://www.freelance-info.fr/mission/pmo-h-f-1665015;['tableau', 'tableaux de bord', 'cartographie']
8;integrateur-f-h-1665012;"
                    INFOTEL CONSEIL ";Clichy;3 années; 500-550 €;08/02/2022;https://www.freelance-info.fr/mission/integrateur-f-h-1665012;['linux']
9;ux-ui-designer-h-f-1665007;"
                    INFOTEL CONSEIL ";Clichy;3 années; 500-550 €;08/02/2022;https://www.freelance-info.fr/mission/ux-ui-designer-h-f-1665007;[]
