;title;companyname;location;duration;salary;date;joblink;jobskills
0;developpeur-ios-lyon-1666774;"
                    Lawrence Harvey ";Lyon;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/developpeur-ios-lyon-1666774;['anglais']
1;responsable-app-mobile-ios-android-1666361;"
                    Lawrence Harvey ";Lyon;6 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/responsable-app-mobile-ios-android-1666361;['java', 'scrum']
2;test-engineer-automation-1666281;"
                    Lawrence Harvey ";Paris;6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/test-engineer-automation-1666281;['jenkins', 'aws', 'azure', 'docker', 'python', 'agile', 'linux']
3;salesforce-core-architect-1666276;"
                    Lawrence Harvey ";Paris;6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/salesforce-core-architect-1666276;['agile', 'anglais', 'salesforce']
4;referent-data-senior-1666231;"
                    Lawrence Harvey ";Paris;1 année; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/referent-data-senior-1666231;[]
5;developpeur-android-1666058;"
                    Lawrence Harvey ";Paris;1 année; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/developpeur-android-1666058;['java', 'anglais']
6;ingenieur-systeme-reseaux-1666019;"
                    Lawrence Harvey ";Paris;1 année; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/ingenieur-systeme-reseaux-1666019;[]
7;ingenieur-devops-1666018;"
                    Lawrence Harvey ";Paris;1 année; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/ingenieur-devops-1666018;['jenkins', 'aws', 'ansible']
8;consultant-moa-project-manager-1666017;"
                    Lawrence Harvey ";Charleroi;1 année; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/consultant-moa-project-manager-1666017;['agile', 'anglais', 'salesforce']
9;salesforce-senior-developpeur-1665786;"
                    Lawrence Harvey ";Charleroi;1 année; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/salesforce-senior-developpeur-1665786;['anglais', 'salesforce']
10;consultants-en-conseil-rh-transfo-commerciale-digitale-1665473;"
                    Lawrence Harvey ";Paris;6 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/consultants-en-conseil-rh-transfo-commerciale-digitale-1665473;['tableau', ' sas']
11;data-engineer-snowflake-1665328;"
                    Lawrence Harvey ";Paris;6 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/data-engineer-snowflake-1665328;['talend', 'gitlab', 'tableau', 'powerbi', 'python', 'sql', 'airflow', 'ci/cd', 'snowflake', 'datawarehouse', 'terraform', ' sas']
12;analyste-fonctionnel-fme-1665326;"
                    Lawrence Harvey ";Paris;1 année; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/analyste-fonctionnel-fme-1665326;['sql', 'oracle', 'agile', 'modélisation', 'anglais', 'scrum', ' sas']
