;title;wage;companyname;location;date;companynote;joblink;jobskills
0;Consultant Data Confirmé (H/F) - Hauts de France;;Business & Decision;Hybrid remote in 59000 Lille;Postedil y a 1 jour;3,2;https://fr.indeed.com/rc/clk?jk=3cc8cbdce7198712&fccid=d79003eff0d435ec&vjs=3;['datawarehouse', 'data visualisation', ' ann']
1;Ingénieur Etudes et Développement Talend H/F;;TotalEnergies;Paris (75);Postedil y a 6 jours;4,0;https://fr.indeed.com/rc/clk?jk=7612aea676c82e0d&fccid=69dbe38049ba4f7f&vjs=3;['talend', 'java', 'aws', 'azure', 'python', 'spark', 'sql', ' sql']
2;Développeur.se Java EE Confirmé.e F/H;;CBA Informatique Libérale;Hybrid remote in 84140 Avignon;Postedil y a 4 jours;;https://fr.indeed.com/rc/clk?jk=ba7e851c3674d06d&fccid=5134fcf11e80d06d&vjs=3;[]
3;Développeur Back End (API / Apigee) F/H;;Dogfinance;Gentilly (94);Postedil y a 1 jour;;https://fr.indeed.com/rc/clk?jk=f58ba0775d7164c3&fccid=bebf31df1e0ec5ff&vjs=3;['java', 'kafka', 'api rest', 'agile', 'anglais', 'scala', 'microservice', 'nifi']
4;Ingénieur(e) décisionnel;;Recruteo;Lyon 3e (69);Postedil y a 2 jours;;https://fr.indeed.com/company/Recruteo/jobs/Ing%C3%A9nieur-D%C3%A9cisionnel-dc5b780580c98fe7?fccid=c99a3909a5115d01&vjs=3;['talend', 'gitlab', 'sql', 'datawarehouse', 'oracle', 'modélisation', 'postgresql', 'linux', ' sql']
5;Consultant décisionnel H/F;35 000 € - 40 000 € par an;ONESYS;Télétravail in Vénissieux (69);Postedil y a 5 jours;;https://fr.indeed.com/company/Onesys/jobs/Consultant-D%C3%A9cisionnel-fefc3302c4b792a0?fccid=ee54788261aa9d97&vjs=3;['tableau', 'sql', 'datawarehouse', 'tableaux de bord', ' sql']
6;Concepteur développeur F/H;;Sogetek Informatique;Lille (59);Postedil y a 3 jours;;https://fr.indeed.com/rc/clk?jk=a5f6887438130765&fccid=c24c037cf1a53320&vjs=3;['sql', 'snowflake', 'anglais', 'linux', ' sql']
7;Business Analyst DATA (H/F);;Insitoo;Lille (59);Postedil y a 4 jours;;https://fr.indeed.com/rc/clk?jk=6592958ebd360ae4&fccid=8dfd3dd7e13d6913&vjs=3;['python', 'sql', 'api rest', 'snowflake', 'jira', 'oracle', 'agile', 'nifi', ' sql']
8;Ingénieur Développeur-Analyste ServiceNow Gestion de configu...;;Thales Group;Meudon (92);Postedil y a 5 jours;3,9;https://fr.indeed.com/rc/clk?jk=0bbe181e8bb19366&fccid=b920aab5fd60595d&vjs=3;['java', 'tableau', 'sql', 'anglais', 'tableaux de bord', 'itil', 'datalake', 'nifi']
9;Architecte Insight & Data H/F - Grenoble;;Capgemini;Grenoble (38);PostedAujourd'hui;3,8;https://fr.indeed.com/rc/clk?jk=30e3b486d6d31089&fccid=105ecfd0283f415f&vjs=3;['qlik', 'talend', 'tableau', 'elk', 'python', 'spark', 'sql', 'oracle', 'agile', 'cloudera', 'anglais', 'scala', ' ssis', 'datalake', ' sql']
10;Expert Tech Lead Talend (H/F);;Talan Solutions;Paris (75);Postedil y a 4 jours;;https://fr.indeed.com/rc/clk?jk=a5f499a3abafc43c&fccid=f49523af1d02878e&vjs=3;['talend', 'gitlab', 'tableau', 'aws', 'redshift', 'datawarehouse', 'agile', 'modélisation', 'datalake', 'adobe campaign', 'google analytics', 'dataiku', 'gestion des flux', 'google analytics']
11;ARCHITECTE DATA H/F;;gfi;Saint-Ouen (93);PostedAujourd'hui;3,0;https://fr.indeed.com/rc/clk?jk=3630562ee1cbbe2a&fccid=e463fc7104734a53&vjs=3;['qlik', 'talend', 'tableau', 'powerbi', 'aws', 'azure', 'sql', 'databricks', 'gcp', 'hadoop', 'snowflake', 'datawarehouse', 'oracle', 'agile', 'modélisation', 'anglais', 'postgresql', 'cartographie', 'scrum', 'uml']
12;Développeur Java / Python F/H;;DIGIT VALUE;Hybrid remote in Valbonne (06);Postedil y a 5 jours;;https://fr.indeed.com/rc/clk?jk=6c7c9da64776576e&fccid=c472569d0efee250&vjs=3;['java', 'python', 'intégration continue']
13;Alternant Data Engineer (F/H);;ASI;Nantes (44);Postedil y a 6 jours;3,5;https://fr.indeed.com/rc/clk?jk=49ef84773ab6a6c4&fccid=a36241033202c4d7&vjs=3;['talend', 'java', 'azure', 'kafka', 'spark', 'sql', 'airflow', 'agile', 'scrum', 'mongodb', 'scala', 'mongo', ' ann']
14;Ingénieur Data;;FULLL;Aix-en-Provence (13);Postedil y a 1 jour;;https://fr.indeed.com/company/FULLL/jobs/Ing%C3%A9nieur-Data-5a55aa8828632fae?fccid=df12b1b5060bf676&vjs=3;['tableau', 'power bi', 'aws', 'docker', 'python', 'data lake', 'sql', 'airflow', 'glue', 'agile', 'terraform', 'anglais', 'scala', 'machine learning', 'data lake', ' sql']
