;title;wage;companyname;location;date;companynote;joblink;jobskills
0;Technicien IT F/H (CDI);;Lunii;75011 Paris 11e;PostedPubliée à l'instant;;https://fr.indeed.com/rc/clk?jk=b698390e1fef1a02&fccid=6e7c660f07e2ed51&vjs=3;['anglais']
1;Technicien de Support IT (Niveau 1 à 3) h/f;;ISOR;92300 Levallois-Perret;PostedPubliée à l'instant;3,3;https://fr.indeed.com/rc/clk?jk=c225daccfcb166ce&fccid=6f9e2f3d20c75b28&vjs=3;['scala', ' ann']
2;Machine Learning Engineer Assistant - Internship (F/M/NB);;Ubisoft;Paris (75);Postedil y a 5 jours;3,8;https://fr.indeed.com/rc/clk?jk=0f2bd731b8361aa4&fccid=237908de095b6446&vjs=3;['python', 'scala', 'ssas', 'machine learning', 'pytorch']
3;Ingénieur sécurité IT (H/F) junior;40 000 € par an;KAPIA-RGI;Télétravail temporaire in 75008 Paris 8e;PostedPubliée à l'instant;;https://fr.indeed.com/company/Charlotte-MOTARD/jobs/Ing%C3%A9nieur-S%C3%A9curit%C3%A9-IT-Junior-cc3711802064ee0a?fccid=b063b94b6200b046&vjs=3;['tableau', 'oracle', 'anglais', 'tableaux de bord', 'tomcat', 'itil', 'linux', 'bash', 'redhat']
4;Data scientist H/F (IT);;Synelience;Puteaux (92);Postedil y a 3 jours;;https://fr.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AHHRM07jvZ_9CBb8QXW1-TjD3eGHqqfxA2uagtxfXOakjo4B2-N_SfFlCg-QCvnLMqMmiEbvPaBrw7WG-yYxTKxYeXDGPIvTQrFjKuN4NQe1I_OVxpZbjZK-992J9fTXDrNU2uV6KqHEjm8afxIP4ej3boDgbSkBC2KvrBYxYLyhmvXaihQtvBWRwE7J2DAlXDzASYtGs8vcXwKifqbCNogl4hQEady8E1Ybo-pM5_VUw3I-TS-lk70XQdok9fUW38pyRCqSMs9XOSTO7qjhQUbkIlPVATj1Jd5T2KbnAxuEOY21C0clJzPjMwF5jUpGnELJV3n1zK51g8ose5w_gjpAj_ZVRWClXLiS59FYdf0ng8I0NUCd7i0VSUaxMo4S3EyQS3978fLY4gZrgBSu2J_ahQ4Uw5YDG8RQa9n5DBBfwWFot6jDQrfPKIwphjuiS2Zo17msRZ_j6UldGTVFEFC6gE67CD4JaiGV_EL4JnyFH15ATvhMBgJBIUUlPdsgP9MFkY22j8mApwMNtpgHKvi-jU50liK33xO_j-n2sqd8Rb5mpGGbqPxBL1YF6wX0kWQrEjOH2snu6zFJiF843nxw7FICPXm5Ejz4dsrlqhpvt8Qg0XpASf_fmltTzq9-kAyvX4N1mpg8lzDWgt1KXEdbu1cUI6Bz_JM9u6s9l2QA==&p=4&fvj=0&vjs=3;['tableau', ' r ', 'python', 'sql', 'tableaux de bord', 'prédiction', ' sql']
5;Support Specialist IT;;Volvo Group;Lyon (69);PostedPubliée à l'instant;4,2;https://fr.indeed.com/rc/clk?jk=f51a28f764fdb295&fccid=0f63e537c80f169b&vjs=3;['anglais', 'itil']
6;Chef de projet (IT);220 € - 580 € par jour;net6tem;Versailles (78);Postedil y a 19 jours;5,0;https://fr.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AHHRM07jvZ_9CBb8QXW1-TjD3eGHqqfxA2uagtxfXOakjo4B2-N_SfFlCg-QCvnLN7_sRCKqDxvrbOhEB5uElfy1AA9Fssdf0jCBIlt8Nq4xVjDOxD5QXtS9CEDT7ZzR1_EjuuMvy8PlIx_p9EsETfa3Kgm2NaDd7b2On5hHOPLhBhP0kGo5i27vMkYNfw3JiLkOg0RzHOEMzyutpYcUWI2ZvxlEtcbJ_iw7z5ZlHX6tbRUhGt8m3cI5Wdj0K7SaU_-zncADJLGqqku64fOxz5G6Uir2UyNbPwU3s6wBs6uAfb1G97ufEJynuAbcqpXo0RZ_qh6pjEXtwmTnTUdmUlZYtK4XSAOLcothc3U-YVq3G8NTp7cKClUb0CbI8jVN4RBkUiqUEe_CsKJEgyUVOXOAkM1rbLL7WmRXbh2u_zPMB7KG8rUADpG7bbDOag2ObPQOg9pgIkFhnzxKDi8m3qGZjQSOS0JGSv_WZvPpnwJHfiwM-FVg57HCU6kd4nOsQbPupo5OoZMyEQFaYPCircvX8h5HTRnBPqkbTWguVlv8JkILNR79ucnlU_7KKzhEhHDe0-zOTWvm-yAI5JoclOqNYK4blLtmyrxr_muQu-O45Fu28diODz0xftqaCVwAhd6kyCQiYOxmdTG2wqheADq0Nf49YzGSc=&p=6&fvj=0&vjs=3;[]
7;Junior Software Engineer;;Varnish Software;75002 Paris 2e;PostedPubliée à l'instant;;https://fr.indeed.com/rc/clk?jk=6d992dcb12d80077&fccid=cd34073f00c85103&vjs=3;[' git ', 'linux', 'c++']
8;Business Analyst H/F;38 000 € - 48 000 € par an;SHAPE IT;Paris (75);PostedPubliée à l'instant;;https://fr.indeed.com/company/SHAPE-IT/jobs/Business-Analyst-f14c5961c5ea3e72?fccid=36fc1c12706d58bc&vjs=3;[' ann']
9;IT Talent Acquisition Specialist Cybersécurité PARIS H/F;;Capgemini;Paris (75);PostedAujourd'hui;3,8;https://fr.indeed.com/rc/clk?jk=fbb914bf5b1bcdf9&fccid=105ecfd0283f415f&vjs=3;[' ann']
10;Internship in IT Audit;;HSBC;Courbevoie (92);Postedil y a 26 jours;4,0;https://fr.indeed.com/rc/clk?jk=62d30bba435c0f86&fccid=04c9b139c84ea1b5&vjs=3;[]
11;Machine Learning Engineer;;Qorvo;Paris (75);Postedil y a 2 jours;;https://fr.indeed.com/rc/clk?jk=0a1591655e00fac9&fccid=f0f57785b56c2161&vjs=3;['python', ' c ', 'machine learning', 'tensorflow', 'pytorch', 'nifi', 'c++']
12;Chef de Projet IT Supply Amont F/H;;SMCP;Paris 1er (75);Postedil y a 6 jours;3,5;https://fr.indeed.com/rc/clk?jk=0d1eee3137f3af72&fccid=0a63a89f53a5c9bb&vjs=3;['tableau', 'sql', ' sql']
13;Auditeur IT junior débutant - BDO - H/F;;BDO;75116 Paris;Postedil y a 4 jours;3,6;https://fr.indeed.com/rc/clk?jk=945e9a8f2e0f5509&fccid=3639654bd4055c70&vjs=3;['oracle', 'anglais', 'itil', 'cartographie', 'linux']
14;Chargé de marketing et communication H/F domaine IT;2 950 € - 3 350 € par mois;Groupe HISI;92000 Nanterre;Postedil y a 30+ jours;;https://fr.indeed.com/company/Groupe-HISI/jobs/Charg%C3%A9-Marketing-Communication-Domaine-IT-a7e38ea6eafb5155?fccid=33681eca3568eeed&vjs=3;[]
