;title;wage;companyname;location;date;companynote;joblink;jobskills
0;Chef de projet PARIS H/F;;Capgemini;Paris (75);Postedil y a 2 jours;3,8;https://fr.indeed.com/rc/clk?jk=a6b235adf5d0f836&fccid=105ecfd0283f415f&vjs=3;['anglais', 'itil', 'prince2', 'pmp']
1;Junior Systems Administrator & IT Support;;Heetch;Paris (75);PostedAujourd'hui;4,1;https://fr.indeed.com/company/Heetch/jobs/Junior-Systems-Administrator-IT-Support-3d1b140ccdb5fa77?fccid=3c410f6149f5b160&vjs=3;['scala', ' sas ']
2;Robotics Software Engineer (arm planning);;Enchanted Tools;Paris (75);Postedil y a 2 jours;;https://fr.indeed.com/rc/clk?jk=123667b33140a168&fccid=f8c2dde6038de426&vjs=3;['python', 'machine learning', 'c++']
3;Infrastructure Consultant, Telecommunications and Media, Goo...;;Google;Paris (75);PostedAujourd'hui;4,3;https://fr.indeed.com/rc/clk?jk=76ea9414a19f59e5&fccid=a5b4499d9e91a5c6&vjs=3;['gcp', 'firewalls', 'vpn', 'linux']
4;Consultant Expert Genesys - Centres de contact F/H;;MANAGEMENT INFORMATIQUE & NOUVELLES TECHNOLOGIES...;Hybrid remote in Paris 1er (75);Postedil y a 2 jours;;https://fr.indeed.com/rc/clk?jk=94e35815cd6abcbc&fccid=4a9af30983fbd3e3&vjs=3;['sql', 'oracle', 'linux', ' sql']
5;DevOps - Cloud Infrastructure Engineer dans une start-up (st...;;Licorne Society;Paris (75);Postedil y a 4 jours;;https://fr.indeed.com/rc/clk?jk=7f9b295128514d5c&fccid=ee4296beb506764d&vjs=3;[]
6;Premier Support Engineer (Paris);;DataDog;Paris (75);PostedPubliée à l'instant;;https://fr.indeed.com/rc/clk?jk=f51133134c16b3e4&fccid=448951d0ddf03e0c&vjs=3;['scala', 'linux', 'nifi']
7;Cloud Solutions Architect (m/f/d);;Intel;Paris (75);Postedil y a 1 jour;4,1;https://fr.indeed.com/rc/clk?jk=d0fb2242d77d7674&fccid=936367796261bd6e&vjs=3;['aws', 'azure', 'vertica']
8;Data Engineer F/H (CDI);;Lunii;75011 Paris 11e;Postedil y a 4 jours;;https://fr.indeed.com/rc/clk?jk=a557caf48a0d2737&fccid=6e7c660f07e2ed51&vjs=3;['talend', 'tableau', 'aws', 'sql', 'gcp', 'bigquery', 'snowflake', 'agile', 'modélisation', 'postgresql', 'scrum', 'looker', 'nifi']
9;Ingénieur systèmes et Cloud H/F;40 000 € - 45 000 € par an;ABBANA;Paris 12e (75);Postedil y a 3 jours;;https://fr.indeed.com/company/Abbana/jobs/Ing%C3%A9nieur-Syst%C3%A8mes-Cloud-263bcb1c49450d81?fccid=3dfcfa0d2ec26cf4&vjs=3;['aws', 'azure', 'anglais', ' ann']
10;Business Analyst Confirmé H/F sur Paris;;Capgemini;Paris (75);Postedil y a 2 jours;3,8;https://fr.indeed.com/rc/clk?jk=ea52f8328dbc1350&fccid=105ecfd0283f415f&vjs=3;[]
11;Architecte Big Data & Cloud - Issy les Moulineaux - H/F;;Capgemini;Paris (75);Postedil y a 3 jours;3,8;https://fr.indeed.com/rc/clk?jk=c189672f44e45708&fccid=105ecfd0283f415f&vjs=3;['aws', 'azure', 'agile', 'anglais']
12;CDI - Devops Cloud;;Prisma Media SAS;Hybrid remote in 92624 Gennevilliers;PostedPubliée à l'instant;4,1;https://fr.indeed.com/rc/clk?jk=c16e58b3aad02658&fccid=e4dc7d2489b22a3e&vjs=3;['gitlab', 'aws', 'azure', 'docker', 'ansible', 'python', 'gcp', 'ci/cd', 'terraform', 'grafana', ' sas ']
13;Associate Partner - Cloud Application Development (F/H);;IBM;Paris (75);Postedil y a 3 jours;3,9;https://fr.indeed.com/rc/clk?jk=9dae19fa5fd843ed&fccid=de71a49b535e21cb&vjs=3;['aws', 'azure', 'business object']
14;Stage Machine Learning;;Capgemini;Paris (75);PostedPubliée à l'instant;3,8;https://fr.indeed.com/rc/clk?jk=386d5e95f56d2833&fccid=105ecfd0283f415f&vjs=3;['python', 'sql', 'anglais', 'elasticsearch', 'machine learning', ' sql']
