;title;wage;companyname;location;date;companynote;joblink;jobskills
0;Data Engineer (PPaas) F/M;;Worldline;Suresnes (92);Postedil y a 3 jours;3,7;https://fr.indeed.com/rc/clk?jk=573908152ef5c39d&fccid=808f94192015f24a&vjs=3;['kafka', 'elk', 'python', 'spark', 'data lake', 'hive', 'sql', 'airflow', 'hadoop', 'bigquery', 'agile', 'linux', 'microservice', 'bash', 'data lake', ' sql']
1;Junior Data Engineer;;ORTEC;Paris (75);Postedil y a 30+ jours;;https://fr.indeed.com/rc/clk?jk=9fe9d18e9a256264&fccid=e7c5b6dbeaeea9b1&vjs=3;['tableau', 'powerbi', 'python', 'sql', 'scala', 'machine learning', ' sql']
2;Data Engineer (DS Platform);;Younited Credit;Paris (75);Postedil y a 19 jours;;https://fr.indeed.com/rc/clk?jk=63967b1baf52d7c2&fccid=90458df72107c958&vjs=3;['python', 'spark', 'sql', 'databricks', 'airflow', 'pyspark', 'bigquery', 'terraform', 'scala', ' sql']
3;We are looking for an ambitious Data Engineer;;RiverBank S.A. French Branch;Télétravail temporaire in 75008 Paris 8e;Postedil y a 30+ jours;;https://fr.indeed.com/company/RiverBank-S.A.-French-Branch/jobs/We-Are-Looking-Ambitious-Data-Engineer-eaad7fb2d215590b?fccid=2bf014cd5158a582&vjs=3;['kafka', 'docker', 'python', 'spark', 'sql', 'airflow', 'scala', 'flask', 'machine learning', ' sql']
4;Data Scientist_Machine Learning Engineer;;Vitesco Technologies;Toulouse (31);Postedil y a 3 jours;;https://fr.indeed.com/rc/clk?jk=2bd1be61c70264cc&fccid=ba5886a360bb24d7&vjs=3;['aws', 'python', 'sql', 'machine learning', 'tensorflow', 'pytorch', 'c++', 'problem solving', 'plotly', ' sql']
5;Data Analyst Intern;;Binance;Paris (75);Postedil y a 5 jours;4,0;https://fr.indeed.com/rc/clk?jk=7a57906ad585af95&fccid=ac2ee5578fa99fc9&vjs=3;['python', 'sql', 'scala', 'problem solving', ' sql']
6;Data Engineer IT (H/F);;Volvo Group;Lyon (69);Postedil y a 30+ jours;4,2;https://fr.indeed.com/rc/clk?jk=8dfd1424b92bdf75&fccid=0f63e537c80f169b&vjs=3;['azure', 'python', 'sql', 'databricks', 'anglais', 'data visualisation', 'nifi', ' sql']
7;Margo Analytics - Data Engineer – H/F;;Margo Conseil;Paris (75);Postedil y a 30+ jours;;https://fr.indeed.com/rc/clk?jk=c80ca9fc1d8cd6f2&fccid=15bab256d169cae2&vjs=3;['azure', 'kafka', 'python', 'spark', 'databricks', 'hadoop', 'agile', 'anglais', 'scala', 'datalake']
8;KERING Data Scientist;;Kering SA;Paris (75);Postedil y a 1 jour;;https://fr.indeed.com/rc/clk?jk=38d96efc4d29c27c&fccid=7e75676c181b75b8&vjs=3;['aws', 'python', 'anglais', 'scala', 'machine learning']
9;Data engineer – GCP (F/H);;Meritis;Paris (75);Postedil y a 30+ jours;5,0;https://fr.indeed.com/rc/clk?jk=162f910a921fb810&fccid=ea50f68a3787aa3d&vjs=3;['jenkins', 'docker', 'python', 'sql', 'gcp', 'airflow', 'bigquery', 'machine learning', 'gdpr', ' ann', ' sql']
10;Senior Machine Learning Engineer;65 000 € - 70 000 € par an;Dataworks;Paris (75);Postedil y a 9 jours;;https://fr.indeed.com/company/Dataworks/jobs/Senior-Machine-Learning-Engineer-4a74c56d9c7badc3?fccid=309cb047342d324b&vjs=3;['aws', 'docker', 'python', 'sql', 'airflow', 'snowflake', 'scala', 'elasticsearch', 'machine learning', ' ann', ' sql']
11;DATA ENGINEER TALEND ESB JUNIOR H/F;50 000 € par an;SYNALTIC;Vincennes (94);Postedil y a 4 jours;;https://fr.indeed.com/company/SYNALTIC/jobs/Data-Engineer-Talend-Esb-Junior-7917eaa5d01689d0?fccid=a116ba3bfc8f1d71&vjs=3;['talend', 'java', 'tableau', 'kafka', 'docker', 'hadoop', 'elasticsearch', ' ann']
12;Senior Data Engineer H/F;;Transdev;Issy-les-Moulineaux (92);Postedil y a 30+ jours;3,1;https://fr.indeed.com/rc/clk?jk=c48166151d0f9898&fccid=781bfdf11ed47789&vjs=3;['talend', 'aws', 'python', 'ci/cd', 'snowflake']
13;Data Analyst/Engineer (H/F)(Stage);;Webedia;Levallois-Perret (92);Postedil y a 30+ jours;3,6;https://fr.indeed.com/rc/clk?jk=54eb21b8f80edf74&fccid=107e5994052e34db&vjs=3;['python', 'sql', 'bigquery', 'google analytics', 'data visualisation', ' ann', ' sql', 'google analytics']
14;Data Engineer (F/H);;AXILEO;Paris (75);Postedil y a 30+ jours;;https://fr.indeed.com/rc/clk?jk=879e8b4c374b59cf&fccid=722c53f5ec3dc734&vjs=3;['datastage', 'talend', 'tableau', 'powerbi', 'aws', 'azure', 'python', 'spark', 'hive', 'sql', 'microstrategy', 'gcp', 'anglais', 'logstash', 'scala', 'ssrs', ' ssis', 'ssas', 'elasticsearch', 'alteryx', 'hdfs', ' sql']
