;title;wage;companyname;location;date;companynote;joblink;jobskills
0;Data Scientist (H/F);;Novencia;Paris (75);PostedPubliée à l'instant;5,0;https://fr.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ax-dZTyZPaeY82JYaWj1VgA3mPZgyi9qBRxfGBjY9acZQsLiaoTiQXd_SfMOL4Yv-4Sn_NIhUy8XfmId-XWKTeRofWGqlCKZPxnwIAwLPflOLXsnU6PzLhO0zwmYXqxDvP404kyKns6pvZAzxMHrknECRqSXoHcTcD6emn9j9G60D-0G66aRL9FmJKYj6xJFvPaS1BDZMxIxaqkC5pcPNgLnTZQ_ZOIs27DT_MTDiUG31oD20FuYu9DoTAygWEJlyksRA6JIIQucAJPMYCgp7PK2oDJvtCzzc0usH279lVgj4W-rX9EJx5D2ZN0nTOa0-BalgW7veVHAm5m_LgitNab0Rg7ujATotIrqGntvhlnlUxrGcWcQeGCYEp0D6pO9kGaaRqdI-mX4V0M9iDRbP_LHoi1aF7_1apFn9jnfsDMwgGfJVRcnb83jVIEwSiNBuFuDhzcuce6uq9hcOxgq5E7FmvxfMNDlnsYoFQbJ_ZliBOtokYdWsO&p=0&fvj=0&vjs=3;['agile', 'machine learning', 'data visualisation', '']
1;Consultant Data Visualisation;;Ysance;92300 Levallois-Perret;Postedil y a 5 jours;;https://fr.indeed.com/company/YSANCE/jobs/Consultant-Data-Visualisation-162e4f2bf549b93a?fccid=ec7d969fad906ade&vjs=3;['qlik', 'tableau', 'power bi', 'aws', 'azure', 'sql', 'gcp', 'modélisation', 'tableaux de bord', 'looker', 'dataiku', 'data visualisation', 'azur', '']
2;DATA SCIENTIST JUNIOR (H/F/X);;Chloé;Paris (75);Postedil y a 7 jours;4,3;https://fr.indeed.com/rc/clk?jk=cee481c37e6fa7b8&fccid=4f0cd7a5e87bc2d7&vjs=3;['tableau', 'python', 'sql', 'looker', 'knime', 'dataiku', '']
3;Data Engineer Junior CDI - H/F;;Capgemini;Paris (75);Postedil y a 8 jours;3,8;https://fr.indeed.com/rc/clk?jk=6c4ed5c174132f41&fccid=105ecfd0283f415f&vjs=3;['']
4;Data Scientist;;Ysance;92300 Levallois-Perret;Postedil y a 5 jours;;https://fr.indeed.com/company/YSANCE/jobs/Data-Scientist-4787efccd02194a3?fccid=ec7d969fad906ade&vjs=3;['qlik', 'tableau', 'aws', 'azure', 'python', 'spark', 'sql', 'databricks', 'gcp', 'pyspark', 'modélisation', 'scala', ' sas ', 'machine learning', 'dataiku', 'azur', '']
5;Ingénieur Data-(H/F);;Société Générale;La Défense (92);PostedAujourd'hui;3,9;https://fr.indeed.com/rc/clk?jk=1dc8a580dc1aa9e2&fccid=df6948c9b8da6236&vjs=3;['python', 'sql', 'agile', 'modélisation', 'machine learning', '']
6;Data Engineer;;Ysance;92300 Levallois-Perret;Postedil y a 5 jours;;https://fr.indeed.com/company/YSANCE/jobs/Data-Engineer-87590dc9317cc4ea?fccid=ec7d969fad906ade&vjs=3;['qlik', 'tableau', 'power bi', 'aws', 'azure', 'docker', 'python', 'spark', 'data lake', 'sql', 'gcp', 'terraform', 'scala', 'looker', 'data lake', 'dataiku', 'azur', '']
7;Data Officer H/F;;Mercedes-Benz Financial Services France S.A.;Montigny-le-Bretonneux (78);Postedil y a 7 jours;;https://fr.indeed.com/rc/clk?jk=e5cfa5c322b7eafd&fccid=8d41989966a4f2aa&vjs=3;['agile', '']
8;Analyste data-(H/F);;Société Générale;La Défense (92);Postedil y a 14 jours;3,9;https://fr.indeed.com/rc/clk?jk=2d4eea1f588d9ddf&fccid=df6948c9b8da6236&vjs=3;['power bi', 'vba', 'business object', '']
9;Data Analyst;;Ysance;92300 Levallois-Perret;Postedil y a 5 jours;;https://fr.indeed.com/company/YSANCE/jobs/Data-Analyst-1391ad103937985f?fccid=ec7d969fad906ade&vjs=3;['qlik', 'tableau', 'aws', 'azure', 'python', 'sql', 'gcp', ' sas ', 'alteryx', 'dataiku', 'azur', 'spss', '']
10;Data Quality Officer;;BMW;Montigny-le-Bretonneux (78);Postedil y a 10 jours;3,9;https://fr.indeed.com/rc/clk?jk=4b16ba0b6efebdd3&fccid=bf564b9e3f3db3fc&vjs=3;['sql', 'modélisation', '']
11;Data Scientist H/F NLP;38 288 € - 73 935 € par an;MP DATA;92100 Boulogne-Billancourt;Postedil y a 2 jours;;https://fr.indeed.com/company/MP-DATA/jobs/Data-Scientist-Nlp-30e077b688bb6824?fccid=9b246b5aaacc1ef2&vjs=3;['python', 'machine learning', '']
12;Data Analyst Junior (H/F);;Winamax;Paris (75);Postedil y a 11 jours;4,0;https://fr.indeed.com/company/Winamax/jobs/Data-Analyst-Junior-64acad0bfe84db5e?fccid=ef842149939dc038&vjs=3;['python', 'sql', 'machine learning', 'data visualisation', 'nifi', '']
13;Consultante - Consultant data scientist Sofrecom;;Sofrecom;94300 Vincennes;Postedil y a 30+ jours;4,0;https://fr.indeed.com/rc/clk?jk=a60a6a9266b414d6&fccid=24d2bacb9e5b24ee&vjs=3;['qlik', 'tableau', 'power bi', 'python', 'sql', 'gcp', 'anglais', 'vba', 'knime', 'google analytics', 'dataiku', 'nifi', '']
14;Data Engineer H/F;;NOVELIS;Paris (75);Postedil y a 30+ jours;5,0;https://fr.indeed.com/rc/clk?jk=e58a903baa90effd&fccid=92046a9742d056b6&vjs=3;['python', 'spark', 'hadoop', 'pyspark', 'agile', '']
