;title;wage;companyname;location;date;companynote;joblink;jobskills
0;Data Scientist;;Artefact;Paris (75);Postedil y a 30+ jours;3,9;https://fr.indeed.com/rc/clk?jk=f90e7fc9ecd3aa5b&fccid=c1f750eaef1d79c4&vjs=3;['machine learning']
1;Ingénieur Data Science H/F;;EDF;Palaiseau (91);Postedil y a 30+ jours;3,9;https://fr.indeed.com/rc/clk?jk=111955e0c53888af&fccid=0103fd28b454bd4a&vjs=3;['python', 'sql', 'modélisation', 'anglais', 'machine learning']
2;CDI - Data engineer;;PRISMA MEDIA;92624 Gennevilliers;Postedil y a 30+ jours;4,1;https://fr.indeed.com/rc/clk?jk=31ec02c7a2b4d62f&fccid=e4dc7d2489b22a3e&vjs=3;[' git ', 'python', 'sql', 'gcp', 'airflow', 'agile', 'modélisation', 'kanban', 'scrum', 'scala', ' sas ', 'gdpr']
3;Data Scientist;;Nova Consulting;Paris 4e (75);Postedil y a 9 jours;;https://fr.indeed.com/rc/clk?jk=b32fd3514e56b221&fccid=497b512f3d951c20&vjs=3;['sql', 'agile', 'modélisation']
4;Consultant Explorateur Data Scientist – Santé H/F;;Alcimed;Paris (75);Postedil y a 8 jours;3,0;https://fr.indeed.com/rc/clk?jk=fab452e67160d56c&fccid=f2894962c4f49a44&vjs=3;['java', ' r ', 'python', 'sql', 'anglais', 'machine learning']
5;Data Engineer F/H;50 000 € - 69 000 € par an;VINCI Concessions;La Défense (92);Postedil y a 30+ jours;4,3;https://fr.indeed.com/rc/clk?jk=e7b8aa0e6ad7bd6a&fccid=d30d1db5195213bf&vjs=3;['gitlab', 'tableau', 'powerbi', 'docker', 'ansible', 'python', 'spark', 'data lake', 'sql', 'gcp', 'airflow', 'ci/cd', 'pyspark', 'bigquery', 'agile', 'terraform', 'anglais', 'machine learning', 'intégration continue', 'data lake']
6;Data Analyst – Agrégateur Datatech - H/F;45 000 € par an;UNLCK;Paris (75)+ 1 lieu;Postedil y a 21 jours;4,7;https://fr.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AwMULmlYjVk_Br5rNmm-MHe0EXU9eEpgTPCbIqjx6pfOuehYV5wL63yhIwJypL8Mqoj9IKDxEb91WO0kOWHJOTSfbv3_kmS-3R2VPiEuaLRTCfzEkUVEzKDYy7bl5YRLKgd1o8TMCMThPcDH9w9jpuK2bcTxd7PlV6Nrsc02MzJXdU-0xbiz3VBgQAHBDXEXs5bUrGGxOT7V_1RT_Dt3oDObZhq8y8N_6y-246m6evxsln1vNER80qzpD9cYtpkV8i0Wb9rhEckIZFm0ygGyL2yjGUPllndXY_jPXHKcYlvbgrWN3kM4t-Mhl6nmy5iE5zbIMgo52k_qEW3IfIvVgzGi4N5PNY1YxH8vqHD79dwQPP50RJzQ7DLHuwL96pmrlhAsW0TOBo5-hlw_IRA_vZ9UtU0z7RKv907wJOqEc7VVQenzN8C3fwzB9Ff6C7FHW737gAetbdAkIENwegSDkaYiTBnTH8fAnXWILQ_9ohL0_l5_iorTQ3t24e4Ei2YfwdBFjh9FeUmOSQVGlCxwFiLdIGrajmngDfPSWiArXiS8Fk3-qh8hIbZ1YZFF9vI_RTYDD3Z8N-dJVK6YQm92ypHphygZb7xk1BTMdvR7YuAqT1bUNYm4ggXvFE8Ji32F92hcHUZGzXrRgx81SGWRiMiv3Dd-6izs-1mtSbFyw4HdqK-5dlSvffoJ61ZwN9wox66-nExiygPR_M-7ODqKcj&p=6&fvj=0&vjs=3;['tableau', 'python', 'sql', 'postgresql', 'mysql']
7;Data Architect (H/F);60 000 € - 75 000 € par an;Mydral;75002 Paris 2e;Postedil y a 30+ jours;3,7;https://fr.indeed.com/rc/clk?jk=ce6b115da04aea65&fccid=40485f03702fa990&vjs=3;['tableau', 'aws', 'azure', 'kafka', 'elk', 'docker', 'spark', 'hortonworks', 'sql', 'gcp', 'hadoop', 'snowflake', 'oracle', 'agile', 'cloudera', 'modélisation', 'postgresql', 'scala', 'linux', 'knime', 'data visualisation', 'uml', 'redhat', 'vertica']
8;Data analyst H/F;;Inetum;Saint-Ouen (93)+ 1 lieu;Postedil y a 18 jours;3,0;https://fr.indeed.com/rc/clk?jk=4785dfff5931f0ba&fccid=e463fc7104734a53&vjs=3;['python', 'agile', 'vba']
9;Data Analyst H/F;;AKTISEA;33000 Bordeaux;Postedil y a 2 jours;3,7;https://fr.indeed.com/rc/clk?jk=e09fe1403a7f76dc&fccid=06c1747c7a2da1e1&vjs=3;['python', 'agile', 'vba']
10;Data Scientist - France;;Dataiku;Paris (75);Postedil y a 30+ jours;;https://fr.indeed.com/rc/clk?jk=c0c2f9480964d217&fccid=4640437a3109c91f&vjs=3;['java', ' r ', 'python', 'spark', 'sql', 'pyspark', 'scala', 'machine learning', 'dataiku']
11;Ingénieur Data H/F;;Bouygues Telecom;92360 Meudon;Postedil y a 30+ jours;3,8;https://fr.indeed.com/rc/clk?jk=01c609f073a172e5&fccid=aa1bd64e6087c10f&vjs=3;['python', 'spark', 'sql', 'machine learning']
12;CDI - Data analyst F/H;;mediametrie;Paris (75)+ 1 lieu;Postedil y a 30+ jours;3,1;https://fr.indeed.com/company/MEDIAMETRIE/jobs/CDI-7d657e76b65ae763?fccid=613f70b9847bff16&vjs=3;['python', 'anglais']
13;Consultant(e) Senior - Data;;iQo;Paris (75);PostedAujourd'hui;;https://fr.indeed.com/company/IQO/jobs/Consultant-Senior-2c9951247e88ebb1?fccid=d496e765d6c33085&vjs=3;['anglais']
14;Data scientist Intelligence Artificielle F/H;;Bpifrance;Maisons-Alfort (94);Postedil y a 30+ jours;3,9;https://fr.indeed.com/rc/clk?jk=6a1864d8ad5931c2&fccid=f8c0d47ed8e5c00b&vjs=3;['modélisation', 'machine learning']
