;title;wage;companyname;location;date;companynote;joblink;jobskills
0;Développeur M3 ou Ssis et PowerBi;;TCO;Paris (75);PostedAujourd'hui;3,6;https://fr.indeed.com/rc/clk?jk=85a7a973efe0c8c4&fccid=801f6e8ea497892c&vjs=3;['java', 'sql', 'anglais', ' ssis', ' sql']
1;DEVELOPPEUR BI ETL (H/F);;Groupe Beaumanoir;Saint-Malo (35);Postedil y a 1 jour;3,0;https://fr.indeed.com/rc/clk?jk=f99baac30a259a8c&fccid=fb80d41d85012ad7&vjs=3;[]
2;Expert ETL Talend (F/H);;Micropole;44000 Nantes;Postedil y a 3 jours;3,3;https://fr.indeed.com/rc/clk?jk=756f883057e0646a&fccid=14835f3a1d6bbbcb&vjs=3;['talend']
3;Expert NoSQL & Data H/F;;EDF;Hybrid remote in Nanterre (92);PostedAujourd'hui;3,9;https://fr.indeed.com/rc/clk?jk=4445e22f7846ffe8&fccid=0103fd28b454bd4a&vjs=3;['talend', 'java', 'github', 'tableau', 'powerbi', 'python', 'sql', 'agile', 'mongodb', 'linux', 'datalake', 'mongo', 'nifi', 'redhat', ' ann', ' sql']
4;Data analyst Dataviz(F/H);;Digital Partners;75004 Paris 4e;Postedil y a 4 jours;;https://fr.indeed.com/rc/clk?jk=de5f7256c75e06ac&fccid=4f7c91e2885764ae&vjs=3;['datastage', 'qlik', 'aws', 'glue', 'db2', 'qliksense']
5;Analyste de données;;Arafer;Paris (75);Postedil y a 3 jours;;https://fr.indeed.com/rc/clk?jk=7d2d9363e986e222&fccid=879f3a4e253cd8af&vjs=3;['python']
6;Data Analyst H/F;;OPEN;Strasbourg (67);Postedil y a 3 jours;3,6;https://fr.indeed.com/rc/clk?jk=14c003ea99424b68&fccid=8451c5712fa475c4&vjs=3;['qlik', 'talend', 'tableau', 'power bi', 'data lake', 'datawarehouse', 'qliksense', 'agile', 'tableaux de bord', ' ssis', 'data lake']
7;Data Engineer H/F;45 000 € - 55 000 € par an;Cellenza;Télétravail in 75008 Paris 8e;Postedil y a 4 jours;;https://fr.indeed.com/company/Cellenza/jobs/Data-Engineer-d1976b9c1cd0ad4a?fccid=4dacd670d894abd9&vjs=3;['talend', 'python', 'spark', 'data lake', 'sql', 'databricks', 'airflow', 'ci/cd', 'scala', 'datalake', 'data lake', 'data factory', ' sql']
8;Développeur ETL - Informatica H/F;;Keolis;75012 Paris 12e;Postedil y a 4 jours;3,4;https://fr.indeed.com/rc/clk?jk=b0429ad5939e169f&fccid=f04f421aef63b60c&vjs=3;['gestion des flux']
9;Ingénieur Data H/F;;Kaizen Solutions;Grenoble (38);Postedil y a 3 jours;;https://fr.indeed.com/company/Kaizen-IT/jobs/Ing%C3%A9nieur-Data-9d2f1ceff0ec9192?fccid=c1edd7669511bab9&vjs=3;['azure', 'python', 'spark', 'data lake', 'sql', 'databricks', 'ci/cd', 'agile', 'modélisation', 'anglais', 'scrum', 'data lake', 'data factory', ' sql']
10;DBA MySQL H/F;60 000 € - 75 000 € par an;My PepIT;Nanterre (92);Postedil y a 6 jours;;https://fr.indeed.com/company/My-Pepit/jobs/DBA-MySQL-92c7837f2705c135?fccid=af6a0a30ec5f6d5a&vjs=3;['ansible', 'sql', 'terraform', 'anglais', 'mysql', 'mariadb', 'powershell', 'linux', 'bash', 'elasticsearch', ' sql']
11;Data Engineer F/H;;SAS RECHERCHES ET HORIZONS;Télétravail in Montpellier (34);Postedil y a 3 jours;;https://fr.indeed.com/rc/clk?jk=4f0ba34b4bed5873&fccid=81b407ede6f136b6&vjs=3;[' git ', 'sql', 'anglais', 'mysql', 'scala', ' sas ', ' ann']
12;DATA ENGINEER - DATA FACTORY F/H;;EURO-INFORMATION DEVELOPPEMENTS;Nantes (44)+ 2 lieux;Postedil y a 2 jours;4,0;https://fr.indeed.com/rc/clk?jk=9d157df72b9a634d&fccid=fbffd7f3deecaf9e&vjs=3;['db2', 'modélisation', 'anglais', 'cobol', 'data factory', 'nifi']
13;Consultant BI - ETL H/F;36 000 € - 42 000 € par an;SEENOVATE;Hybrid remote in 34000 Montpellier+ 3 lieux;Postedil y a 1 jour;;https://fr.indeed.com/company/Seenovate/jobs/Consultant-Bi-264f270a63f7b865?fccid=b2f5667ca7e16636&vjs=3;['qlik', 'talend', 'tableau', 'sql', 'oracle', 'modélisation', 'tableaux de bord', 'mysql', ' ssis', 'sap bo', ' ann']
14;Software Engineer - PHP (H/F);;Shippeo;75010 Paris 10e;PostedAujourd'hui;;https://fr.indeed.com/rc/clk?jk=7a5897b345fca48a&fccid=249eab8486c49b53&vjs=3;['talend', 'github', 'tableau', 'docker', 'python', 'sql', 'gcp', 'airflow', 'api rest', 'agile', 'grafana', 'mysql', 'scala', ' php ', 'elasticsearch', 'business object', 'nifi']
