;title;wage;companyname;location;date;companynote;joblink;jobskills
0;Product Owner H/F;38 000 € - 55 000 € par an;DC CONSULTANTS;Paris (75);Postedil y a 5 jours;;https://fr.indeed.com/company/DC-CONSULTANTS/jobs/Product-Owner-0f9f118acba39685?fccid=c26d674981e22bc4&vjs=3;['jira', 'agile', 'confluence', 'anglais', 'scrum']
1;CHEF DE PROJET LANCEMENTS CHINE;;LVMH Fragrance Brands;Levallois-Perret (92);Postedil y a 28 jours;4,0;https://fr.indeed.com/rc/clk?jk=cab9c8a773a85f24&fccid=6458ba009eede0b6&vjs=3;['anglais']
2;Product Owner H/F;;Nexton Consulting FR;Paris (75);Postedil y a 5 jours;;https://fr.indeed.com/rc/clk?jk=5d7c7225a39adc94&fccid=fd1831126d38aa58&vjs=3;[]
3;Chef de Projet Junior - Joaillerie;;Louis Vuitton;Paris (75);Postedil y a 7 jours;3,8;https://fr.indeed.com/rc/clk?jk=2573bdc08c6d907a&fccid=1807e5727f702882&vjs=3;['tableau', 'anglais']
4;Product Owner / Consultant(e) AMOA - Reconversion - Formatio...;;EQL;Télétravail temporaire in Paris (75);Postedil y a 7 jours;;https://fr.indeed.com/company/Groupe-Henix/jobs/Product-Owner-7ae3bed7c36c8c47?fccid=9cbd54d4216d846d&vjs=3;['agile']
5;Product Owner MaaS H/F;;Keolis;Paris (75);Postedil y a 6 jours;3,4;https://fr.indeed.com/rc/clk?jk=6b39d66272d7c3f2&fccid=f04f421aef63b60c&vjs=3;['agile', 'scrum']
6;Junior Product Owner (alternance) F/H;2 256 € - 2 500 € par mois;Zaion;Télétravail temporaire in 75008 Paris 8e;Postedil y a 30+ jours;;https://fr.indeed.com/company/Zaion/jobs/Junior-Product-Owner-F-H-e1cde75ec23b8b71?fccid=fe1b7a989220cdf0&vjs=3;['agile', 'anglais']
7;Product Manager dans une start-up;;Licorne Society;Paris (75);Postedil y a 4 jours;;https://fr.indeed.com/rc/clk?jk=33d4aff7f390d04b&fccid=ee4296beb506764d&vjs=3;[]
8;Product Owner H/F;;MGEN;75748 Paris;Postedil y a 4 jours;3,0;https://fr.indeed.com/rc/clk?jk=1571b592b143d0ca&fccid=bcac10f5843638e7&vjs=3;['agile', 'scrum']
9;Chef de Projet Digital Innovation (H/F);;Guerlain;Paris (75);PostedPubliée à l'instant;4,1;https://fr.indeed.com/rc/clk?jk=ec07053b9f9d5af3&fccid=f3225756b24da898&vjs=3;['anglais']
10;Product Owner H/F;35 000 € - 55 000 € par an;UPPLI;Télétravail temporaire in 75009 Paris 9e;Postedil y a 17 jours;;https://fr.indeed.com/company/UPPLI/jobs/Product-Owner-8604249ff4cba33c?fccid=cbe426d607f57842&vjs=3;['tableau', 'jira', 'agile', 'confluence', 'anglais', 'kanban', 'scrum']
11;Product Owner Client (h/f);;Maisons du Monde;Paris 8e (75);Postedil y a 4 jours;3,3;https://fr.indeed.com/rc/clk?jk=51e05c70aebd8e3a&fccid=98a961f3a80790bb&vjs=3;[]
12;CDI - CHEF DE PROJETS MEDIA PLATEFORMES H/F;;Universal Music France;75005 Paris 5e;Postedil y a 2 jours;4,1;https://fr.indeed.com/rc/clk?jk=a946b8bd708f5611&fccid=cc6e623ce335957a&vjs=3;[]
13;Chef de Projet Digital H/F;;Nexton Consulting FR;Paris (75);Postedil y a 11 jours;;https://fr.indeed.com/rc/clk?jk=a1971cdd53c278e3&fccid=fd1831126d38aa58&vjs=3;[]
14;Proxi Product Owner F/H;45 000 € - 50 000 € par an;Kent FR;Paris (75);Postedil y a 23 jours;;https://fr.indeed.com/rc/clk?jk=058980610f97c8f1&fccid=09ecd99529732200&vjs=3;['azure', 'anglais', 'scrum', 'nifi']
